#OTU ID	A04	A18	G11	Z16	B04	EA44	EA47	EA48	EA49	EA50	EA51	EA53	EA54	EA55	EA57	EA58	EA60	EA61	EA63	EA68	EA70	EA72	EA73	EA76	EB01	EB02	EB03	EB04	EB05	EB07	EB08	EB09	EB10	EB13	EB16	EB17	EB20	EB21	EB24	EB28	EM03	EM12	EM22	EM25	EM27	EM30	EM32	EM33	EM34	E12	K16	M12	P24	P31	CA40A	CD21A	CD24A	CD25A	CD27A	CD28A	CD29A	CD30A	CE19A	CM28A	CM29A	CM30A	CM31A	CM32A	CM33A	CM34A	CM35A	CM36A
Gp_EAB_462	293	9546	2916	677	59	9	170	746	413	254	79	54	162	135	61	144	122	219	3588	151	203	86	22	216	141	71	255	362	75	49	148	5567	13	388	125	170	259	293	67	197	647	105	10	461	27	100	57	266	11	15	294	329	389	51	1068	130	1423	604	152	265	711	913	284	693	755	113	5250	1200	25985	2102	535	131
Gp_MJ1_12	2739	131	251	403	1546	5	2782	1573	1018	4593	977	979	1838	1846	819	552	1063	13219	1907	1122	2678	1912	3942	1984	1681	960	9016	3417	2191	2002	1755	11721	3355	1746	2957	1449	1978	3982	2238	1832	1215	3594	5454	2149	1793	1978	1769	2145	3865	1779	1796	559	2490	5171	461	761	151	499	61	239	745	209	147	650	411	107	722	742	681	187	475	660
Gp_MJ1_149	2	33	83	9	14	14	73	43	11	280	16	378	79	25	91	287	91	122	244	37	113	198	15	106	31	16	28	31	10	340	110	40	169	104	63	51	662	194	42	148	128	90	329	198	102	28	158	262	16	6	146	6	79	42	28	7	6	16	70	8	311	12	7	12	31	71	73	22	19	18	16	5
Gp_MJ1_272	119	13	13	323	192	8	223	62	1658	49	164	64	159	128	53	83	36	720	63	150	72	49924	89	155	50	43	197	69	155	125	201	130	674	215	246	172	51	2270	153	6451	148	251	484	2077	466	109	473	107	342	38	158	82	91	479	201	32	246	66	70	14	45	42	9	66	63	41	148	81	43	30	53	144
Gp_MJ1_444	625	892	78	343	687	330	1266	468	558	199	330	424	300	367	291	588	751	1181	3594	1506	3392	1201	1593	6359	408	478	1278	540	411	385	1056	1013	1326	1663	937	984	6367	1479	1106	607	522	931	826	811	2738	773	1091	812	599	337	750	456	534	1589	122	324	211	217	70	85	381	145	42	139	250	431	169	250	138	261	753	275
Gp_MJ2_113	593	7936	162	194	904	198	4625	1988	2022	283	14872	705	1122	1660	56	444	2212	718	370	579	933	128	225	363	596	821	344	2227	1291	145	1084	285	696	1911	467	4242	357	162	191	1044	419	315	277	188	54	14435	129	398	47	404	366	1006	507	287	1235	803	1536	1946	1671	980	344	2051	871	791	2752	1741	996	278	652	767	6326	798
Gp_MJ3_423	37	11	10	694	207	316	47	315	144	123	186	29161	3923	3556	92	33001	5631	4838	81	3733	23720	7769	49	300	434	330	398	224	103	78	89	751	205	216	1121	99	3100	1100	516	1287	4005	198	73767	3597	159	3	216	775	270	197	1282	115	198	5315	67	20	9	8	5	34	20	76	193	81	39	39	277	33	11	28	468	169
Gp_MJ3_477	806	3304	120	2122	499	253	1074	1350	3063	441	2071	2004	3711	2282	177	445	2623	581	818	990	546	710	449	657	644	943	620	1324	4040	214	1019	469	560	1828	531	2144	545	760	1235	1217	1514	2845	557	550	815	3645	663	1251	428	1217	521	808	509	1496	1308	558	1666	4959	1255	913	3938	1391	4412	1045	2550	1557	1790	843	2399	1674	5724	810
Gp_MJ4_197	1860	65	32	520	3218	0	13235	141	349	8	123	1213	4512	74	37	6349	277	773	3282	2143	2606	876	309	4512	744	397	220	626	59	906	730	447	442	147	401	128	212	7065	3838	126	92	3437	263	718	357	1289	328	8347	432	31	193	10	156	2208	45	4	134	13	6	8	11	8	1	24	15	22	13	69	106	7	28	13
Gp_MJ4_65	36	0	5	2	21	300150	28	38	2	36	7	562	9	12	62	27	3	9	36	36	99	13	4	19	10	1	5	2	198	412	49	9	15	4	20	0	10	37	1	2	8	4	165	35	22	4	2391	67	35	3	3	5	8	38	4	1	2	5	3	1	5	0	0	8	1	1	4	1	0	0	65	1
