#OTU ID	D06	G22	G29	G31	G43	H03	H05	I02	I04	I06	I14	M08	M20	P02	P14	P23	X02	Y07	Y09	Y19	Z10	B02	B08	B09	B13	B15	B19	B23	B25	A12	A20	A22	A24	C04	C14	E04	E06	E07	G27	G37	G39	K15	K27	M02	M14	P27	X04	Z06	Z07	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	OG24B2A
Gp_EAB_462	130	787	732	134	580	228	1298	970	833	24	3	719	743	122	104	347	947	723	1574	29	420	5266	574	302	15	30	162	210	176	291	343	34	1240	283	233	122	795	66	247	267	913	379	261	85	95	226	123	784	336	165	2401	257	87	305	130	417	201	70	158	326	60
Gp_MJ1_12	144	505	268	627	103	148	759	273	421	2533	13	626	1640	66	1084	137	135	325	23	2426	665	7203	595	378	1207	1393	1851	1231	227	37935	428	48	978	1931	26944	46	940	502	913	1111	1451	3699	2999	2672	419	4204	659	1005	3357	11462	1157	891	3485	4465	2837	2197	424	2693	3227	1422	415
Gp_MJ1_149	2	6	1	170	21	48	253	4	4	10	54	33	9	6	46	12	10	6	1	7	6	23	131	18	26	106	113	166	7	39	43	99	28	10380	71	25	213	19	30	16	18	754	105	91	13	103	40	55	135	61	41	40	190	91	103	222	5	15	176	65	10
Gp_MJ1_272	2	6	17	164	72	79	54	22	78	211	21	10855	28	31	37	115	3	78	236	990	44	47	40	79	118303	239	44	74	24	104	26	3834	46	90	186	81	67	31	88	24	33	51	112	218	315	55	88	81	62	115	88	50	744	100	205	75	63	310	300	76	188
Gp_MJ1_444	21	73	33	307	322	161816	482	67	87	869	89	215	174	186	286	274	96	153	145099	610	192	640	239	529	2181	671	534	939	919	2402	113	334	637	1099	1091	818	1222	207	469	427	370	933	1248	990	1715	1054	355	499	629	1038	1245	847	1257	1390	2200	930	673	1406	1509	727	360
Gp_MJ2_113	138	76	812	1018	987	157	972	332	731	2708	16046	415	59	370	75	258	348	614	79	527	1328	428	3107	944	1154	2353	532	626	2126	210	635	4042	5708	924	758	5027	1894	8703	1323	996	601	102	704	113	9054	604	1448	3028	666	296	469	577	6535	234	317	412	423	201	3673	1964	782
Gp_MJ3_423	25	5	26	38	413	188	18	18	9	4	2	174	11	5	203	30	14	12	82	15	180	223	592	116	402	420	603	200	254	496	6683	75060	46	13232	353	2427	5457	21	612	15	66	9861	1643	1240	45	174	226	881	80	3478	638	1711	49	5081	1044	570	198	102	874	518	88
Gp_MJ3_477	59	51	696	1903	689	1390	859	348	300	1164	9604	731	262	149	315	405	213	579	411	878	986	661	3265	769	620	1027	603	568	2718	437	1060	3311	1782	1598	753	2468	4140	6771	1601	2231	1405	418	936	972	3338	915	6631	4272	338	934	750	870	2091	854	541	343	283	701	1015	1704	2491
Gp_MJ4_197	1	4	4	31	11	6	47	117	13	605	25	81	1287	244	30	26	10	469	1	753	50	378	51	31	289	221	1114	181	27	17311	104	139	423	9280	217	123	2934	62	39	974	1212	287	2449	6840	40	157	3524	18	218	19711	44	320	214	174	275	558	57	294	10148	194	54
Gp_MJ4_65	0	0	0	18	4	0	0	11	2	1	2	7	1	0	0	0	8	3	1	5	83	6	15	14	23	27	7	306	18070	60	0	34	2	8	7	1	4	1	2	0	3	48	8	15	34	10	3	7	102	7	2	7	734	6	1	20	16	35	187	6	16
