#OTU ID	E11	G33	I09	M18	B27	A02	A28	A33	A37	C02	D02	D10	D18	G02	G47	K43	M04	M16	P15	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z04	Z12	Z14
Gp_EAB_462	893	429	278	714	31	285	32	99	154	43	63	23	78	243	98	65	240	34	43	248	135	23	95	124	66	244	122	98	161	15	34	1004	139	20	291	202	89	170	208	127	297	178	117	99	236	369	52	7601	66	101	323	5	107	575	115	189	149	674	403	114	250	186	620	295	520
Gp_MJ1_12	1282	1557	102	796	321	245	1213	216	312	627	2825	76	2301	2379	201	412	8641	480	1343	5889	2273	5905	46631	5779	22264	2930	3257	4594	2673	354	3269	2784	3859	6921	4485	3066	1455	11737	2061	3977	14091	7085	1723	2717	2026	1592	724	3614	3491	472	3309	6521	3318	7050	1760	2153	1302	3772	2460	4519	17139	2724	2392	2929	2012
Gp_MJ1_149	5	19	187	15	24	95	12	8	105	35	41	75	39	111	32	23	59	287	1025	57	73	523	89	77	62	35	95	588	6	14	153	405	68	22	177	84	0	279	60	32	126	131	90	109	204	51	8	19	51	21	92	142	2	27	37	74	402	67	36	116	55	38	110	102212	125
Gp_MJ1_272	14	554	27	30	12	87	35	61	158	30	70517	33	226	169	41	24	69	62	174	223	132	396	104	798	47	132	35848	97	804	1	2020	60	266	399	7875	69	69	290	172	323	199	254	176	171	259	310	138	361	445	26	3118	166	634	61	45	54	140	129	167	122	164	174	63	179	65
Gp_MJ1_444	61	157	81	247	200	431	233	217	178	333	553	56	6187	856	1273	205	1608	1464	585	822	1370	1820	2279	21749	1556	1243	1045	2391	1649	741	1144	691	1440	1188	1227	1023	802	1837	2780	1967	1229	1471	562	1922	637	1228	495	2269	1384	470	896	4680	980	814	335	772	1063	1264	2972	2867	2269	1250	1970	2421	1791
Gp_MJ2_113	279	7210	2044	507	390	1293	700	222	5795	6335	785	2997	877	1441	70867	1735	544	625	3227	756	228	143	251	869	236	150	349	320	154	426	344	75	433	212	7764	247	292	1987	349	629	451	117	445	201	1338	3110	1033	296	56	670	464	264	685	305	24	1037	233	201	2140	138	219	435	593	226	231
Gp_MJ3_423	13	3	0	82	201	188	267	437	4564	199	1222	1025	507	44	14	131	539	153387	1077	80	130	47	1448	24	641	138	249	21183	32	154	86	452	44	70	2089	279	167	8	1958	1174	138	198	1587	6	323	2776	128	87	72	779	3733	9	14	73	8	15164	274	164	375	85	380	81	154	5130	2973
Gp_MJ3_477	116	1920	3093	391	241	931	1324	432	4563	9482	1860	3883	823	2510	13456	3322	1069	663	36068	1552	622	1092	467	1096	449	797	1115	1154	639	746	855	351	1741	463	1465	474	396	5107	410	2321	1047	478	505	2825	1394	2558	2456	429	352	892	743	344	1392	513	170	932	913	805	1004	805	457	550	777	781	824
Gp_MJ4_197	49	68	68	63	11	43	13	57	163	16	342	8	225	125	22	14	2463	469	128	9617	2850	577	2337	1244	1702	52440	153	5711	2999	81	399	163	21325	208	293	17941	94	743	298	12183	212	24762	92	278	81891	114	90748	166205	17336	129	1853	31881	228	196	318	613	168	272	94377	10023	3866	10459	18997	305	4127
Gp_MJ4_65	1	0	0	2	7	10	1	2	7	11	21	4	7	8	12	2	1	411	20	21	3	27	38	20	185	51	117	33	17	111	20543	252	81	145	11	33	2564	176	5	9	84	51	13	76	70	621	0	5	35	717	8	12	1	485	551	243	651	14	15	14	195	11	66	7	3
