edge_id	source	target	corr	weight	p	p.adjust	cor_type	pairs
edge_1	Gp_MJ3_477	Gp_MJ2_113	0.7257	0.7257	0.001	0.001	Positive	Gp_MJ3_477__Gp_MJ2_113__Positive
edge_2	Gp_MJ4_197	Gp_MJ1_12	0.6269	0.6269	0.001	0.001	Positive	Gp_MJ4_197__Gp_MJ1_12__Positive
edge_3	Sg_A11_12	Gp_YAB_339	0.7815	0.7815	0.001	0.001	Positive	Sg_A11_12__Gp_YAB_339__Positive
edge_4	Sg_A11_2	Gp_YAB_339	0.6592	0.6592	0.001	0.001	Positive	Sg_A11_2__Gp_YAB_339__Positive
edge_5	Sg_A11_2	Sg_A11_12	0.7174	0.7174	0.001	0.001	Positive	Sg_A11_2__Sg_A11_12__Positive
edge_6	Sg_A19_11	Gp_MJ4_65	0.4705	0.4705	0.001	0.001	Positive	Sg_A19_11__Gp_MJ4_65__Positive
edge_7	Sg_A20_2	Gp_YAB_333	0.5992	0.5992	0.001	0.001	Positive	Sg_A20_2__Gp_YAB_333__Positive
edge_8	Sg_A20_35	Gp_YAB_333	0.6476	0.6476	0.001	0.001	Positive	Sg_A20_35__Gp_YAB_333__Positive
edge_9	Sg_A20_35	Sg_A20_2	0.6002	0.6002	0.001	0.001	Positive	Sg_A20_35__Sg_A20_2__Positive
edge_10	Sg_A22_19	Gp_MJ1_272	0.4904	0.4904	0.001	0.001	Positive	Sg_A22_19__Gp_MJ1_272__Positive
edge_11	Sg_A22_19	Sg_A17_17	0.6662	0.6662	0.001	0.001	Positive	Sg_A22_19__Sg_A17_17__Positive
edge_12	Sg_A22_3	Sg_A17_17	0.5419	0.5419	0.001	0.001	Positive	Sg_A22_3__Sg_A17_17__Positive
edge_13	Sg_A22_3	Sg_A22_19	0.6372	0.6372	0.001	0.001	Positive	Sg_A22_3__Sg_A22_19__Positive
edge_14	Sg_A22_8	Gp_MJ1_12	0.7394	0.7394	0.001	0.001	Positive	Sg_A22_8__Gp_MJ1_12__Positive
edge_15	Sg_A22_8	Gp_MJ1_272	0.5723	0.5723	0.001	0.001	Positive	Sg_A22_8__Gp_MJ1_272__Positive
edge_16	Sg_A22_8	Gp_MJ4_197	0.6639	0.6639	0.001	0.001	Positive	Sg_A22_8__Gp_MJ4_197__Positive
edge_17	Sg_A22_8	Gp_NH_148	0.6217	0.6217	0.001	0.001	Positive	Sg_A22_8__Gp_NH_148__Positive
edge_18	Sg_A24_54	Sg_A11_47	0.6573	0.6573	0.001	0.001	Positive	Sg_A24_54__Sg_A11_47__Positive
edge_19	Sg_A27_23	Gp_YAB_333	0.6763	0.6763	0.001	0.001	Positive	Sg_A27_23__Gp_YAB_333__Positive
edge_20	Sg_A27_23	Sg_A20_2	0.6616	0.6616	0.001	0.001	Positive	Sg_A27_23__Sg_A20_2__Positive
edge_21	Sg_A27_23	Sg_A20_35	0.809	0.809	0.001	0.001	Positive	Sg_A27_23__Sg_A20_35__Positive
edge_22	Sg_A27_31	Gp_MJ1_12	0.7168	0.7168	0.001	0.001	Positive	Sg_A27_31__Gp_MJ1_12__Positive
edge_23	Sg_A27_31	Gp_MJ4_197	0.7208	0.7208	0.001	0.001	Positive	Sg_A27_31__Gp_MJ4_197__Positive
edge_24	Sg_A27_31	Gp_meta27_16	0.5891	0.5891	0.001	0.001	Positive	Sg_A27_31__Gp_meta27_16__Positive
edge_25	Sg_A27_31	Sg_A22_8	0.7602	0.7602	0.001	0.001	Positive	Sg_A27_31__Sg_A22_8__Positive
edge_26	Sg_A28_8	Gp_YAB_333	0.6866	0.6866	0.001	0.001	Positive	Sg_A28_8__Gp_YAB_333__Positive
edge_27	Sg_A28_8	Sg_A20_35	0.6614	0.6614	0.001	0.001	Positive	Sg_A28_8__Sg_A20_35__Positive
