edge_id	source	target	corr	weight	p	p.adjust	cor_type
edge_1	Gp_MJ1_272	Gp_EAB_462	-0.3	0.3	0.001	0.001	Negative
edge_2	Gp_MJ1_272	Gp_MJ1_12	0.3469	0.3469	0.001	0.001	Positive
edge_3	Gp_MJ1_444	Gp_EAB_462	-0.3012	0.3012	0.001	0.001	Negative
edge_4	Gp_MJ1_444	Gp_MJ1_12	0.4032	0.4032	0.001	0.001	Positive
edge_5	Gp_MJ2_113	Gp_MJ1_12	-0.3497	0.3497	0.001	0.001	Negative
edge_6	Gp_MJ3_423	Gp_EAB_462	-0.3747	0.3747	0.001	0.001	Negative
edge_7	Gp_MJ3_423	Gp_MJ1_444	0.4442	0.4442	0.001	0.001	Positive
edge_8	Gp_MJ3_477	Gp_MJ2_113	0.7101	0.7101	0.001	0.001	Positive
edge_9	Gp_MJ4_197	Gp_EAB_462	-0.5239	0.5239	0.001	0.001	Negative
edge_10	Gp_MJ4_197	Gp_MJ1_12	0.5506	0.5506	0.001	0.001	Positive
edge_11	Gp_MJ4_197	Gp_MJ1_272	0.3408	0.3408	0.001	0.001	Positive
edge_12	Gp_MJ4_197	Gp_MJ1_444	0.4147	0.4147	0.001	0.001	Positive
edge_13	Gp_MJ4_197	Gp_MJ3_423	0.4699	0.4699	0.001	0.001	Positive
edge_14	Gp_MJ4_65	Gp_MJ3_423	0.4413	0.4413	0.001	0.001	Positive
edge_15	Gp_NH_148	Gp_EAB_462	-0.5086	0.5086	0.001	0.001	Negative
edge_16	Gp_NH_148	Gp_MJ1_12	0.4215	0.4215	0.001	0.001	Positive
edge_17	Gp_NH_148	Gp_MJ1_272	0.3668	0.3668	0.001	0.001	Positive
edge_18	Gp_NH_148	Gp_MJ3_423	0.4407	0.4407	0.001	0.001	Positive
edge_19	Gp_NH_148	Gp_MJ4_197	0.5244	0.5244	0.001	0.001	Positive
edge_20	Gp_YAB_333	Gp_MJ1_272	-0.3466	0.3466	0.001	0.001	Negative
edge_21	Gp_meta27_16	Gp_EAB_462	-0.3518	0.3518	0.001	0.001	Negative
edge_22	Gp_meta27_16	Gp_MJ1_12	0.3542	0.3542	0.001	0.001	Positive
edge_23	Gp_meta27_16	Gp_MJ2_113	-0.3972	0.3972	0.001	0.001	Negative
