edge_id	source	target	corr	weight	p	p.adjust	cor_type
edge_1	Gp_MJ1_12	Gp_EAB_462	-0.4664	0.4664	0.001	0.001	Negative
edge_2	Gp_MJ1_272	Gp_EAB_462	-0.3889	0.3889	0.001	0.001	Negative
edge_3	Gp_MJ1_272	Gp_MJ1_12	0.5197	0.5197	0.001	0.001	Positive
edge_4	Gp_MJ1_444	Gp_EAB_462	-0.4219	0.4219	0.001	0.001	Negative
edge_5	Gp_MJ1_444	Gp_MJ1_12	0.5916	0.5916	0.001	0.001	Positive
edge_6	Gp_MJ1_444	Gp_MJ1_149	0.5115	0.5115	0.001	0.001	Positive
edge_7	Gp_MJ1_444	Gp_MJ1_272	0.4705	0.4705	0.001	0.001	Positive
edge_8	Gp_MJ3_423	Gp_EAB_462	-0.5009	0.5009	0.001	0.001	Negative
edge_9	Gp_MJ3_423	Gp_MJ1_149	0.4608	0.4608	0.001	0.001	Positive
edge_10	Gp_MJ3_423	Gp_MJ1_272	0.3941	0.3941	0.001	0.001	Positive
edge_11	Gp_MJ3_423	Gp_MJ1_444	0.4348	0.4348	0.001	0.001	Positive
edge_12	Gp_MJ3_477	Gp_MJ2_113	0.6035	0.6035	0.001	0.001	Positive
edge_13	Gp_MJ4_197	Gp_EAB_462	-0.4271	0.4271	0.001	0.001	Negative
edge_14	Gp_MJ4_197	Gp_MJ1_12	0.5816	0.5816	0.001	0.001	Positive
edge_15	Gp_MJ4_197	Gp_MJ1_272	0.427	0.427	0.001	0.001	Positive
edge_16	Gp_MJ4_197	Gp_MJ1_444	0.5677	0.5677	0.001	0.001	Positive
edge_17	Gp_MJ4_65	Gp_MJ1_149	0.5154	0.5154	0.001	0.001	Positive
edge_18	Gp_MJ4_65	Gp_MJ1_444	0.5463	0.5463	0.001	0.001	Positive
edge_19	Gp_MJ4_65	Gp_MJ3_423	0.4486	0.4486	0.001	0.001	Positive
edge_20	Gp_NH_148	Gp_EAB_462	-0.4701	0.4701	0.001	0.001	Negative
edge_21	Gp_NH_148	Gp_MJ1_12	0.4957	0.4957	0.001	0.001	Positive
edge_22	Gp_NH_148	Gp_MJ1_444	0.4827	0.4827	0.001	0.001	Positive
edge_23	Gp_NH_148	Gp_MJ3_423	0.4307	0.4307	0.001	0.001	Positive
edge_24	Gp_NH_148	Gp_MJ4_197	0.5332	0.5332	0.001	0.001	Positive
edge_25	Gp_YAB_333	Gp_MJ1_149	-0.382	0.382	0.001	0.001	Negative
edge_26	Gp_meta27_16	Gp_MJ4_197	0.4361	0.4361	0.001	0.001	Positive
edge_27	Gp_meta27_16	Gp_NH_148	0.4694	0.4694	0.001	0.001	Positive
edge_28	Gp_meta27_511	Gp_MJ1_12	-0.4902	0.4902	0.001	0.001	Negative
edge_29	Gp_meta27_511	Gp_MJ1_149	-0.3937	0.3937	0.001	0.001	Negative
edge_30	Gp_meta27_511	Gp_meta27_16	-0.4596	0.4596	0.001	0.001	Negative
edge_31	Sg_A11_10	Gp_EAB_462	-0.5303	0.5303	0.001	0.001	Negative
edge_32	Sg_A11_10	Gp_MJ1_12	0.6249	0.6249	0.001	0.001	Positive
edge_33	Sg_A11_10	Gp_MJ1_272	0.475	0.475	0.001	0.001	Positive
edge_34	Sg_A11_10	Gp_MJ1_444	0.5495	0.5495	0.001	0.001	Positive
edge_35	Sg_A11_10	Gp_MJ4_197	0.5574	0.5574	0.001	0.001	Positive
edge_36	Sg_A11_10	Gp_NH_148	0.4826	0.4826	0.001	0.001	Positive
edge_37	Sg_A11_12	Gp_YAB_339	0.8111	0.8111	0.001	0.001	Positive
edge_38	Sg_A11_2	Gp_YAB_339	0.6048	0.6048	0.001	0.001	Positive
edge_39	Sg_A11_2	Sg_A11_12	0.5991	0.5991	0.001	0.001	Positive
edge_40	Sg_A17_17	Gp_MJ1_12	0.4867	0.4867	0.001	0.001	Positive
edge_41	Sg_A17_17	Gp_MJ1_272	0.4843	0.4843	0.001	0.001	Positive
edge_42	Sg_A17_17	Sg_A15_26	0.4891	0.4891	0.001	0.001	Positive
edge_43	Sg_A19_11	Gp_MJ1_444	0.4219	0.4219	0.001	0.001	Positive
edge_44	Sg_A19_11	Gp_MJ4_65	0.5564	0.5564	0.001	0.001	Positive
edge_45	Sg_A19_36	Gp_MJ3_423	0.4155	0.4155	0.001	0.001	Positive
edge_46	Sg_A19_36	Gp_MJ4_65	0.6304	0.6304	0.001	0.001	Positive
edge_47	Sg_A19_36	Gp_YAB_339	0.4261	0.4261	0.001	0.001	Positive
edge_48	Sg_A19_36	Sg_A19_11	0.5731	0.5731	0.001	0.001	Positive
edge_49	Sg_A19_51	Gp_MJ3_477	0.4623	0.4623	0.001	0.001	Positive
edge_50	Sg_A19_51	Sg_A17_17	0.5101	0.5101	0.001	0.001	Positive
edge_51	Sg_A19_51	Sg_A19_12	0.4749	0.4749	0.001	0.001	Positive
edge_52	Sg_A20_2	Gp_MJ1_12	-0.4369	0.4369	0.001	0.001	Negative
edge_53	Sg_A20_2	Gp_MJ1_272	-0.5136	0.5136	0.001	0.001	Negative
