edge_id	source	target	corr	weight	p	p.adjust	cor_type
edge_1	Gp_MJ1_444	Gp_MJ1_272	0.4885	0.4885	0.001	0.001	Positive
edge_2	Gp_MJ3_423	Gp_MJ1_149	0.5235	0.5235	0.001	0.001	Positive
edge_3	Gp_MJ3_477	Gp_MJ2_113	0.8175	0.8175	0.001	0.001	Positive
edge_4	Gp_MJ4_197	Gp_MJ1_12	0.529	0.529	0.001	0.001	Positive
edge_5	Gp_YAB_333	Gp_MJ1_272	-0.4396	0.4396	0.001	0.001	Negative
edge_6	Gp_meta27_511	Gp_MJ2_113	0.5384	0.5384	0.001	0.001	Positive
edge_7	Sg_A11_12	Gp_YAB_339	0.7981	0.7981	0.001	0.001	Positive
edge_8	Sg_A11_2	Gp_YAB_339	0.7388	0.7388	0.001	0.001	Positive
edge_9	Sg_A11_2	Sg_A11_12	0.7741	0.7741	0.001	0.001	Positive
edge_10	Sg_A15_26	Gp_MJ1_272	0.6007	0.6007	0.001	0.001	Positive
edge_11	Sg_A17_17	Gp_EAB_462	-0.3948	0.3948	0.001	0.001	Negative
edge_12	Sg_A17_17	Gp_MJ1_272	0.6049	0.6049	0.001	0.001	Positive
edge_13	Sg_A17_17	Gp_MJ2_113	0.5295	0.5295	0.001	0.001	Positive
edge_14	Sg_A17_17	Gp_MJ3_477	0.5812	0.5812	0.001	0.001	Positive
edge_15	Sg_A17_17	Sg_A15_26	0.6615	0.6615	0.001	0.001	Positive
edge_16	Sg_A19_11	Gp_MJ4_65	0.4561	0.4561	0.001	0.001	Positive
edge_17	Sg_A19_12	Gp_MJ1_272	0.4844	0.4844	0.001	0.001	Positive
edge_18	Sg_A19_12	Gp_YAB_333	-0.4862	0.4862	0.001	0.001	Negative
edge_19	Sg_A19_12	Sg_A17_17	0.5463	0.5463	0.001	0.001	Positive
edge_20	Sg_A19_18	Gp_MJ3_423	-0.3733	0.3733	0.001	0.001	Negative
edge_21	Sg_A19_18	Gp_MJ3_477	-0.3887	0.3887	0.001	0.001	Negative
edge_22	Sg_A19_51	Gp_MJ1_272	0.502	0.502	0.001	0.001	Positive
edge_23	Sg_A19_51	Gp_MJ3_477	0.5103	0.5103	0.001	0.001	Positive
edge_24	Sg_A19_51	Gp_meta27_16	-0.4142	0.4142	0.001	0.001	Negative
edge_25	Sg_A19_51	Sg_A15_26	0.5593	0.5593	0.001	0.001	Positive
edge_26	Sg_A19_51	Sg_A17_17	0.537	0.537	0.001	0.001	Positive
edge_27	Sg_A20_2	Gp_YAB_333	0.6494	0.6494	0.001	0.001	Positive
edge_28	Sg_A20_2	Sg_A11_10	-0.4022	0.4022	0.001	0.001	Negative
edge_29	Sg_A20_35	Gp_EAB_462	0.4459	0.4459	0.001	0.001	Positive
edge_30	Sg_A20_35	Gp_YAB_333	0.7723	0.7723	0.001	0.001	Positive
edge_31	Sg_A20_35	Sg_A19_12	-0.4816	0.4816	0.001	0.001	Negative
edge_32	Sg_A20_35	Sg_A20_2	0.6581	0.6581	0.001	0.001	Positive
edge_33	Sg_A22_19	Gp_MJ1_272	0.5762	0.5762	0.001	0.001	Positive
edge_34	Sg_A22_19	Gp_MJ2_113	0.4978	0.4978	0.001	0.001	Positive
edge_35	Sg_A22_19	Gp_MJ3_477	0.5823	0.5823	0.001	0.001	Positive
edge_36	Sg_A22_19	Gp_YAB_333	-0.4447	0.4447	0.001	0.001	Negative
edge_37	Sg_A22_19	Sg_A15_26	0.531	0.531	0.001	0.001	Positive
edge_38	Sg_A22_19	Sg_A17_17	0.7363	0.7363	0.001	0.001	Positive
edge_39	Sg_A22_19	Sg_A19_12	0.5059	0.5059	0.001	0.001	Positive
edge_40	Sg_A22_19	Sg_A19_51	0.5594	0.5594	0.001	0.001	Positive
edge_41	Sg_A22_19	Sg_A20_35	-0.4314	0.4314	0.001	0.001	Negative
edge_42	Sg_A22_3	Gp_MJ1_272	0.5793	0.5793	0.001	0.001	Positive
edge_43	Sg_A22_3	Gp_MJ2_113	0.5061	0.5061	0.001	0.001	Positive
edge_44	Sg_A22_3	Gp_MJ3_423	0.4806	0.4806	0.001	0.001	Positive
edge_45	Sg_A22_3	Gp_MJ3_477	0.6194	0.6194	0.001	0.001	Positive
edge_46	Sg_A22_3	Sg_A15_26	0.6023	0.6023	0.001	0.001	Positive
edge_47	Sg_A22_3	Sg_A17_17	0.6926	0.6926	0.001	0.001	Positive
edge_48	Sg_A22_3	Sg_A22_19	0.7319	0.7319	0.001	0.001	Positive
edge_49	Sg_A22_8	Gp_MJ1_12	0.6317	0.6317	0.001	0.001	Positive
edge_50	Sg_A22_8	Gp_MJ1_272	0.5567	0.5567	0.001	0.001	Positive
edge_51	Sg_A22_8	Gp_MJ3_423	0.436	0.436	0.001	0.001	Positive
edge_52	Sg_A22_8	Gp_MJ4_197	0.5179	0.5179	0.001	0.001	Positive
edge_53	Sg_A22_8	Gp_NH_148	0.4584	0.4584	0.001	0.001	Positive
edge_54	Sg_A22_8	Gp_YAB_333	-0.5594	0.5594	0.001	0.001	Negative
edge_55	Sg_A22_8	Sg_A15_26	0.438	0.438	0.001	0.001	Positive
