node_id	Domain	Phylum	Class	Order	Family	Genus	Species	Abundance
Gp_MJ1_444	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003477525	0.00288660569276365
Gp_MJ3_423	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Terrisporobacter	s__Terrisporobacter sp900557165	0.00113750482472575
Gp_MJ3_477	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides faecis	0.000747366303919781
Gp_MJ4_197	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp000436615	0.000700324917080025
Gp_YAB_333	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000436915	0.000119899179600203
Gp_meta27_511	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp000438115	0.000489036489297653
Sg_A11_12	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__	0.00082471606843272
Sg_A11_2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter roggenkampii	0.00919437000460833
Sg_A15_26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-917	g__CAG-349	s__CAG-349 sp003539515	0.0000523869989806373
Sg_A17_17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Ruminococcus_B	s__Ruminococcus_B gnavus	0.0108970096297598
Sg_A19_11	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus infantarius	0.000660344710928689
Sg_A19_12	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter torques	0.00275926409502002
Sg_A19_18	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp900546075	0.000914182553798323
Sg_A19_51	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster citroniae	0.000464695306572431
Sg_A20_2	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp000437795	0.00220187007248517
Sg_A20_35	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp000434975	0.00371554023651375
Sg_A22_19	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__Faecalimonas phoceensis	0.00397623206580278
Sg_A22_3	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium_A	s__Fusobacterium_A sp900015295	0.00246283539820932
Sg_A22_8	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp003471165	0.0156396781600035
Sg_A24_54	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus	s__Coprococcus eutactus_A	0.00214911012382029
Sg_A27_23	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella stercorea	0.00214231415179622
Sg_A27_31	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii	0.00723308562954586
Sg_A28_8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__	0.00798584727223109
Sg_A33_4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina perfringens	0.00209876191644687
Sg_A34_19	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_A	0.000461902327825955
Sg_B03_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__ER4	s__ER4 sp000765235	0.00640901600723251
Sg_B03_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__Ruminococcus_C sp000433635	0.000874111182168616
Sg_B04_2	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans	0.00472402104603137
Sg_B07_12	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp900544195	0.000860552389203528
Sg_B07_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella	s__Hungatella hathewayi	0.000219485033065056
Sg_B07_50	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-170	s__CAG-170 sp900548625	0.0000709847565684478
Sg_B07_53	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides fragilis	0.00413344278936926
Sg_B07_62	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides gordonii	0.0000780376494861068
