edge_id	source	target	corr	weight	p	p.adjust	cor_type
edge_1	Gp_MJ1_444	Gp_MJ1_12	0.6599	0.6599	0.001	0.001	Positive
edge_2	Gp_MJ3_477	Gp_MJ2_113	0.7862	0.7862	0.001	0.001	Positive
edge_3	Gp_MJ4_197	Gp_MJ1_12	0.4571	0.4571	0.001	0.001	Positive
edge_4	Gp_MJ4_197	Gp_MJ1_444	0.4801	0.4801	0.001	0.001	Positive
edge_5	Gp_MJ4_197	Gp_MJ2_113	-0.3594	0.3594	0.001	0.001	Negative
edge_6	Gp_MJ4_65	Gp_MJ1_12	0.4398	0.4398	0.001	0.001	Positive
edge_7	Gp_MJ4_65	Gp_MJ1_444	0.4731	0.4731	0.001	0.001	Positive
edge_8	Gp_NH_148	Gp_MJ1_12	0.5032	0.5032	0.001	0.001	Positive
edge_9	Gp_NH_148	Gp_MJ1_444	0.6234	0.6234	0.001	0.001	Positive
edge_10	Gp_YAB_333	Gp_MJ1_12	-0.4804	0.4804	0.001	0.001	Negative
edge_11	Gp_YAB_333	Gp_MJ1_272	-0.4755	0.4755	0.001	0.001	Negative
edge_12	Gp_YAB_333	Gp_MJ1_444	-0.5227	0.5227	0.001	0.001	Negative
edge_13	Gp_YAB_333	Gp_MJ4_197	-0.3761	0.3761	0.001	0.001	Negative
edge_14	Gp_meta27_16	Gp_MJ1_12	0.4479	0.4479	0.001	0.001	Positive
edge_15	Gp_meta27_16	Gp_MJ3_477	-0.3859	0.3859	0.001	0.001	Negative
edge_16	Gp_meta27_511	Gp_MJ2_113	0.4754	0.4754	0.001	0.001	Positive
edge_17	Gp_meta27_511	Gp_MJ3_477	0.4435	0.4435	0.001	0.001	Positive
edge_18	Gp_meta27_511	Gp_YAB_339	0.4645	0.4645	0.001	0.001	Positive
edge_19	Sg_A07_40	Gp_YAB_333	-0.4492	0.4492	0.001	0.001	Negative
edge_20	Sg_A07_40	Gp_meta27_511	-0.3736	0.3736	0.001	0.001	Negative
edge_21	Sg_A11_10	Gp_MJ1_12	0.5099	0.5099	0.001	0.001	Positive
edge_22	Sg_A11_10	Gp_MJ1_444	0.6435	0.6435	0.001	0.001	Positive
edge_23	Sg_A11_10	Gp_NH_148	0.5468	0.5468	0.001	0.001	Positive
edge_24	Sg_A11_12	Gp_YAB_339	0.7875	0.7875	0.001	0.001	Positive
edge_25	Sg_A11_12	Gp_meta27_511	0.5126	0.5126	0.001	0.001	Positive
edge_26	Sg_A11_2	Gp_YAB_339	0.7301	0.7301	0.001	0.001	Positive
edge_27	Sg_A11_2	Sg_A11_12	0.8165	0.8165	0.001	0.001	Positive
edge_28	Sg_A17_17	Gp_MJ1_272	0.5768	0.5768	0.001	0.001	Positive
edge_29	Sg_A17_17	Gp_MJ1_444	0.5058	0.5058	0.001	0.001	Positive
edge_30	Sg_A17_17	Gp_MJ4_65	0.41	0.41	0.001	0.001	Positive
edge_31	Sg_A17_17	Gp_YAB_333	-0.5392	0.5392	0.001	0.001	Negative
edge_32	Sg_A17_17	Sg_A15_26	0.5242	0.5242	0.001	0.001	Positive
edge_33	Sg_A19_11	Gp_MJ4_65	0.6023	0.6023	0.001	0.001	Positive
edge_34	Sg_A19_12	Gp_MJ1_272	0.5748	0.5748	0.001	0.001	Positive
edge_35	Sg_A19_12	Gp_YAB_333	-0.5113	0.5113	0.001	0.001	Negative
edge_36	Sg_A19_12	Sg_A07_40	0.3829	0.3829	0.001	0.001	Positive
edge_37	Sg_A19_12	Sg_A17_17	0.66	0.66	0.001	0.001	Positive
edge_38	Sg_A19_18	Gp_MJ1_12	0.5953	0.5953	0.001	0.001	Positive
edge_39	Sg_A19_18	Gp_MJ1_272	0.5035	0.5035	0.001	0.001	Positive
edge_40	Sg_A19_18	Gp_MJ1_444	0.4828	0.4828	0.001	0.001	Positive
edge_41	Sg_A19_18	Gp_MJ4_197	0.4853	0.4853	0.001	0.001	Positive
edge_42	Sg_A19_18	Gp_YAB_333	-0.574	0.574	0.001	0.001	Negative
edge_43	Sg_A19_18	Sg_A17_17	0.5368	0.5368	0.001	0.001	Positive
edge_44	Sg_A19_18	Sg_A19_12	0.374	0.374	0.001	0.001	Positive
edge_45	Sg_A19_36	Gp_MJ4_65	0.5467	0.5467	0.001	0.001	Positive
edge_46	Sg_A19_36	Gp_YAB_339	0.4263	0.4263	0.001	0.001	Positive
edge_47	Sg_A19_36	Sg_A11_12	0.4631	0.4631	0.001	0.001	Positive
edge_48	Sg_A19_51	Gp_MJ1_272	0.467	0.467	0.001	0.001	Positive
edge_49	Sg_A19_51	Gp_MJ1_444	0.4786	0.4786	0.001	0.001	Positive
edge_50	Sg_A19_51	Gp_MJ3_477	0.4871	0.4871	0.001	0.001	Positive
edge_51	Sg_A19_51	Gp_YAB_333	-0.5053	0.5053	0.001	0.001	Negative
edge_52	Sg_A19_51	Sg_A11_10	0.4385	0.4385	0.001	0.001	Positive
edge_53	Sg_A19_51	Sg_A17_17	0.5892	0.5892	0.001	0.001	Positive
edge_54	Sg_A19_51	Sg_A19_12	0.5943	0.5943	0.001	0.001	Positive
edge_55	Sg_A19_51	Sg_A19_18	0.5541	0.5541	0.001	0.001	Positive
edge_56	Sg_A20_2	Gp_MJ1_12	-0.4444	0.4444	0.001	0.001	Negative
edge_57	Sg_A20_2	Gp_MJ1_444	-0.5159	0.5159	0.001	0.001	Negative
edge_58	Sg_A20_2	Gp_YAB_333	0.6385	0.6385	0.001	0.001	Positive
edge_59	Sg_A20_2	Sg_A11_10	-0.5099	0.5099	0.001	0.001	Negative
edge_60	Sg_A20_2	Sg_A17_17	-0.4887	0.4887	0.001	0.001	Negative
edge_61	Sg_A20_2	Sg_A19_11	-0.4527	0.4527	0.001	0.001	Negative
edge_62	Sg_A20_2	Sg_A19_12	-0.3839	0.3839	0.001	0.001	Negative
edge_63	Sg_A20_2	Sg_A19_18	-0.4369	0.4369	0.001	0.001	Negative
edge_64	Sg_A20_2	Sg_A19_51	-0.4688	0.4688	0.001	0.001	Negative
edge_65	Sg_A20_35	Gp_MJ1_272	-0.49	0.49	0.001	0.001	Negative
edge_66	Sg_A20_35	Gp_YAB_333	0.5937	0.5937	0.001	0.001	Positive
edge_67	Sg_A20_35	Sg_A17_17	-0.5141	0.5141	0.001	0.001	Negative
edge_68	Sg_A20_35	Sg_A19_12	-0.5355	0.5355	0.001	0.001	Negative
edge_69	Sg_A20_35	Sg_A19_51	-0.5336	0.5336	0.001	0.001	Negative
edge_70	Sg_A20_35	Sg_A20_2	0.5587	0.5587	0.001	0.001	Positive
edge_71	Sg_A22_19	Gp_MJ1_272	0.3984	0.3984	0.001	0.001	Positive
edge_72	Sg_A22_19	Gp_MJ1_444	0.4274	0.4274	0.001	0.001	Positive
edge_73	Sg_A22_19	Gp_MJ3_477	0.4191	0.4191	0.001	0.001	Positive
edge_74	Sg_A22_19	Gp_YAB_333	-0.3867	0.3867	0.001	0.001	Negative
edge_75	Sg_A22_19	Sg_A17_17	0.6617	0.6617	0.001	0.001	Positive
edge_76	Sg_A22_19	Sg_A19_12	0.4853	0.4853	0.001	0.001	Positive
edge_77	Sg_A22_19	Sg_A19_51	0.5214	0.5214	0.001	0.001	Positive
edge_78	Sg_A22_19	Sg_A20_35	-0.3956	0.3956	0.001	0.001	Negative
edge_79	Sg_A22_3	Gp_MJ1_12	0.4033	0.4033	0.001	0.001	Positive
edge_80	Sg_A22_3	Gp_MJ1_272	0.3871	0.3871	0.001	0.001	Positive
edge_81	Sg_A22_3	Gp_MJ1_444	0.5532	0.5532	0.001	0.001	Positive
edge_82	Sg_A22_3	Sg_A15_26	0.484	0.484	0.001	0.001	Positive
edge_83	Sg_A22_3	Sg_A17_17	0.6224	0.6224	0.001	0.001	Positive
edge_84	Sg_A22_3	Sg_A19_12	0.4053	0.4053	0.001	0.001	Positive
edge_85	Sg_A22_3	Sg_A19_51	0.4531	0.4531	0.001	0.001	Positive
edge_86	Sg_A22_3	Sg_A20_2	-0.4429	0.4429	0.001	0.001	Negative
edge_87	Sg_A22_3	Sg_A22_19	0.5366	0.5366	0.001	0.001	Positive
edge_88	Sg_A22_8	Gp_MJ1_12	0.6124	0.6124	0.001	0.001	Positive
edge_89	Sg_A22_8	Gp_MJ1_272	0.5173	0.5173	0.001	0.001	Positive
edge_90	Sg_A22_8	Gp_MJ1_444	0.6864	0.6864	0.001	0.001	Positive
edge_91	Sg_A22_8	Gp_MJ4_197	0.4463	0.4463	0.001	0.001	Positive
edge_92	Sg_A22_8	Gp_NH_148	0.3784	0.3784	0.001	0.001	Positive
edge_93	Sg_A22_8	Gp_YAB_333	-0.51	0.51	0.001	0.001	Negative
edge_94	Sg_A22_8	Sg_A11_10	0.5923	0.5923	0.001	0.001	Positive
edge_95	Sg_A22_8	Sg_A19_18	0.6152	0.6152	0.001	0.001	Positive
edge_96	Sg_A22_8	Sg_A19_51	0.4826	0.4826	0.001	0.001	Positive
edge_97	Sg_A22_8	Sg_A20_2	-0.5583	0.5583	0.001	0.001	Negative
edge_98	Sg_A22_8	Sg_A22_19	0.4092	0.4092	0.001	0.001	Positive
edge_99	Sg_A24_54	Gp_MJ2_113	-0.4072	0.4072	0.001	0.001	Negative
edge_100	Sg_A24_54	Gp_meta27_16	0.3652	0.3652	0.001	0.001	Positive
edge_101	Sg_A24_54	Sg_A11_47	0.6836	0.6836	0.001	0.001	Positive
edge_102	Sg_A27_23	Gp_MJ1_272	-0.4747	0.4747	0.001	0.001	Negative
edge_103	Sg_A27_23	Gp_MJ1_444	-0.4844	0.4844	0.001	0.001	Negative
edge_104	Sg_A27_23	Gp_YAB_333	0.6893	0.6893	0.001	0.001	Positive
edge_105	Sg_A27_23	Sg_A17_17	-0.5583	0.5583	0.001	0.001	Negative
edge_106	Sg_A27_23	Sg_A19_12	-0.5121	0.5121	0.001	0.001	Negative
edge_107	Sg_A27_23	Sg_A19_18	-0.4074	0.4074	0.001	0.001	Negative
edge_108	Sg_A27_23	Sg_A19_51	-0.4841	0.4841	0.001	0.001	Negative
edge_109	Sg_A27_23	Sg_A20_2	0.6497	0.6497	0.001	0.001	Positive
edge_110	Sg_A27_23	Sg_A20_35	0.7843	0.7843	0.001	0.001	Positive
edge_111	Sg_A27_23	Sg_A22_8	-0.5067	0.5067	0.001	0.001	Negative
edge_112	Sg_A27_31	Gp_MJ1_12	0.623	0.623	0.001	0.001	Positive
edge_113	Sg_A27_31	Gp_MJ1_444	0.6033	0.6033	0.001	0.001	Positive
edge_114	Sg_A27_31	Gp_MJ2_113	-0.3896	0.3896	0.001	0.001	Negative
edge_115	Sg_A27_31	Gp_MJ4_197	0.5033	0.5033	0.001	0.001	Positive
edge_116	Sg_A27_31	Gp_meta27_16	0.4783	0.4783	0.001	0.001	Positive
edge_117	Sg_A27_31	Sg_A11_10	0.5065	0.5065	0.001	0.001	Positive
edge_118	Sg_A27_31	Sg_A22_3	0.4101	0.4101	0.001	0.001	Positive
edge_119	Sg_A27_31	Sg_A22_8	0.5315	0.5315	0.001	0.001	Positive
edge_120	Sg_A28_8	Gp_MJ3_477	-0.4142	0.4142	0.001	0.001	Negative
edge_121	Sg_A28_8	Gp_YAB_333	0.6726	0.6726	0.001	0.001	Positive
edge_122	Sg_A28_8	Sg_A17_17	-0.488	0.488	0.001	0.001	Negative
edge_123	Sg_A28_8	Sg_A19_12	-0.5578	0.5578	0.001	0.001	Negative
edge_124	Sg_A28_8	Sg_A19_51	-0.5603	0.5603	0.001	0.001	Negative
edge_125	Sg_A28_8	Sg_A20_2	0.4293	0.4293	0.001	0.001	Positive
edge_126	Sg_A28_8	Sg_A20_35	0.7002	0.7002	0.001	0.001	Positive
edge_127	Sg_A28_8	Sg_A27_23	0.7074	0.7074	0.001	0.001	Positive
edge_128	Sg_A34_5	Sg_A07_40	-0.3797	0.3797	0.001	0.001	Negative
edge_129	Sg_B03_29	Gp_MJ1_272	-0.4423	0.4423	0.001	0.001	Negative
edge_130	Sg_B03_29	Gp_MJ1_444	-0.5046	0.5046	0.001	0.001	Negative
edge_131	Sg_B03_29	Gp_MJ4_65	-0.4755	0.4755	0.001	0.001	Negative
edge_132	Sg_B03_29	Sg_A17_17	-0.5565	0.5565	0.001	0.001	Negative
edge_133	Sg_B03_29	Sg_A19_12	-0.4721	0.4721	0.001	0.001	Negative
edge_134	Sg_B03_29	Sg_A19_51	-0.5744	0.5744	0.001	0.001	Negative
edge_135	Sg_B03_29	Sg_A20_2	0.4791	0.4791	0.001	0.001	Positive
edge_136	Sg_B03_29	Sg_A20_35	0.5036	0.5036	0.001	0.001	Positive
edge_137	Sg_B03_29	Sg_A22_19	-0.4511	0.4511	0.001	0.001	Negative
edge_138	Sg_B03_29	Sg_A22_3	-0.4892	0.4892	0.001	0.001	Negative
edge_139	Sg_B03_29	Sg_A22_8	-0.4968	0.4968	0.001	0.001	Negative
edge_140	Sg_B03_29	Sg_A27_23	0.4746	0.4746	0.001	0.001	Positive
edge_141	Sg_B03_38	Gp_MJ3_477	-0.3628	0.3628	0.001	0.001	Negative
edge_142	Sg_B03_38	Sg_A17_17	-0.4061	0.4061	0.001	0.001	Negative
edge_143	Sg_B04_2	Gp_MJ1_12	0.4393	0.4393	0.001	0.001	Positive
edge_144	Sg_B04_2	Sg_A11_10	0.4698	0.4698	0.001	0.001	Positive
edge_145	Sg_B04_2	Sg_A22_8	0.3851	0.3851	0.001	0.001	Positive
edge_146	Sg_B04_2	Sg_A27_31	0.5587	0.5587	0.001	0.001	Positive
edge_147	Sg_B07_12	Gp_MJ1_12	-0.5265	0.5265	0.001	0.001	Negative
edge_148	Sg_B07_12	Gp_MJ1_444	-0.572	0.572	0.001	0.001	Negative
edge_149	Sg_B07_12	Gp_MJ2_113	0.4516	0.4516	0.001	0.001	Positive
edge_150	Sg_B07_12	Gp_MJ4_197	-0.4141	0.4141	0.001	0.001	Negative
edge_151	Sg_B07_12	Gp_MJ4_65	-0.3658	0.3658	0.001	0.001	Negative
edge_152	Sg_B07_12	Gp_NH_148	-0.4024	0.4024	0.001	0.001	Negative
edge_153	Sg_B07_12	Sg_A11_10	-0.4597	0.4597	0.001	0.001	Negative
edge_154	Sg_B07_12	Sg_A19_11	-0.4515	0.4515	0.001	0.001	Negative
edge_155	Sg_B07_12	Sg_A19_18	-0.3892	0.3892	0.001	0.001	Negative
edge_156	Sg_B07_12	Sg_A20_2	0.5212	0.5212	0.001	0.001	Positive
edge_157	Sg_B07_12	Sg_A22_8	-0.5269	0.5269	0.001	0.001	Negative
edge_158	Sg_B07_38	Sg_A19_51	0.4888	0.4888	0.001	0.001	Positive
edge_159	Sg_B07_50	Sg_B03_29	0.4089	0.4089	0.001	0.001	Positive
edge_160	Sg_B07_53	Gp_MJ1_12	-0.4337	0.4337	0.001	0.001	Negative
edge_161	Sg_B07_53	Gp_MJ2_113	0.5589	0.5589	0.001	0.001	Positive
edge_162	Sg_B07_53	Sg_B07_12	0.5897	0.5897	0.001	0.001	Positive
edge_163	Sg_B07_62	Gp_MJ1_12	-0.4989	0.4989	0.001	0.001	Negative
edge_164	Sg_B07_62	Gp_MJ2_113	0.6071	0.6071	0.001	0.001	Positive
edge_165	Sg_B07_62	Gp_MJ3_477	0.5475	0.5475	0.001	0.001	Positive
edge_166	Sg_B07_62	Sg_A27_31	-0.4	0.4	0.001	0.001	Negative
edge_167	Sg_B07_62	Sg_B07_12	0.5526	0.5526	0.001	0.001	Positive
edge_168	Sg_B07_62	Sg_B07_53	0.6336	0.6336	0.001	0.001	Positive
edge_169	Sg_B08_36	Gp_MJ3_477	0.4725	0.4725	0.001	0.001	Positive
edge_170	Sg_B08_36	Sg_B07_12	0.4427	0.4427	0.001	0.001	Positive
edge_171	Sg_B08_36	Sg_B07_62	0.5753	0.5753	0.001	0.001	Positive
edge_172	Sg_B14_1	Gp_MJ3_423	0.6628	0.6628	0.001	0.001	Positive
edge_173	Sg_B14_1	Sg_A33_4	0.4265	0.4265	0.001	0.001	Positive
edge_174	Sg_B14_13	Gp_MJ1_12	-0.4176	0.4176	0.001	0.001	Negative
edge_175	Sg_B14_13	Gp_MJ2_113	0.6516	0.6516	0.001	0.001	Positive
edge_176	Sg_B14_13	Gp_MJ3_477	0.5473	0.5473	0.001	0.001	Positive
edge_177	Sg_B14_13	Sg_A34_5	0.4108	0.4108	0.001	0.001	Positive
edge_178	Sg_B14_13	Sg_B07_12	0.5528	0.5528	0.001	0.001	Positive
edge_179	Sg_B14_13	Sg_B07_53	0.5651	0.5651	0.001	0.001	Positive
edge_180	Sg_B14_13	Sg_B07_62	0.5848	0.5848	0.001	0.001	Positive
edge_181	Sg_B14_13	Sg_B08_36	0.4492	0.4492	0.001	0.001	Positive
edge_182	Sg_B15_22	Gp_MJ4_65	0.6436	0.6436	0.001	0.001	Positive
edge_183	Sg_B15_22	Gp_YAB_333	-0.45	0.45	0.001	0.001	Negative
edge_184	Sg_B15_22	Sg_A17_17	0.4667	0.4667	0.001	0.001	Positive
edge_185	Sg_B15_22	Sg_A19_11	0.7268	0.7268	0.001	0.001	Positive
edge_186	Sg_B15_22	Sg_A20_2	-0.506	0.506	0.001	0.001	Negative
edge_187	Sg_B15_22	Sg_B07_12	-0.4453	0.4453	0.001	0.001	Negative
edge_188	Sg_B15_23	Gp_MJ1_12	-0.5194	0.5194	0.001	0.001	Negative
edge_189	Sg_B15_23	Gp_MJ2_113	0.7347	0.7347	0.001	0.001	Positive
edge_190	Sg_B15_23	Gp_MJ3_477	0.6248	0.6248	0.001	0.001	Positive
edge_191	Sg_B15_23	Sg_B07_12	0.6363	0.6363	0.001	0.001	Positive
edge_192	Sg_B15_23	Sg_B07_53	0.7151	0.7151	0.001	0.001	Positive
edge_193	Sg_B15_23	Sg_B07_62	0.7606	0.7606	0.001	0.001	Positive
edge_194	Sg_B15_23	Sg_B08_36	0.5972	0.5972	0.001	0.001	Positive
edge_195	Sg_B15_23	Sg_B14_13	0.7282	0.7282	0.001	0.001	Positive
