Genome	Group	Gp_MJ1_12	Gp_MJ1_272	Gp_MJ1_444	Gp_MJ2_113	Gp_MJ3_423	Gp_MJ3_477	Gp_MJ4_197	Gp_MJ4_65	Gp_NH_148	Gp_YAB_333	Gp_YAB_339	Gp_meta27_16	Gp_meta27_511	Sg_A01_16	Sg_A11_10	Sg_A11_12	Sg_A11_2	Sg_A17_17	Sg_A19_11	Sg_A19_12	Sg_A19_36	Sg_A19_51	Sg_A20_2	Sg_A20_35	Sg_A22_19	Sg_A22_3	Sg_A22_8	Sg_A27_23	Sg_A27_31	Sg_A28_8	Sg_A33_4	Sg_A34_19	Sg_B03_29	Sg_B04_2	Sg_B07_12	Sg_B07_38	Sg_B07_50	Sg_B07_53	Sg_B07_62	Sg_B08_36	Sg_B14_1	Sg_B14_13	Sg_B15_22	Sg_B15_23	Sg_B15_35	Sg_B15_52	Sg_B19_40	Sg_B19_58	Sg_B25_10	Sg_B25_38	Sg_B26_35	Sg_B26_4	Sg_B27_18	Sg_B27_6	Sg_C02_30	Sg_C03_36	Sg_C04_33	Sg_C14_34	Sg_CA11_3	Sg_CA11_45	Sg_CA11_52	Sg_CA13_9	Sg_CA25_14	Sg_CA25_21	Sg_CA40A_55	Sg_CA9_20	Sg_CB03_44	Sg_CB03_47	Sg_CD23A_20	Sg_CD23A_32	Sg_CD24A_10	Sg_CD25A_53	Sg_CD26A_19	Sg_CD30A_34	Sg_CE19A_15	Sg_CE19A_24	Sg_CE19A_29	Sg_CE19A_36	Sg_CG50A_22	Sg_CG50A_49	Sg_CG50A_74	Sg_CK05A_18	Sg_CK05A_46	Sg_CK05A_56	Sg_CK28A_36	Sg_CK51A_47	Sg_CK52A_43	Sg_CK52A_74	Sg_CM17_16	Sg_CM17_58	Sg_CM17_7	Sg_CM21_15	Sg_CM21_57	Sg_CM29A_16	Sg_CM31A_43	Sg_CM31A_52	Sg_CM32A_26	Sg_CM32A_49	Sg_CM33A_60	Sg_CM33A_9	Sg_CM35A_15	Sg_D02_32	Sg_D02_9	Sg_D03_78	Sg_D09_14	Sg_D10_17	Sg_D18_45	Sg_E04_12	Sg_E06_10	Sg_E06_24	Sg_E10_50	Sg_EA47_17	Sg_EA47_9	Sg_EA57_9	Sg_EA61_27	Sg_EB03_22	Sg_EB08_12	Sg_EB09_7	Sg_EB10_11	Sg_EB13_4	Sg_EB21_10	Sg_EM03_7	Sg_EM12_46	Sg_EM22_6	Sg_EM25_40	Sg_EM30_38	Sg_EM34_4	Sg_G06_9	Sg_G09_4	Sg_G10_35	Sg_G11_20	Sg_G18_1	Sg_G18_19	Sg_G19_41	Sg_G21_58	Sg_G22_16	Sg_G26_10	Sg_G26_22	Sg_G29_33	Sg_G33_7	Sg_G39_28	Sg_G43_29	Sg_G47_17	Sg_H04_45	Sg_I05_27	Sg_I06_25	Sg_I07_11	Sg_I12_32	Sg_I12_44	Sg_I12_6	Sg_K01_5	Sg_K09_1	Sg_K09_61	Sg_K10_28	Sg_K14_18	Sg_K15_44	Sg_K16_50	Sg_K16_53	Sg_K17_22	Sg_K22_66	Sg_K22_8	Sg_K31_45	Sg_K32_30	Sg_K34_1	Sg_K36_16	Sg_K36_17	Sg_K36_27	Sg_K36_29	Sg_K36_3	Sg_K36_6	Sg_K40_4	Sg_K46_34	Sg_M01_13	Sg_M01_30	Sg_M02_37	Sg_M02_5	Sg_M02_8	Sg_M03_37	Sg_M03_38	Sg_M07_27	Sg_M07_39	Sg_M07_4	Sg_M08_36	Sg_M11_5	Sg_M11_7	Sg_M12_21	Sg_M12_39	Sg_M12_6	Sg_M15_10	Sg_M15_29	Sg_M17_3	Sg_M17_33	Sg_M21_45	Sg_OA11r1_10	Sg_OA11r1_12	Sg_OA11r1_9	Sg_OA7r2_4	Sg_OB03r2_1	Sg_OB03r2_39	Sg_OB03r2_6	Sg_OB05r2_32	Sg_OB05r2_38	Sg_OB05r2_8	Sg_OB24r1_18	Sg_OG24B2A_25	Sg_OG24B2A_8	Sg_OM21r1_55	Sg_P15_12	Sg_P15_2	Sg_P15_21	Sg_P22_10	Sg_P22_13	Sg_P23_1	Sg_P27_36	Sg_P27_4	Sg_P30_9	Sg_X05_12	Sg_X05_3	Sg_Y07_14	Sg_Y19_10	Sg_Y19_13	Sg_YA03_20	Sg_YA04_9	Sg_YA12_28	Sg_YA12_4	Sg_YA13_10	Sg_YA31_31	Sg_YB34_1	Sg_YB35_19	Sg_YB35_7	Sg_YB36_42	Sg_YB37_28	Sg_YB37_7	Sg_YB38_12	Sg_YB38_21	Sg_YB38_6	Sg_YB39_24	Sg_YB41_11	Sg_YB41_12	Sg_YB46_3	Sg_YB50_23	Sg_YB59_31	Sg_Z02_43	Sg_Z03_24	Sg_Z06_28	Sg_Z07_36	Sg_Z07_42	Sg_Z09_20	Sg_Z10_1	Sg_Z12_45	Sg_Z14_36	Sg_Z14_45	Sg_Z14_58	Sg_Z15_39	Sg_Z15_51	Sg_Z17_26
A01	C	0	0	0	0	0	0	0.039724607	0.005385778	0.028661134	0	0.049176306	0.12941715	0	0.52639335	0.07456873	0	0.29621482	0.18135288	0.14323075	0.39212912	0.019235516	0.03862907	0	0.04128508	0	0	0.31425956	0	0.096117064	0.31818005	0.03117829	0	0.009557801	0.3531946	0	0	0	0.018399363	0	0	0	0.037653208	0.5048588	0.081742354	0	0.01510732	0.022515006	0	0.17578694	0	0.028128227	0	0	0	0.027382905	0.050091717	0.032457907	0.040110078	0.68599117	0	0.47214404	0.061703693	0	0.025222827	0	1.2421402	0.010937194	0.09115546	0	0.03404989	0.123221226	0	0	0	0.37041914	0.112058096	0	0.09217425	0	0.13203259	0.14669767	0.55997753	0	0	0	0	0	0	0	0	0	1.0083905	0.05804925	0	0.12306884	0	0	0.18599428	0	0	0	0	0.4639443	0.12736341	0.44571048	0.073476195	0	0	0.06611395	0.024976285	0.31197265	1.6673955	0	0.1263144	0.035660747	0.6200919	0.059544347	0.22445332	0.01902666	0.27825773	0.040108036	0.019547438	0	0.08229048	0	1.527037	15.822383	0	0	0.21343201	0	1.09272	0	0	0	0	0	0	0	0	0.0582638	0	0.009575766	0.10301695	0.11079946	0.07311238	2.8268971	0	0.035079338	0.07155178	0.01833948	0	0.061908796	0.114752784	0.14521717	0.32287708	0	0.15720372	0	0.09060834	0	0	0	0	0.64150417	0.16707584	0.06650395	0.41851252	0.017891817	0.029716987	0	0.05480001	0	0	0.019237906	0	0.014560225	0	0	0	0.14400768	0.08666075	0.14728953	0	0	0.9309843	0.2246755	0.9661227	0.009575021	0	0	0.013929702	0.093262196	0.08701209	0.30900264	0	0	0.016619861	0.03277316	0	0.1234971	0.9719112	0.063645095	2.838264	0.65864635	0.091933124	0	0	0.054013137	0.60158765	0	0.056123696	0.018346747	0	0	0	0.030242031	0.3684557	0.022243178	0	0.07019593	0.049705356	0.022248596	0.081591174	0.006804583	0	0.096714795	0.14856225	0.023111679	0.042855967	0.34602243	0.21291326	0	0	0	0	0.3484955	0.5774197	0	0.017466703	0	0.11204395	0.052623406	0.037866287	0.23201042	0.013901017	0.40282127	0	0	1.0029402	0.054716796	0.020615166	2.3243625	0.03416618	0	0.02899455
A02	Y	0	0	0	0.032481603	0	0	0	0	0.042943586	0	0.030570723	0.10935183	0	0	0.024064003	0	0.16265763	0.025745528	0	0	0	0	0.54673845	0.68817616	0	0	0.27341464	0.313252	0.07070234	1.0012615	0.11120056	0	0.35973784	0.24810177	0.121784195	0	0	0	0	0.007342759	2.842407	0.016852584	0	0.055708352	0.015358529	0	0.019597538	0	0	0.054403458	0.44114226	0.033107605	0.07786285	0.05765305	0.08267884	0.029733868	0.10507671	0.037925303	0.20849504	0.0590705	0.006489709	0.05048795	0.013249998	0.008643124	0.13402697	0.4212022	0	0.09996703	0.0482883	0.015947413	0.024410147	0.13491347	0.045281775	0	0.040764805	0	0.028797975	0.045975365	0	0.23714072	0.1128548	0.065982744	0	0	0	0.06505985	0	0	0	0.101309784	0.022056762	0	0.006795484	0.2591066	0	0.2294189	0.065616496	0.1268812	0.03088617	0.10803012	0	0	0.102997765	0.10736188	0.19233897	0.04196026	0.0904365	0	0	0.022817403	0.1717138	0.2899607	0	0	0.02272274	0.15815057	0	0.22451615	0.017233567	0.11319675	0.012092993	0.09625591	0	0.07773131	0.05722591	0.84853816	20.226318	0	0.19567476	0.117563814	0.11467966	0.30777726	0	0.03243622	0.20237851	0.062397838	0.008900297	0	0	0.036116075	0.07600991	0.25085664	0	1.0597202	0.085388176	0.01080837	1.7698854	0	0.01705147	0.025578894	0.013100398	0	0.103333	0.42923227	0.6886534	0.118229076	0	0.49659264	0	0.056496203	0	0	0	0.20973076	0.20639548	0.05759971	0.28313366	0.053015742	0.02110073	0	0.05428228	0.10522745	0.26435342	0.3348277	0.021411326	0	0.009097664	0	0	0.20233126	0	0.07317209	0.08387086	0.3147272	0.02080377	0.16646458	0.14393757	0.26914242	0.24694069	0	0	0.15687507	0.27299714	0.14191906	0.12843424	0	0.97900265	0	0.01491301	0	0	0.13271032	0.054794334	0.2578036	0.24783462	0	0	0	0.09366731	0.19190566	0.24387957	0.02438804	0.020519195	0.103152774	0	0	0.04635017	1.2492629	0.046781946	0.08449409	0	0.04208035	0.06466345	0	0.4436764	0.037134334	1.9873297	0.03707838	0.02849538	0.02552048	0.10373474	0.3144992	0	0.12144303	0	0.025790995	0.034738343	0.09178737	0	0.0260385	0	0.054612495	0.030400945	0.24349307	0.06250561	0.11536874	0.35119236	0.1510487	0.2727438	0.08973181	0	0.01317589	2.5769548	0.042794622	0.016845435	0.19734383
A04	E	0.11772599	0	0	0.010983259	0	0	0.07772548	0	0.004397285	0	0	0.066729575	0	0	0.2189279	0	0	0	0	0.06302642	0	0.015149117	0	0	0	0	0.211034	0	0.06286425	0	0	0.77761745	2.5151763	0	0	0	0	0	0.010726005	0	0	0.014061552	0.004423897	0.049277052	0	0	0	0	0	0	0	0	0	0.028764723	0.065016225	0	0	0.7510894	1.7700065	0	0.010992117	0	0	0	0	0.2797636	0	0	0.07801918	0	0.010950821	0	0.008066979	0.010069235	0.077628165	0.21793748	0.006790636	0.069285005	0	0.29319307	0	0.21177222	0	0	0	0	0	0	0	1.1324719	0	0	0.092471376	0	0	0	0	0	0.06576411	0	0.06402926	0	0.04066063	0.24363667	0	0.067864835	0.14954102	0	0	0	0.31074673	0	0	0	0	0.03235556	0	0	0	0.23564589	0	0.077523224	0	0	0	0	0.15051268	0	0	0.032632478	0	0.14513683	0	0	0.048183598	0	0.053277858	0	0	0.09579745	0.3678635	0	0	0.2448585	0	0.012646482	0.020700201	0	0.21934363	0	0	0	0	0	0.081393465	0.15824316	0.013664804	0.08731885	0	0.026206339	0	0	0	0	0.3394242	0	0.107441425	0.100868806	0	0	0	0.11732054	0	0	0	0	0.017098334	0	0	0	0	0.14283602	0	0	0.039330263	0.6176687	0.15779944	0.21263161	0	0.11829106	0	0	0	0	0	0	0	1.3343508	0.024173182	0	0.049111146	0.092370324	0	0.20647201	2.9701414	0.019938963	0	0	1.3287846	1.415393	0	0	0	0	0	0	0	0	0	0	0.008478164	0	0.023324613	0.096357584	0.024488375	0	0	0	0	0	0.27319667	0	0	0	0	0.15504701	0	0	0.082884066	0.028602652	0	0	0.04811869	1.0946374	0.08814522	0	0.03310059	0	0	0.025472688	0.027023392	0	0.16091058	0.17293571	0	0.056211196
A07	C	0	0	0	0.054356135	0.020655347	0	0.031226167	0	0	0	0	0.022183811	0	0	0	0	0	0.114751264	0	1.1426345	0	0.018415831	0	0	0	0	0.047683638	0	0.074005924	0	0	0	1.3641663	0.1239694	0	0	0	0.75607497	0.023285279	0	0	0	0	0.07788659	0	0.039962843	0.012465656	0	0	0	0	0	0	0.027759625	0.048652463	0	1.1928048	0.060372453	0.03644765	0	0	0	0.07257515	0.06335563	0.06925051	0.1631545	0	0.054204803	0.08274464	0.33511397	0	0	0.24275604	0	0	0.22042489	0.099862345	0.20923287	0	0	0	0.39819193	0	0	0.13316593	0	0	0.04998564	0	2.7058015	0.49619928	0	0	0.41044292	0	0	2.0923252	0	0.06520177	0	0	0	0	0.05027423	0	0.080741845	0.12586895	0	0	0.013613778	0.055922043	0	0	0	0.014023586	0	0	0.00903528	0.013030289	0.12468949	0	0.02754684	0.14680341	0	0.03582024	0	0.62508696	1.8289052	0	0	0.3686033	0.80036026	0	0.12815264	0	0	1.6257678	0	0	0.06343869	0.046403855	0	0	0.05673466	2.4929924	0	0.11183326	0	0.3152884	0.015565336	0	0	0	0	0	0.047718342	0.045357857	0.070423976	0	0.014157033	0	0	0	0	0.088967204	0	0	0.10617021	0	0.102515586	0.32004005	0.09194952	0	0	0.010944757	0	0	0	0	0	0.36435062	0	0	0	0.095524594	0.36331257	1.1151216	0.112706006	0.12445293	0	0	0	0	0	0	0.05677395	0	0.42672962	0	0.17720746	0.009030054	0.14482744	0.010895361	0.22965996	0.36833823	0.6217536	0	0	0.91728556	0.08651912	0	0	0.016746718	0	0	0	0	0.04799855	0	0	0.04584237	0.07100665	0	0.03778719	0.03862142	0	0	0	0	0.020341912	0.09803656	0	0	0.061868615	0	0.015728883	0	0	0.5391708	0.10600921	0	0	0	0.20045114	0	1.1893686	0	0	0	0.043742508	0	0	0	0	0	0.7401871
A09	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005431795	0.533982	0	0.42745012	0	0.21904027	0	0	0	0	0.039457437	0	0	0	0	0	0.014513454	0.008832987	0	0.083284676	0	2.4349513	0	0.034644283	0.020582275	0	0.023317238	0.008263709	0	0.9498926	0	0	0	0	0.12806495	0.06442683	0.012902296	0	0.009553758	0	0.09117337	0.047138523	0	0.5820066	0.008580361	0.13844386	0.06740772	0.019603988	5.6792746	0	0.25011262	0.05165556	0	0.020348227	0	0	0.01617471	0.007571468	0.10136813	0	0.02389909	0.12666292	0	0	0	0.40269142	0.2794514	0	0	0	0	0.14882793	0	10.779276	1.010286	0	0.033800706	0	0.008253264	0	0.14995855	0.04611925	0	0	0	0	0	0.08255624	0	0	0.007908961	0	1.0543556	0	0.0877308	0.016016707	0	0	0	0.1422595	0	0	0	0.45996463	0	0.024695255	0	0	0	0	0.8069537	0	0.30137354	0	0	0.13328625	0	0.03527941	0	0	0.19549619	0	0	0	0	0	0	0	5.6013613	0	0.07956857	0.02694466	0	0.009069923	0	0	0	0	0.029100914	0.008056806	0	0.020433972	0	0.069926955	0	0	0	0	0	0	0.012131528	0	0	0.11837996	0	0.019507553	0.65513897	0	0	0	0	0	0	0.07992654	0.29766944	0	0.06272088	0	0.010225613	1.0475594	0.07247874	0.0098622	0.022042528	0	0	0.13227725	0	0	0	0	0	0	0	0	0.012749677	0.013370821	0	0.26567063	0.021628223	0.016251398	0	0	0.042803284	0	0	0.03028273	0	0	0	0	0.050528847	0	0.030846516	0	0.022697423	0	0.008855483	0	0.015948147	0.21740378	0	0	0.010742547	0	0.034570627	0	0	0	0	0	0	0	0	0	0	0	0.021797977	0.22322093	0.31023392	0.7565418	0.04816708	0	0.059127264	0.056934524	0	0	0	0	0	0.020263957
A11	C	0.046531327	0	0	0.015115384	0.42685106	0	0.037637442	0	0.084203325	0	0.04507763	0.16251527	0	0	0.7161633	0.38915336	10.960448	0	0.029178055	0.051513813	0	0	0	0	0	0	0.540852	0	0.51861036	0.06393972	0.008672591	0	0.082471274	0.26730356	0	0	0	0	0	0	1.0348856	0.038301267	0.12525116	0.031524014	0	0	0.016647177	0	0	0.08272719	0.12118248	0	0.05533711	0.38714066	0.4345924	0.08409345	0.09098895	1.6929088	0.66152006	0.8215945	1.8570112	0.13610223	0	0	0	0.20629181	0	0.07881339	0	0.022405395	0	0	0.010721839	0.019575907	0	0	0	0.056906007	0	0	0.37264934	0.038681895	0	0	0	0	0	0	0	0	0	0	0.020535847	0	0.4918673	0.061520427	0	0	0	0	0.024748474	0	0.063646495	0.10592656	0.22082436	0.024497043	0.8930602	0	0	0.022362944	0.47004065	0.76790446	0.015202684	0	0.031123692	0	0	0.52867496	0.012941618	0.076809	0	0	0	0.055185974	0	0	0.5178166	0.3951878	0	0	0	0.011871101	0	1.6875359	0	0.027155967	0.011818532	0	0	0	0.06872688	0	0	0.0901116	0	0.019621119	0.074714124	0	0.030029425	0.022612154	0.013437294	0	0	0	0	0.121836156	0	0.121471874	0	0	0.025034647	0	0	0	0.2693953	0.10754706	0.14817531	0.3727077	0.027757311	0.029413471	0	0.16492456	0.07389889	0.042103946	0.017156236	0	0	0	0	0	0	0	0.31394073	0	0	0.15100278	0.2507411	0.14288718	0	0	0.43608725	1.8382796	0	0	0	0	0	0.75420725	0.031555016	0	0	0.21727185	0.01636003	0.1123368	0.35011107	0	0	0	0.6088269	0.22741127	0.048602812	0	0.015320092	0.09077082	0	0.18136917	0.55642456	0.554525	0.013546369	0.07460176	0.008437617	0.15362485	0.050632317	0.065789685	0.20981242	0.26108804	0	0.05903773	0.048183247	0.022639468	0.23498386	0.11286551	0	0	0	0.3691811	0	0.03800014	0	0	0	0	0.015949791	0	0.10124947	0	0.11227743	0.2714179	0.07185777	0.030908745	0	0.011698012	0.063005775	0	0	0.030776503
A12	L	1.85537	0	0.08114373	0	0	0	0.88156587	0	0.15867983	0	0	0.054011475	0	0	0.13689534	0	0.016191084	0	0	0.082353495	0	0	0.27648658	0	0	0	1.9427825	0	2.9757898	0.60089564	0.013299674	0	0.25935936	0.66809773	0.09006045	0	0	0	0	0.008857913	0.39026296	0	0.32613525	0.02208339	0	0	0.0830118	0.09714144	0	0	0	0	0.06846673	0	0.4630538	0	0.52230203	0.66477907	1.7001407	0	3.5666006	0.09005174	0.023663422	0	0	0.18792303	0	0.15506414	0.06780333	0	0	0.25618443	0.008655565	0	0.074346945	0	0	0	0	0	0.042798385	0.010384735	0	0	0	0	0.010286071	0	0	0	0.051384293	0	0.004996753	0	0.97255105	0	0.058521565	0.119863115	0	0.14312145	0.0248265	0	0.35435086	0.32137948	0.047342412	0.015875833	0.2801469	0	0	0.105194904	1.5163071	0.038072415	0.035693314	0.08194235	0.08679291	0.6191454	0	0.014590809	0.08115477	0.07268921	0.057192966	0	0	0	0	0.22861357	1.1281327	0	0.056563165	0.11482239	0.036144696	0	0	0.051601212	0.15610777	0	0	0	0	0.031669408	0.56386584	0	0	0.36183706	0.21679391	0.086672	0.1821132	0	0	0.0839603	0.08832113	0	0	0	0.5155643	0.7576299	1.131031	0.8246844	0	0	0	0	0	0.014427541	1.4643342	0	0.2647469	0.55974007	0	0	0.036177218	0.6609181	0.08083073	0	0.08867998	0	0.13253286	0	0	0	0.008035153	0.21371585	0.28754747	0	0	0.09883015	0.12570536	3.3520837	0.020145692	0	0	0	0	1.0546765	1.454409	1.0839791	0.077681474	5.108244	0.13296247	0	0.020686172	0.516426	0.0651056	1.0290452	1.4326661	0	0	0	0.37461746	1.7391833	0	0.11001829	0.079307586	0.27684045	0.02987848	0	0.03342714	0.8581626	0.07169351	0	0	0.17479752	0.05367744	0.14223294	1.0580577	0	0.13279371	0	0.054620437	0.094293356	0.5635398	0.3315416	0	0	0	0.22830205	0.12042496	1.0894569	0	0	0	0	0	0.056033053	0.022700978	0	0.23938666	0	0.09469913	0.18780765	0	0.07632296	3.8906393	0.018681934	0	0
A13	C	0	0	0	0	0	0	0	0	0	0	0	0.004110599	0	0	0	0	0.007802478	0	0	0	0	0	0	0.013705011	0.12778382	0	0	0.11272185	0	0	0	0	0.4734342	0.009896513	0.026936831	0.039558392	9.449528	0.2935212	0.024387496	0	0	0	0	0	0	0.0413163	0	0.05878956	0	0	0.051098153	1.0872539	0	0	0.02936617	0	0.043427393	0	0.060313568	0	0	0.077704474	0.3295877	0.02904727	1.8233519	0	0	0	0	0.07552849	0	0.041209538	0.012090876	0	0.011801009	0.03038004	0	0.037921954	1.092886	0.037906297	0	0.036834836	0.675561	0	0	0	0.43182683	0.40429327	0	0.4376866	0.2823871	0	0	0.4447542	0	0	0.54016906	0	5.048814	0.48813003	0.18800534	0	0	0.11504059	0.04049655	0	0	0	0.19497895	0	0	0.514519	0	0	0	0	0	0.06958743	0	0.08085224	0	0	0	0	0	0	1.4455293	0	0.0786844	0.00611123	1.2855042	1.4093748	0	0.010685359	0	0	0.14200427	0	0	0.16301711	0.027627444	0	0.08075507	0.21320492	1.0950365	0.005863377	0.19051167	0	0	0	0	0	0	0	0	0	0	0.17019287	0	0	0	0	0.22577257	3.5089846	0	0.14581217	0.005290592	0	0	0	1.8179468	0.05083061	0	0.8468534	0	0	0	0	0	0.44028205	0	0	0.026573664	0	0.58941555	0.111408435	0.042211063	0	0.407091	0	0.39834225	0.2321549	0	0	0	0	0.014005732	0	0	0	0.009188551	0	0	0	0.07485529	0	3.9307091	0	0.03347718	0.070362814	0	0	0	0	0	0	0	0.007866019	0.00685054	0	0.023826962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005130643	0	0	0	0	0	0	0.019832196	0.26906058	0.007040125	0	0	0.015447494	0	0	0	0	0.55616534	0.028033994	0	0.005774537
A15	C	0	0	0	0.02300997	0	0	0	0	0	0	0	0	0	0	0	0.06842451	0.0922193	0	0	0	0	0	0.047151204	0	0	0	0	0.013312469	0	0	0	0	1.4237725	0	0	0	0	0	0.006018885	0	0	0.09806651	0	0	0	0	0	0	0	0	0.06885796	0	0	0	0.091537006	0.008881114	0.23861377	0.040937234	0.90687364	0	0	0.019717766	0	0.020195432	2.8620794	0	0	0	0	0.057077743	0	0	0.15800276	0	0.059231956	0.051631305	0.008044877	0	0	0	0.03150403	0.18854524	2.6771815	0	0	0	0	0.24086556	0	1.5294871	0.80570626	0	0.009518884	0.4421329	0	0	0.2981418	0	0.114543214	0	0	0	0	0.28462708	0.35538468	0	0	0	0.20107342	0	0	12.594986	0	0	0	0	0	1.5856245	0	0.25616577	0	0.24103107	0	0	0	0	0.17693935	0	0	0	0.006533087	0.27872884	0	0	0	0	0.05337681	0	0	0.10406356	0.6109062	0	0	0.0666237	6.5669465	0	0.01884295	0	0.033775378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81374717	0	0	0.021303324	0	1.1630249	0.19627987	1.2431755	1.0807732	0	0	0	0	0	0	0.12223778	0.06881262	0.09579517	0	0.05910918	0.7651598	0.6494137	0	0.21570455	0	1.7383907	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11645255	0	1.4071453	0	0.07454476	0.65945876	0	0	0	0	0	0	0.01903183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021063985	0.7847552	0.065016836	0	0	0	0	0	0	0	0.057379033	0.04188229	0	1.0531296
A17	C	0	0	0	0	0	0	0	0.008491995	0	0	0	0	0	0	0	0	0	5.5725384	0.046787225	0.22712676	0.009341504	0	0	0	0.4166577	0	0.08409408	0	0	0	0	0	0.06879918	0	0	0	0	0.6373979	0	0	0	0	0.08562899	0.28105408	0	0.020670231	0	0	0	0	0.071611196	0.35427454	0	0	0.009033316	0	0.052496597	0	0.011723874	0	0.06595199	0	0	0.087394506	0	0.07772368	0.011888904	0	0	0.025380664	0.025049262	0	0.11519023	0.08509677	0.17656064	0.07391755	0.04066405	0.12268399	0	0	0	0.77577424	0	0	0	0	0	0	0	0	0.21291141	0	0.071499616	0.80838937	0.022991026	0	0.2028779	0.1623922	0	0	0.37978017	0	0.12000417	0	0	0.09611631	0	0	0	0	0.13060533	0.072027445	0	0.00790832	0	0.23632677	0	0.05172538	0	1.0403833	0	0	0	0	0	0	20.610138	0	11.437074	0	0.03306401	0.20687447	0	0	0	0	0.183038	0	0	0	0.09250134	0	0	0	1.2595859	0	3.3181946	0.031731885	0.77342653	0	0	0	0	0	0.036162328	0.043143746	0	0	0	0.041906476	0	0	0	0	0.057085447	0	0.18581574	0.06728033	2.901017	0.45830107	0.69449073	0.027013201	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8691998	1.8682433	0.059215017	0	0	0.09820631	0.66488516	0	0	0	0	0	0	0	0	0.10243794	0.1402365	0	0	0	0.04716782	0	0	0	0	0.1582384	0.014675411	0	0	0	0.58477175	0	0	0.0364317	0	0.03144527	0	0.036488157	0	0	0	0	0.025254702	0	0	0.17196931	0	0	0	0	0	0	0	0	0	0.2696043	0	0.41658032	0.8834075	0.27106613	0	0.297882	0	0	0.014909287	0	0	0	1.1993283	0	0
