"A13"	"A15"	"A25"	"C03"	"C11"	"D01"	"D05"	"D09"	"D16"	"G01"	"G18"	"G20"	"G21"	"G28"	"G32"	"G42"	"G46"	"H02"	"H04"	"H06"	"I03"	"I07"	"I13"	"K09"	"K17"	"K23"	"K26"	"K31"	"K32"	"K34"	"K42"	"M01"	"M11"	"M17"	"M21"	"P01"	"P03"	"P22"	"P26"	"P30"	"X01"	"X03"	"Y08"	"Z03"	"Z09"	"Z11"	"Z17"	"B01"	"B03"	"B07"	"B12"	"B14"	"B22"	"B24"	"B26"	"A01"	"A07"	"A09"	"A11"	"A17"	"A19"	"A23"	"A27"	"A34"	"D03"	"E10"	"G06"	"G09"	"G19"	"G26"	"G30"	"H07"	"I01"	"I05"	"I12"	"I15"	"K01"	"K03"	"K07"	"K10"	"K14"	"K21"	"K22"	"K36"	"K40"	"K46"	"M03"	"M07"	"M15"	"X05"	"Y06"	"Z15"	"CA11"	"CA13"	"CA25"	"CA9"	"CB03"	"CM15"	"CM17"	"CM21"	"CD22A"	"CD23A"	"CD26A"	"CG50A"	"CK05A"	"CK51A"	"CK52A"	"CK28A"
"Gp_EAB_462"	8358	2613	14995	875	244	3845	370	253	520	1297	16594	436	2255	10201	26	161	750	217	739	173	868	495	27288	757	364	10691	103	255	381	314	10562	261	128	787	24234	655	1101	314	886	469	5426	3519	14157	55	721	32058	473	208	226	491	90	27	1377	720	164	205	302	982	114	198	125	139	54	791	144	91	238	885	141	270	32	183	245	267	37	539	109	83	323	94	290	539	124	508	1109	198	1161	493	163	273	195	142	67	4717	3524	111	284	244	339	4991	361	111	1263	645	231	618	563	87
"Gp_MJ1_12"	61	114	2222	590	419	21	923	418	4090	131	110	702	304	250	19	58	660	141	48	72	46	1758	207	222	50	26	19	24	26	215	365	50	125	97	737	107	1304	41	1771	208	88	179	387	39	130	44	237	886	2262	296	4396	230	239	2393	540	580	258	122	974	456	87	4137	571	2293	511	3204	630	1487	813	934	481	1576	2236	784	692	913	3470	1859	329	2637	3982	2021	2705	612	482	5839	407	164	395	1507	277	1247	1190	659	558	750	3730	1186	1971	1552	284	63	176	131	522	2392	467	595
"Gp_MJ1_149"	44	101	42	221054	53	1	4	14	16	18	14	33	9	16	0	22	20	36	9	1	2	194	6	46	22	4	0	7	25	242	16	229	0	6	26	12	31	28	137	4	53	6	8	104	22	63	48	3710	241	228	284	32	17	56	119	10	17	176	57	14	17	190	6	11	215	573	73	49	19	58	77	29	72	23	57	10	40	49	193	53	741	64	1157	8	116	1119	30	48	58	234	20	21	36	72	402	181	96	312	110	83	8	3	20	20	67	165	317	46
"Gp_MJ1_272"	21	22	12	69	57	10	1	31	94	1	11	256	8	142	6	2	131	65	33	8	21	67	24	155	73	8	5	2	17	272	15	6	68	45	83	1	69	8	24	7	7	9	3	9	17	4	9	54	238	48	1657	54	249	100	26	61	57	32	97	24	10	157	80	117	69	267	36	140	83	82	54	247	87	114	96	105	134	53	328	104	56	103	405	59	874	101	14	262	97	37	48	132	87	36	65	78	288	67	98	112	536	37	31	17	114	177	249	35
"Gp_MJ1_444"	41	34	42	133	90	119	18	271	235	500	16	1069	93	57	161	57	227	57	142	28	36	203	89	173	10	92	349	25	33	128	84	179	20	116	93	140	251	92	628	32	47	77	213	517	156	88	101	374	1025	126	617	295	268	753	225	418	816	88	354	447	28	423	921	298	252	1014	454	782	736	500	277	783	285	588	236	1159	981	341	133	635	1062	963	498	232	566	988	350	132	926	1250	187	642	522	318	605	156	1643	565	835	193	119	166	386	59	137	323	533	414
"Gp_MJ2_113"	163	927	117	915	462	383	105	279	2397	595	128	1139	185	432	375	229	418	527	5834	667	271	83	693	2289	455	179	368	601	195	429	285	802	426	439	961	1609	36	433	1211	492	286	112	88	3198	2947	989	694	141	1891	796	718	1161	480	860	2452	1120	2818	577	615	2450	1070	305	1213	1270	1569	237	1735	887	1810	1047	1787	3223	2381	1273	944	2916	171	329	2214	380	107	585	772	2471	5102	226	625	3179	2811	2858	119	451	260	184	1106	220	271	914	708	702	443	1244	1036	1313	1330	1521	821	1113
"Gp_MJ3_423"	3	0	10	16	9	8	3	76	7	45	4	18	2	1	35	13	99	16	6	18	5	93	6	29	14	7	9	2	16	165	119	25	20	8	7	36	44	105	155	2	5	5	41	16	109	51	8	1688	9	2460	845	221	108	813	2906	82	619	37	9707	21	118	1368	15	139	133	201	111	93	1037	196	3962	91	21	564	16	29	885	522	1317	124	9924	6620	290	130	1482	634	546	1966	6840	34137	30	201	3786	404	312	987	18	11421	131	17	22	17	136	21	56	163	27	18
"Gp_MJ3_477"	205	394	97	754	685	3689	118	449	1051	912	102	576	133	902	537	940	373	270	517	146	101	162	472	1583	527	376	149	586	142	192	200	629	989	816	1091	1231	104	977	1129	510	529	203	57	2720	1356	960	328	304	1199	397	1322	1072	1284	3529	2275	1152	1819	1706	719	2165	1047	442	1535	1443	2120	464	7219	1903	1542	5178	1606	1495	1247	655	1721	571	595	519	1462	566	423	512	3002	2221	1824	814	210	5130	1923	1703	105	1466	1094	377	509	336	542	1216	845	1061	736	2414	1174	1247	2652	1737	1571	2825
"Gp_MJ4_197"	11	0	7	87	15	0	5	21	82	10	2	25	4	5	22	2	22	3	3	2	0	386	22	36	5	0	0	2	0	17	3	1	1	2	7	0	2	5	41	1	7	0	0	0	5	3	57	35	554	71	123	31	15	710	16	653	726	10	702	43	15	30357	66	1282	3111	193	38	104	1223	34	40	6074	22	147	54	112	502	126	39	261	291	2625	1120	27	52	153	9	10	208	1611	32	98	164	20	89	144	2950	558	118	15	13	2	47	3	26	17	101	34
"Gp_MJ4_65"	0	0	0	2	0	1	1	189	14	5	2	28	1	2	0	0	6	1	0	1	1	16	4	6	0	35	0	0	3	0	1	2	0	0	0	1	0	4	0	2	0	0	0	41	2	6	0	370	3	445	13	3	2	30	60	190	9	1	25	230	66	210	2	26	2	6	6	8	6	4	4	4	7	7	48	5	12	13	10	5	36	8	27	2	5	9	24	11	12	6	5	16	28261	59	1	126	12	73	629	5	4	2	4	0	1	11	0	4
"Gp_NH_148"	11	0	2	128	501	1	48	37	114	2	1	112	12	68	32	8	68	1	7	23	0	35	32	20	168	4	0	3	24	172	86	4	0	88	115	1	109	3	203	5	18	7	0	16	188	22	3	73	287	187	369	2040	50	526	1354	577	38	44	1634	25	14	2284	141	1054	993	247	205	253	454	315	3338	277	2043	338	120	135	490	290	33	303	1088	276	293	37	99	493	1853	975	267	444	278	7164	177	257	72	51	471	109	1478	47	197	77	22	10	28	458	1744	47
"Gp_YAB_333"	11	26	2	10	1037	15	3019	289	26	3	1	154	540	21	0	60	530	6	20	0	0	105	21	11	9	19	2	19	26	8	320	8	16	374	175	128	2	5	73	117	7	7	25	20	9	31	10	1	18	13	13	43	26	23	346	47	66	11	15	216	22	33	82	871	70	0	21	29	11	9	5	92	6	8	44	12	19	123	7	166	5	514	6	13	102	2	5724	24	181	316	3	15	1	95	14	7	2	20	265	139	22	1408	114	59	21	16032	55	25
"Gp_YAB_339"	35	43	154	27	175	331	424	6601	83	1124	268	105	24	30	946	624	1786	1004	69	792	178	90	151	1396	10	791	1153	152	3149	101	186	887	366	424	63	1908	20	1332	23	910	288	991	376	232	350	283	833	22	240	1648	1732	1039	654	214	219	1647	71	81	1637	1229	21	36	1742	841	129	1630	95	449	760	149	634	186	338	375	2575	4	4	132	720	19	162	82	1218	43	1199	29	237	20	1142	405	31	425	475	34	638	94	90	16664	145	2292	1544	211	576	60	19	67	50	201
"Gp_meta27_16"	96	2	14	153	76	13	260	3093	25	3	38	714	94	21	156	12	1323	39	14	244	1	1786	1	34	6	12	1	5	174	16	521	7	0	1098	555	0	6	24	2821	26	6	2	15	1	661	15	65	904	2018	22	207	55	598	6274	671	2007	480	15	2872	25	13	27527	1250	9101	1873	203	1090	1214	90	1205	29	2400	193	200	60	78	354	188	66	286	20493	187	213	41	1665	8654	1813	293	52	3081	319	122	168	1559	372	71	10221	87	2390	442	1318	21	880	26	95	3382	2036	25
"Gp_meta27_511"	271	242	202	498	1152	880	693	631	2155	1686	70	491	667	453	386	585	8038	704	634	369	117	527	845	546	343	481	773	204	423	168	651	1806	388	1045	610	2044	1108	745	393	254	155	295	302	1222	1468	1289	796	79	578	776	350	995	1190	260	1132	1588	669	287	231	1210	294	155	1358	1059	810	525	679	15803	1602	481	874	756	608	431	1438	283	264	285	498	270	235	3594	318	619	552	915	1316	677	565	2009	65	445	249	297	832	67	289	441	822	563	640	1132	16105	321	480	2967	4019	639
