Genome	A01	A02	A04	A07	A09	A11	A12	A13	A15	A17	A18	A19	A20	A22	A23	A24	A25	A27	A28	A33	A34	A37	B01	B02	B03	B04	B07	B08	B09	B12	B13	B14	B15	B19	B22	B23	B24	B25	B26	B27	C02	C03	C04	C11	C14	CA11	CA13	CA25	CA40A	CA9	CB03	CD21A	CD22A	CD23A	CD24A	CD25A	CD26A	CD27A	CD28A	CD29A	CD30A	CE19A	CG50A	CK05A	CK28A	CK51A	CK52A	CM15	CM17	CM21	CM28A	CM29A	CM30A	CM31A	CM32A	CM33A	CM34A	CM35A	CM36A	D01	D02	D03	D05	D06	D09	D10	D16	D18	E04	E06	E07	E10	E11	E12	EA44	EA47	EA48	EA49	EA50	EA51	EA53	EA54	EA55	EA57	EA58	EA60	EA61	EA63	EA68	EA70	EA72	EA73	EA76	EB01	EB02	EB03	EB04	EB05	EB07	EB08	EB09	EB10	EB13	EB16	EB17	EB20	EB21	EB24	EB28	EM03	EM12	EM22	EM25	EM27	EM30	EM32	EM33	EM34	G01	G02	G06	G09	G11	G18	G19	G20	G21	G22	G26	G27	G28	G29	G30	G31	G32	G33	G37	G39	G42	G43	G46	G47	H02	H03	H04	H05	H06	H07	I01	I02	I03	I04	I05	I06	I07	I09	I12	I13	I14	I15	K01	K03	K07	K09	K10	K14	K15	K16	K17	K21	K22	K23	K26	K27	K31	K32	K34	K36	K40	K42	K43	K46	M01	M02	M03	M04	M07	M08	M11	M12	M14	M15	M16	M17	M18	M20	M21	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OG24B2A	OM15r2	OM17r2	OM21r1	P01	P02	P03	P14	P15	P22	P23	P24	P26	P27	P30	P31	X01	X02	X03	X04	X05	Y06	Y07	Y08	Y09	Y19	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Z03	Z04	Z06	Z07	Z09	Z10	Z11	Z12	Z14	Z15	Z16	Z17
Gp_EAB_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011787036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051547345	0.65158975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3227462	0	0	0	0	0.06597562	0	0	0	0	0	0	0.019368406	0	0	0	0	0	0.008666078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009429833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007844118	0	0	0	0	0
Gp_EAB_107	0	0.09423865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018639144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068457335	0	0.14919886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gp_EAB_118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008490376	0	0	0	0	0	0	0.019685617	0	0	0	0.046802036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885939	0	0	0	0	0	0	0	0	0.032062802	0	0	0	0	0	0	0	0	0	0	0.006895575	0.015295815	0.014739509	0	0	0.024328317	0	0	0	0	0	0	0.005487402	0	0	0	0	0	0.019365277	0	0	0	0.11902421	0.007986868	0	0	0	0.004220707	0	0	0	0.032865703	0.036493808	0	0	0	0.006280288	0	0	0	0	0.11210732	0	0	0	0	0.047130607	0	0	0	0	0	0	0	0	0	0.01655866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011312611	0.022103386	0	0	0	0	0	0	0.008946901	0	0	0	0	0	0	0	0.007345187	0	0	0.011359233	0	0	0	0	0	0	0	0	0	0	0	0	0.030009067	0.005560819	0	0	0	0	0.009125096	0.006031983	0	0.024230152	0	0	0	0.009433428	0	0	0	0	0.05543016	0	0	0	0	0	0	0	0	0	0	0	0.014925544	0	0	0	0	0	0	0	0	0	0	0.006638808	0.04229859	0	0	0.020835442	0	0	0	0.005417634	0	0	0	0	0	0	0	0	0	0	0.004188281	0	0	0	0	0	0	0	0	0.014553035	0	0	0	0	0.006505535	0	0	0	0	0	0	0	0	0.042030647	0	0	0	0	0	0.025293898	0	0
Gp_EAB_119	0	0	0.01756738	0.028982818	0	0	0	0	0	0	0	0	0.01914991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016194738	0	0.00773401	0.04052575	0	0	0	0	0	0	0	0.017056387	0	0	0.037892736	0	0.013362341	0	0	0.010273311	0	0	0	0	0	0.028610118	0.03845315	0.042995412	0.007418704	0.0202782	0	0	0	0	0	0	0	0	0.07828687	0	0	0.016569134	0	0	0	0	0	0	0	0.013813271	0.009037287	0	0.01196749	0	0	0.005361983	0.019451039	0.012189421	0	0	0.52720773	0.007354157	0	0.021420615	0	0	0	0.008338787	0	0	0	0	0	0.047169488	0.088493235	0	0.06527121	0	0	0	0	0	0.024058009	0	0.052762236	0	0	0	0.014598622	0.011487392	0.004746832	0	0	0	0.020353207	0	0	0	0	0.014844505	0	0	0.03796936	0	0	0	0.012769861	0.03895723	0	0	0	0.31624785	0	0.14841922	0	0.14517066	0.02408027	0.005129342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015403178	0	0	0	0	0.005914471	0	0	0	0	0	0.026556183	0	0.008510369	0	0	0.011305603	0.007354166	0.008942962	0	0	0	0	0.019225668	0	0	0.007618661	0.010136413	0.014322089	0.00603735	0.021914413	0.014673088	0	0	0	0	0	0	0	0.02209804	0	0	0	0	0.004277071	0	0	0.021047551	0	0	0.00433208	0	0.006861115	0	0.01082588	0	0	0	0	0	0	0	0	0.017899493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026357941	0.004937613	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017578596	0	0.012083991	0.06769016	0.008498533	0.04803963	0.035326105	0	0.007769225	0	0	0.013375313	0
Gp_EAB_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58205605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gp_EAB_13	0	0	0	0	0	0	0	0.020832714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071241334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7006752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gp_EAB_131	0	0.22483642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051478863	0	0	0	0	0	0	1.9746691	0	0	0	0	0	0.008457404	0	0.012436533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gp_EAB_139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004883295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03685312	0	0	0	0	0	0	0	0	0	0
Gp_EAB_141	0	0.029367397	0	0	0.05912115	0.019693464	0.012127476	0	0	0	0	0.21492696	0.039086137	0	0	0	0	0	0	0.014350547	0	0.21834804	0.021228088	0	0	0.008353856	0.3939334	0	0	1.2480012	0	0.18784222	0.08232725	0.210511	0.014214814	0	0.43270233	0	0.03042329	0.012358128	0	0	0	0	0	0.71660835	0	0.16295828	0	0.74494743	0	0	0	0	0	0	0	0	0.007380464	0	0	0.008536483	0.006029767	0.0128648	0	0.025743488	0	0.09524474	0.006767006	0	0.006073477	0.006712517	0	0	0.006357004	0.01476204	0	0.005276954	0.008355963	0	0	0	0	0	0	0	0	0	0.00782775	0	0	0.010064136	0	0	0	0	0	0	0	0	0.054089267	0	0	0	0.062700026	0.009140193	0.26672179	0	0.026145702	0.23084389	0.013108719	0	0.006466449	0	0	0.01772543	0	0	0	0	0.009804802	0	0	0	0	0.01706369	0	0	0.4098962	0.04538733	0.34965348	0.03199914	0.4718225	0	0	0.5490073	0.023001375	0	0	0	0	0	0	0	0.011232335	0	0	0	0.009002501	0.007046502	0	0	0.08358487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13711663	0	0.015570734	0	0	0	0	0	0	0	0.055641323	0	0	0.014086219	0.015789906	0.16352288	0	0.019013705	0	0	0	0	0	0	0.044221852	0.026232429	0.026520146	0	0	0	0	0	0.010918454	0	0.009206747	0	0	0	0	0.032283556	0.014949404	0	0.015085925	0	0	0	0	0.11687532	0	0	0	0.2306479	0.01359036	0.006225389	0	0	0.023431122	0	0	0	0	0	0	0.004117008	0	0.010025042	0	0	0.025296079	0	0	0	0	0.011333285	0	0	0	0	0	0	0	0	0.012906542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015721714	0	0	0.065006696	0	0	0	0	0	0	0	0.016490594	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007896642	0	0.02532855	0	0	0	0	0.437274	0	0
Gp_EAB_159	0.007215262	0	0.06907484	0.070246786	0.008134275	0	0	0	0.00852084	0	0.008633591	0	0.018985452	0	0	0	0.009835362	0	0	0.010058003	0	0.014526384	0	0	0	0	0	0.005223196	0	0	0	0	0.01393191	0	0	0	0.006637465	0	0	0	0	0.007625407	0.006626362	0.006505112	0	0	0.005247399	0	0.003725407	0	0	0	0.060585957	0.005035447	0.024374716	0.005569322	0.05196976	0.046646234	0.009239856	0.01685157	0.014468567	0.022154834	0.004007125	0.017184738	0.12290225	0	0.028922314	0	0	0	0.013388396	0	0.007271821	0.035735805	0.013625221	0.025091851	0.01101513	0.005018757	0.35697773	0.021080721	0	0	0.005969236	0	0	0	0.01313277	0	0	0.008247754	0	0	0.007683529	0	0	0	0	0.016884705	0	0	0.21667057	0.037656534	0.047630593	0	0	0	0.004427467	0	0	0	0	0	0	0	0	0	0.02934573	0	0	0.01859229	0	0	0	0	0	0	0	0	0.17329161	0.044057366	0.005696568	0	0.00581835	0	0	0	0	0	0	0	0	0	0.0130478	0.040101822	0.015361854	0.028290391	0.01762987	0	0	0	0.13941298	0.3398624	0	0.020665072	0	0	0	0	0.005375319	0	0.005137913	0	0.014307325	0	0.06844186	0.03597977	0.013990426	0.017607903	0.01899674	0.007296306	0	0.020723771	0.006353067	0	0.01342981	0	0	0.09588918	0	0	0	0	0.018873062	0.017680116	0	0	0	0	0.13558061	0	0	0.025754573	0	0	0	0.021756662	0.06415702	0.039500006	0.01099314	0.031382486	0.022903899	0	0.07003033	0	0	0	0.006764259	0.039325457	0.020069454	0	0	0.009005027	0	0.013384406	0.007536784	0	0	0	0.066440575	0.03395261	0	0	0	0	0	0	0	0	0	0.061587676	0	0.17473032	0	0	0.023010228	0.08160721	0	0	0	0	0	0.085841954	0	0.0204229	0.011398857	0	0	0.01732138	0.104370005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014177278	0	0	0	0	0.010853745	0	0	0	0	0.009076907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035787757	0.014962425	0.05133658	0.035552442	0.013164347	0	0	0	0.012974772	0.10797872
