	OTU	p	methods
1	Gp_MJ4_197	0.000538492743770835	Aldex2
2	Sg_A27_31	0.00106313075393803	Aldex2
3	Sg_B04_2	0.000188758518716544	Aldex2
4	Sg_B07_50	0.0000147471546394456	Aldex2
5	Sg_B07_62	0.00167107883307771	Aldex2
6	Sg_B15_35	0.00248146379568956	Aldex2
7	Sg_CA25_14	0.00211777647188326	Aldex2
8	Sg_CA40A_55	0.000938890014319518	Aldex2
9	Sg_CK05A_46	0.00227459912960038	Aldex2
10	Sg_CK52A_43	0.000435878546421022	Aldex2
11	Sg_CM17_58	0.000649881496688084	Aldex2
12	Sg_CM17_7	0.0000751107759081484	Aldex2
13	Sg_CM32A_26	0.000177993483462008	Aldex2
14	Sg_CM35A_15	0.0000178648556007373	Aldex2
15	Sg_D18_45	0.00322038736262351	Aldex2
16	Sg_E06_10	0.000167274488851722	Aldex2
17	Sg_I05_27	0.0000612731478587096	Aldex2
18	Sg_K14_18	0.00284924536857062	Aldex2
19	Sg_K15_44	0.0011683715680411	Aldex2
20	Sg_K34_1	0.0000150619247491285	Aldex2
21	Sg_K36_16	0.000751837175247385	Aldex2
22	Sg_K40_4	0.000379929163742795	Aldex2
23	Sg_M01_13	0.00481856706654072	Aldex2
24	Sg_M01_30	0.000782413525819018	Aldex2
25	Sg_M02_5	0.000286560624140531	Aldex2
26	Sg_M07_27	0.0000685051958261229	Aldex2
27	Sg_M11_7	0.000174128899773708	Aldex2
28	Sg_M12_6	0.00279205273448039	Aldex2
29	Sg_OA11r1_9	0.000644786899094775	Aldex2
30	Sg_OB03r2_39	0.00259469310343772	Aldex2
31	Sg_OB24r1_18	0.000777172517496319	Aldex2
32	Sg_OM21r1_55	0.0000611091966278819	Aldex2
33	Sg_P15_21	0.00189146968227088	Aldex2
34	Sg_YB37_28	0.000188922716655567	Aldex2
35	Sg_YB41_11	0.000330485010117284	Aldex2
36	Sg_Z07_36	0.0000172181320617446	Aldex2
37	Sg_A11_10	0.000413214427855008	Aldex2
38	Sg_B26_4	0.000262648768268724	Aldex2
39	Sg_CG50A_22	0.000414046608634148	Aldex2
40	Sg_G18_1	0.0022521437286533	Aldex2
