	OTU	p	methods
1	Gp_MJ4_197	0.00000000000350914464166121	Aldex2
2	Sg_A11_12	0.0000133477248451018	Aldex2
3	Sg_A11_2	0.00129220142593525	Aldex2
4	Sg_A19_11	0.00517598324608607	Aldex2
5	Sg_A20_2	0.000441525504539668	Aldex2
6	Sg_A22_19	0.00361298385541373	Aldex2
7	Sg_A22_3	0.00010332940624581	Aldex2
8	Sg_A22_8	0.00000000000406273246294461	Aldex2
9	Sg_A27_31	0.00000000000107095466014273	Aldex2
10	Sg_B03_29	0.0000161993639993855	Aldex2
11	Sg_B04_2	0.00000000000198415389349672	Aldex2
12	Sg_B07_38	0.0184213165417681	Aldex2
13	Sg_B07_50	0.00000000118101335234875	Aldex2
14	Sg_B07_53	0.000000210924697993291	Aldex2
15	Sg_B07_62	0.000000131310398298439	Aldex2
16	Sg_B14_13	0.00216035009928188	Aldex2
17	Sg_B15_22	0.000146352733450901	Aldex2
18	Sg_B15_35	0.00000001980449768876	Aldex2
19	Sg_B19_58	0.00000444363154868707	Aldex2
20	Sg_B25_10	0.0000907351929281081	Aldex2
21	Sg_B25_38	0.000183398214508721	Aldex2
22	Sg_B27_18	0.00388254169971935	Aldex2
23	Sg_B27_6	0.0106890366972122	Aldex2
24	Sg_CA11_3	0.0233342467624437	Aldex2
25	Sg_CA11_52	0.000000152122723465795	Aldex2
26	Sg_CA25_14	0.0000527209254384013	Aldex2
27	Sg_CA25_21	0.0000000401921836154639	Aldex2
28	Sg_CA40A_55	0.00000187623840071598	Aldex2
29	Sg_CA9_20	0.000000000087047603577213	Aldex2
30	Sg_CB03_44	0.0346934806476056	Aldex2
31	Sg_CD23A_32	0.000259387019239151	Aldex2
32	Sg_CD24A_10	0.00238918028449668	Aldex2
33	Sg_CD25A_53	0.000452286296593766	Aldex2
34	Sg_CD26A_19	0.00000000416884964811434	Aldex2
35	Sg_CD30A_34	0.0000846467896500744	Aldex2
36	Sg_CE19A_15	0.000000562536652872894	Aldex2
37	Sg_CE19A_24	0.00137405994557741	Aldex2
38	Sg_CE19A_29	0.00000000975082503095415	Aldex2
39	Sg_CG50A_74	0.0000267109296438401	Aldex2
40	Sg_CK05A_18	0.0000000331185648517222	Aldex2
41	Sg_CK05A_46	0.0000000139565909918988	Aldex2
42	Sg_CK05A_56	0.0000309085880390822	Aldex2
43	Sg_CK52A_43	0.000000175552213883251	Aldex2
44	Sg_CK52A_74	0.000000736317642989894	Aldex2
45	Sg_CM17_58	0.000000380188821592652	Aldex2
46	Sg_CM17_7	0.00000000152598300514264	Aldex2
47	Sg_CM21_57	0.00352633087271632	Aldex2
48	Sg_CM29A_16	0.00000831400411858935	Aldex2
49	Sg_CM31A_43	0.0000000442147368190681	Aldex2
50	Sg_CM31A_52	0.0000779020063345703	Aldex2
51	Sg_CM32A_26	0.000000327823569545887	Aldex2
52	Sg_CM32A_49	0.0118627194049984	Aldex2
53	Sg_CM33A_60	0.000000154028561013822	Aldex2
54	Sg_CM35A_15	0.0000016144398654029	Aldex2
55	Sg_D02_32	0.00000000364302775230349	Aldex2
56	Sg_D02_9	0.0000000000140137293451758	Aldex2
57	Sg_D09_14	0.000378272211563817	Aldex2
58	Sg_D18_45	0.0000000000167504505532212	Aldex2
59	Sg_E04_12	0.0000000125716298144237	Aldex2
60	Sg_E06_10	0.000000000326214434315513	Aldex2
61	Sg_E10_50	0.000000000000453806521566877	Aldex2
62	Sg_EA47_17	0.000151214354099247	Aldex2
63	Sg_EA47_9	0.000000185835861033073	Aldex2
64	Sg_EA57_9	0.0000000151488402036696	Aldex2
65	Sg_EA61_27	0.00106267653865024	Aldex2
66	Sg_EB08_12	0.0000688696208371825	Aldex2
67	Sg_EB09_7	0.0000384154620917003	Aldex2
68	Sg_EB13_4	0.00141853437283819	Aldex2
69	Sg_EB21_10	0.0000187845408027721	Aldex2
70	Sg_EM03_7	0.0000167726748862056	Aldex2
71	Sg_EM12_46	0.0000000014813814279387	Aldex2
72	Sg_EM22_6	0.000748782200945774	Aldex2
73	Sg_EM30_38	0.0149616583069363	Aldex2
74	Sg_EM34_4	0.00103035133450416	Aldex2
75	Sg_G09_4	0.000000112001227150549	Aldex2
76	Sg_G10_35	0.0440679301813192	Aldex2
77	Sg_G18_19	0.00000355879050491277	Aldex2
78	Sg_G19_41	0.0000156908550712845	Aldex2
79	Sg_G21_58	0.00252026604479335	Aldex2
80	Sg_G22_16	0.0000288095980379718	Aldex2
81	Sg_G26_10	0.0000000397864827991084	Aldex2
82	Sg_G26_22	0.0000564943184239441	Aldex2
83	Sg_G29_33	0.00471044709069248	Aldex2
84	Sg_G33_7	0.0000241349276579449	Aldex2
85	Sg_G39_28	0.000084655199509201	Aldex2
86	Sg_G43_29	0.000216797192179866	Aldex2
87	Sg_G47_17	0.00405658343871828	Aldex2
88	Sg_I05_27	0.0000000000369080091126365	Aldex2
89	Sg_I06_25	0.0000000000680738744411242	Aldex2
90	Sg_I07_11	0.000136276292025527	Aldex2
91	Sg_I12_44	0.00000000000127481249894725	Aldex2
92	Sg_I12_6	0.00481265464970392	Aldex2
93	Sg_K09_1	0.0000000000604222605768759	Aldex2
94	Sg_K09_61	0.000110407149268767	Aldex2
95	Sg_K14_18	0.000461269495185078	Aldex2
96	Sg_K15_44	0.00000000000000252647145747944	Aldex2
97	Sg_K16_50	0.0120021884283126	Aldex2
98	Sg_K17_22	0.0000000129457849968876	Aldex2
99	Sg_K22_66	0.0133198353615879	Aldex2
100	Sg_K22_8	0.0000000769821222322468	Aldex2
101	Sg_K31_45	0.00171695039758809	Aldex2
102	Sg_K32_30	0.000404832557701526	Aldex2
103	Sg_K34_1	0.00000183577626452052	Aldex2
104	Sg_K36_16	0.00000000000000253412385491559	Aldex2
105	Sg_K36_17	0.000208979867965536	Aldex2
106	Sg_K36_27	0.0000000290479918108117	Aldex2
107	Sg_K36_29	0.000000000512954426353652	Aldex2
108	Sg_K36_3	0.0000160573809758877	Aldex2
109	Sg_K40_4	0.00000000742451978042954	Aldex2
110	Sg_M01_13	0.0000000720963705444063	Aldex2
111	Sg_M01_30	0.000000195185285238329	Aldex2
