	OTU	p	methods
1	Gp_MJ4_197	0.0000625650974517348	Aldex2
2	Sg_A22_8	0.000278648285395988	Aldex2
3	Sg_A27_31	0.0000249447355247448	Aldex2
4	Sg_B04_2	0.0000255481811147732	Aldex2
5	Sg_B07_50	0.00287796748119025	Aldex2
6	Sg_B15_35	0.0000241285651859839	Aldex2
7	Sg_B19_58	0.00442226372043469	Aldex2
8	Sg_CA9_20	0.000598050938293962	Aldex2
9	Sg_CD23A_32	0.000797138347935631	Aldex2
10	Sg_CM17_7	0.00337564992695671	Aldex2
11	Sg_CM32A_26	0.000634959455638333	Aldex2
12	Sg_D02_32	0.00473569971665641	Aldex2
13	Sg_D02_9	0.000141824830737754	Aldex2
14	Sg_D18_45	0.0000315426907058805	Aldex2
15	Sg_E04_12	0.00030183623211347	Aldex2
16	Sg_E06_10	0.00380952405564793	Aldex2
17	Sg_E10_50	0.000680340955963244	Aldex2
18	Sg_EA57_9	0.000241950516244251	Aldex2
19	Sg_G09_4	0.00076675597286651	Aldex2
20	Sg_G18_19	0.00073761981948435	Aldex2
21	Sg_I05_27	0.000509541442863008	Aldex2
22	Sg_I06_25	0.000162285928170312	Aldex2
23	Sg_K09_1	0.00208754814188804	Aldex2
24	Sg_K14_18	0.00368076904701925	Aldex2
25	Sg_K15_44	0.0000640931762101856	Aldex2
26	Sg_K16_50	0.00186270468462479	Aldex2
27	Sg_K17_22	0.000142620194129695	Aldex2
28	Sg_K36_16	0.000126851523991531	Aldex2
29	Sg_K36_29	0.00300147885661808	Aldex2
30	Sg_K40_4	0.00432850108594505	Aldex2
31	Sg_M02_5	0.0000276606955237228	Aldex2
32	Sg_M07_27	0.00163927039069049	Aldex2
33	Sg_M07_39	0.000997126756449401	Aldex2
34	Sg_M12_6	0.0000255755228096639	Aldex2
35	Sg_OA11r1_9	0.0000251627251547592	Aldex2
36	Sg_OB03r2_39	0.0000344912982945941	Aldex2
37	Sg_OB05r2_38	0.000391760152987377	Aldex2
38	Sg_OB24r1_18	0.0000519952845609066	Aldex2
39	Sg_P27_36	0.0000855743296429421	Aldex2
40	Sg_YA12_28	0.00184024692388204	Aldex2
41	Sg_YA12_4	0.0000958206337565542	Aldex2
42	Sg_YB34_1	0.000504900700996671	Aldex2
43	Sg_YB35_19	0.0000985751091178383	Aldex2
44	Sg_YB36_42	0.000277897659750201	Aldex2
45	Sg_YB37_28	0.0000256209542949029	Aldex2
46	Sg_YB38_12	0.00282287498094399	Aldex2
47	Sg_YB38_6	0.0011271370185465	Aldex2
48	Sg_YB41_11	0.00058920512792953	Aldex2
49	Sg_Z07_42	0.00373937713753103	Aldex2
50	Sg_Z10_1	0.000408385698780226	Aldex2
51	Sg_Z12_45	0.00019391116557226	Aldex2
52	Gp_MJ1_12	0.000463442289678979	Aldex2
53	Gp_NH_148	0.0000528660921665928	Aldex2
54	Gp_meta27_16	0.000201055015345543	Aldex2
55	Gp_MJ1_444	0.000692594493703135	Aldex2
56	Sg_A11_10	0.0000357274934854554	Aldex2
57	Sg_B26_4	0.00321559072083026	Aldex2
58	Sg_G18_1	0.00267364216187946	Aldex2
