	OTU	p	methods
1	Gp_MJ4_197	0.00945725649361837	Aldex2
2	Sg_A11_2	0.00930312099015632	Aldex2
3	Sg_A22_8	0.0107313205852426	Aldex2
4	Sg_A27_31	0.00892197555992369	Aldex2
5	Sg_B04_2	0.00611838274549791	Aldex2
6	Sg_B07_50	0.0271881869485492	Aldex2
7	Sg_B07_53	0.0430602007940319	Aldex2
8	Sg_B14_13	0.00689436463874151	Aldex2
9	Sg_B15_22	0.0133216220244368	Aldex2
10	Sg_CA11_52	0.00261726326017949	Aldex2
11	Sg_CA25_21	0.0400318064904133	Aldex2
12	Sg_CA9_20	0.00539473761558613	Aldex2
13	Sg_CD26A_19	0.00324368620954594	Aldex2
14	Sg_CE19A_15	0.0120593762806238	Aldex2
15	Sg_CE19A_29	0.00535509471601895	Aldex2
16	Sg_CG50A_74	0.00529136752777015	Aldex2
17	Sg_CK05A_18	0.00191759023300068	Aldex2
18	Sg_CK05A_46	0.0130153907898691	Aldex2
19	Sg_CK05A_56	0.00420389878417517	Aldex2
20	Sg_CK52A_43	0.0173821073110737	Aldex2
21	Sg_CK52A_74	0.0260211538480246	Aldex2
22	Sg_CM17_58	0.000146687764695487	Aldex2
23	Sg_CM17_7	0.00987799244913629	Aldex2
24	Sg_CM29A_16	0.0126497716856687	Aldex2
25	Sg_CM31A_43	0.00315064195635721	Aldex2
26	Sg_D02_32	0.0142487764050874	Aldex2
27	Sg_D02_9	0.0132329540227994	Aldex2
28	Sg_D18_45	0.0220847959830443	Aldex2
29	Sg_E06_10	0.0279079620586807	Aldex2
30	Sg_E06_24	0.00799487758753122	Aldex2
31	Sg_E10_50	0.000903310770734809	Aldex2
32	Sg_EA47_17	0.018324499058086	Aldex2
33	Sg_EA47_9	0.0170304993506145	Aldex2
34	Sg_EA61_27	0.00971775123665466	Aldex2
35	Sg_EB09_7	0.00446929677776167	Aldex2
36	Sg_EB21_10	0.00102499957107748	Aldex2
37	Sg_EM12_46	0.00374755724192903	Aldex2
38	Sg_EM22_6	0.00587001601408493	Aldex2
39	Sg_G26_10	0.0103570333797173	Aldex2
40	Sg_G29_33	0.000837693389324318	Aldex2
41	Sg_I05_27	0.0388653032419562	Aldex2
42	Sg_I06_25	0.020759825609072	Aldex2
43	Sg_I12_44	0.00116110511127979	Aldex2
44	Sg_I12_6	0.00276948150098981	Aldex2
45	Sg_K01_5	0.0031006063206223	Aldex2
46	Sg_K09_1	0.00420248809582533	Aldex2
47	Sg_K09_61	0.026011837392045	Aldex2
48	Sg_K15_44	0.000075673084947173	Aldex2
49	Sg_K22_66	0.0358752952198076	Aldex2
50	Sg_K22_8	0.00987923480211389	Aldex2
51	Sg_K31_45	0.00230601436303079	Aldex2
52	Sg_K34_1	0.0234402276414212	Aldex2
53	Sg_K36_16	0.000075673084947173	Aldex2
54	Sg_K36_17	0.00218094433752596	Aldex2
55	Sg_K36_27	0.0164831922442903	Aldex2
56	Sg_K36_29	0.00322987796258741	Aldex2
57	Sg_K40_4	0.0103120805810812	Aldex2
58	Sg_M01_13	0.010466973315688	Aldex2
59	Sg_M01_30	0.0414710209685792	Aldex2
60	Sg_M02_37	0.0159584898000802	Aldex2
61	Sg_M02_5	0.00557412479129906	Aldex2
62	Sg_M07_39	0.0149193033852762	Aldex2
63	Sg_M07_4	0.00445580770903655	Aldex2
64	Sg_M12_6	0.00523525267144211	Aldex2
65	Sg_M15_10	0.00568882299171369	Aldex2
66	Sg_M17_33	0.0336813554820244	Aldex2
67	Sg_OA11r1_9	0.0314614046827752	Aldex2
68	Sg_OB03r2_1	0.00010514607634159	Aldex2
69	Sg_OB03r2_39	0.000165813916203124	Aldex2
70	Sg_OB03r2_6	0.000892997907643591	Aldex2
71	Sg_OB05r2_38	0.00613341018068137	Aldex2
72	Sg_OB05r2_8	0.0113209001609207	Aldex2
73	Sg_OB24r1_18	0.0157246475516851	Aldex2
74	Sg_OG24B2A_8	0.00702447174280864	Aldex2
75	Sg_OM21r1_55	0.0020067783694566	Aldex2
76	Sg_P22_10	0.00843729172425722	Aldex2
77	Sg_P23_1	0.0173688497352676	Aldex2
78	Sg_P27_36	0.0213901510535038	Aldex2
79	Sg_YA03_20	0.000845954332212376	Aldex2
80	Sg_YA04_9	0.0190645748693026	Aldex2
81	Sg_YA12_28	0.015244977343878	Aldex2
82	Sg_YB34_1	0.0014957848016622	Aldex2
83	Sg_YB35_19	0.0144887684030831	Aldex2
84	Sg_YB35_7	0.00905911077515532	Aldex2
85	Sg_YB36_42	0.00022307712569044	Aldex2
86	Sg_YB37_28	0.00199285265237275	Aldex2
87	Sg_YB39_24	0.00612059789167491	Aldex2
88	Sg_YB41_11	0.00429775018875775	Aldex2
89	Sg_YB41_12	0.0000689817749692318	Aldex2
90	Sg_YB59_31	0.000824768146468872	Aldex2
91	Sg_Z02_43	0.00377078975957448	Aldex2
92	Sg_Z03_24	0.00529160603637656	Aldex2
93	Sg_Z07_36	0.0102638848464216	Aldex2
94	Sg_Z07_42	0.000862355430043492	Aldex2
95	Sg_Z12_45	0.011548458030066	Aldex2
96	Sg_Z14_45	0.00816964191682721	Aldex2
97	Sg_Z17_26	0.00922634575285333	Aldex2
98	Gp_MJ1_12	0.00359553831952419	Aldex2
99	Gp_MJ1_444	0.00475694675210106	Aldex2
100	Sg_B07_12	0.00391249210853881	Aldex2
101	Sg_A01_16	0.00085308528114851	Aldex2
102	Sg_M02_8	0.0077748599829906	Aldex2
103	Sg_G18_1	0.00138841980953888	Aldex2
