	rab.all	rab.win.C	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Gp_MJ3_477	0.91175175677195	0.88805949687448	0.983786194534372	0.104801219456585	2.11872898738966	0.0429943757519164	0.479567307790864	0.331151183696639	0.363644978629251	0.616316122919595	0.636123319077527
Gp_MJ4_197	-2.48154515021689	-4.16566693913615	0.205540336682608	4.35745926324907	5.04565775136382	0.814325234756606	0.170432695113847	0.0000000000000625403551106981	0.00000000000056812484129192	0.000000000000207878284660169	0.00000000000350914464166121
Sg_A11_12	0.255583312380059	1.36461245629108	-0.904466959991802	-2.41979669410195	4.53427712383096	-0.486910199418914	0.288872868335924	0.000020508451641936	0.0000443604931608243	0.00000548011034473529	0.0000133477248451018
Sg_A11_2	0.973302770047598	1.81114603737609	-0.254236885717578	-1.82633991967453	4.75567388978121	-0.351981642798897	0.347752944811507	0.000845406482459377	0.001430991650636	0.000800795177163101	0.00129220142593525
Sg_A19_11	-4.00130471114423	-4.72413575635519	-3.03845341021944	1.69402383254216	5.08342422964886	0.281045069213048	0.366258111724318	0.00519905536384853	0.00747566369276164	0.00360448363159266	0.00517598324608607
Sg_A20_2	-1.30586935091497	-0.787517903791774	-3.03072830815709	-1.71724039821283	4.34348865982595	-0.375008167320362	0.330048077848366	0.00116190223309843	0.00190798242113887	0.000256800091298882	0.000441525504539668
Sg_A20_35	-3.82022084476697	-3.66496820130422	-4.19365489357696	-1.07497790163279	6.33554131433953	-0.159379613643298	0.429944725169697	0.114318634982133	0.136976821472918	0.106843672401183	0.126059315841722
Sg_A22_19	-0.421372485538417	-0.893099381326045	0.483653242216543	1.27287019994588	3.83958518666586	0.29920276338722	0.35889423150751	0.00554366889091665	0.00805664254630691	0.00242847005783216	0.00361298385541373
Sg_A22_3	-4.491720536702	-5.26499197730989	-3.70509537218992	1.64775506346785	3.89836914149767	0.37772505837495	0.317712089452137	0.0000315417050033049	0.000062769468332274	0.0000543049185990511	0.00010332940624581
Sg_A22_8	4.47043524432601	2.99431163095023	6.71388074054003	3.41251244118636	3.32630502949192	0.969128522834718	0.167748140330594	0.00000000000000132845506111002	0.0000000000000250741085210816	0.000000000000251223847230937	0.00000000000406273246294461
Sg_A27_23	-0.703429343411443	-0.598924546743106	-1.23939010133242	-0.802194811525104	4.98710588605589	-0.150449728725415	0.434991588878713	0.113330953132661	0.136320773590451	0.151162930393585	0.173531262123124
Sg_A27_31	1.83558195819561	0.731579491702454	4.57101644180262	3.79683430771485	3.89417220170544	0.921333956011083	0.155010817877247	0.000000000000000258712964412799	0.00000000000000747295529029257	0.0000000000000475278497559079	0.00000000000107095466014273
Sg_A28_8	-0.551886773830714	-0.799811989673575	-0.165108677889099	-0.588478195027035	6.91421925258919	-0.0823676120597664	0.466586538623159	0.355640152185003	0.386288851439818	0.453915820873284	0.481179909255016
Sg_B03_29	1.30560010964907	2.22404911284269	-0.239243482147074	-2.44496187839723	4.7811713675628	-0.498328438414779	0.293990385810241	0.00000360435115444781	0.00000876043292702633	0.00000682927852563061	0.0000161993639993855
Sg_B04_2	1.8907150430783	0.190247514750561	5.2325836505912	4.25852854117966	4.19098137934344	0.940195397425734	0.157932695404147	0.000000000000000693672189718755	0.000000000000014858236058159	0.000000000000101434853345802	0.00000000000198415389349672
