	rab.all	rab.win.C	rab.win.E	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Gp_MJ3_477	0.933357149543045	0.889152354016604	1.01272098174592	0.150102188080533	1.93672632070519	0.0691163275740492	0.46657986124286	0.452238810209002	0.536011283271911	0.43222526741058	0.510174132686037
Gp_MJ4_197	-3.2293697889532	-4.14718915085461	-1.60650643494269	2.48905219453142	4.79741761544174	0.489727171082666	0.289650684448061	0.00000173521322073778	0.0000209338922759053	0.00000338862644920405	0.000056195194088864
Sg_A11_12	0.527042598873425	1.3659589319859	0.0348613231778963	-1.30324082534744	4.09251159428173	-0.287011965546912	0.374131944971846	0.00289144343936254	0.00769507990868767	0.00577522022623787	0.0149779308629579
Sg_A11_2	1.80777149818788	1.81232522746894	1.80679160113369	0.0491299205937845	4.54209465980285	0.00993813813077125	0.495876736127294	0.935827433345749	0.952319397722014	0.976093823711799	0.979776414677396
Sg_A19_11	-4.44115689379756	-4.72511212020063	-4.18800961144081	0.566360144135493	5.42194333175019	0.095463178408411	0.456715122757328	0.45651466152014	0.534855641691147	0.33593374214907	0.413959186629351
Sg_A20_2	-1.14958705233598	-0.797911831706444	-1.54077461893161	-1.06895678722519	4.39311172971348	-0.223811373107082	0.389105903235507	0.0262281624917601	0.0479638017879558	0.0151547917429265	0.0323093816886938
Sg_A20_35	-3.76827909305056	-3.67852760045617	-3.97036586131344	-0.996236900367863	5.82797450861549	-0.167410598344708	0.42785853793276	0.0681066155421184	0.107091724343412	0.0960783320735402	0.149743532851455
Sg_A22_19	-0.515529246960564	-0.892804659577284	0.2133939288253	1.32285904212759	4.61949455316965	0.27615618208767	0.367838542224306	0.00204625894432153	0.00586319562347341	0.00238607920486339	0.0072374337838256
Sg_A22_3	-4.70968022537545	-5.27580136704369	-3.92012601340791	1.36352186148917	4.06601899844872	0.308977627109602	0.354089824882559	0.00125518621738363	0.0035285314348607	0.00128281713809004	0.00437473636005407
Sg_A22_8	3.7569305956758	2.99438128027086	5.40470203366034	1.78085995252176	3.8943428356274	0.433686162210326	0.307725695329995	0.0000252132811214802	0.000167668246010369	0.0000270245464314839	0.000219455328024502
Sg_A27_23	-0.840075928854729	-0.609274593448441	-1.20484308622046	-0.652894489352787	4.78843133385735	-0.12100629511541	0.442395313746048	0.152656804255141	0.217431102498832	0.191770487117123	0.2618022326069
