	rab.all	rab.win.E	rab.win.Y	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
Gp_MJ3_477	1.00770954048948	1.01323704757597	0.99452040080735	-0.0401268710678844	2.06656974205968	-0.0193159226997356	0.491949050747725	0.727280045694739	1	0.88045559477781	1
Gp_MJ4_197	-0.753803115879597	-1.60850907344138	0.211530965826238	1.97277501377274	5.15954181304996	0.367320780857332	0.352799808514244	0.000405472158361337	0.00479751553887082	0.00237356383766959	0.0149805126236222
Sg_A11_12	-0.430426628963762	0.033640758781071	-0.899984501458564	-1.09057929780054	4.57049717223356	-0.217632110491576	0.392453737625171	0.0882602063999741	0.342018907982455	0.0339168174788724	0.157880194067798
Sg_A11_2	0.880238313224599	1.81664408532991	-0.251779578023744	-1.82011117330035	4.8160038278461	-0.347255175441406	0.346394231585988	0.00294002329815861	0.0269536179139907	0.00228533289729381	0.0245222430409235
Sg_A19_11	-3.54494999902183	-4.16726936486209	-3.04281836410874	1.1201350705861	4.67524886283936	0.224907690990927	0.405191060314726	0.0489009941610432	0.175718494837829	0.0468991833762695	0.163243675596967
Sg_A20_2	-2.22480084500469	-1.55056077296394	-3.04303899090329	-0.598173503605582	4.89044266424358	-0.109793751835856	0.446153846416179	0.399411058174115	0.939285421638695	0.304560309975078	0.825292790484105
Sg_A20_35	-4.09574120980769	-3.99331631164385	-4.16057636025937	-0.0116370531874255	6.22980092595342	-0.00222771885732363	0.498798076928865	0.895143501113199	1	0.92502893577988	1
Sg_A22_19	0.395660744548631	0.207031228588126	0.483622358709614	-0.14881876753504	4.10051286212568	-0.031254505662851	0.484855769303761	0.445076256189357	0.999352866157956	0.832113314747543	1
Sg_A22_3	-3.78961065392464	-3.89462355718687	-3.72217958747037	0.259225396225635	3.45772851955717	0.0703572142400395	0.464551790606469	0.450343783478821	0.973165980535945	0.484659095235738	0.988963159277389
Sg_A22_8	6.02478930826835	5.41167116192989	6.71127782662748	1.37986898117949	3.82379122091272	0.339255938528336	0.347596154655206	0.00237276364808335	0.0151265341883266	0.00292476312910996	0.0173396079185922
Sg_A27_23	-1.2295269450007	-1.22887046207032	-1.23310585656684	-0.147866340012987	4.85599265546375	-0.0297630646451013	0.488221153902905	0.850808603673211	1	0.794474642634527	1
Sg_A27_31	3.5022016276058	3.32029823249552	4.5707627430333	1.47857447056861	3.97495362597784	0.34846457931197	0.349675559555336	0.00150285872937958	0.0112978074074846	0.00212929376863618	0.0139969846540787
Sg_A28_8	-0.055193013909264	-0.0136298202851854	-0.165892710012025	-0.647980025001246	7.12991403702135	-0.0901438396363382	0.457822638993211	0.307301955628053	0.8112872425693	0.409467551528349	0.981661624437529
Sg_B03_29	0.577171347722845	1.59181391712138	-0.226078216214996	-1.2573436745586	5.09831281487824	-0.239403702006352	0.393750000535832	0.0184667181098184	0.0992523617559089	0.0260325408931088	0.131599373459249
Sg_B04_2	4.11362429820197	3.06472276973929	5.23291274599265	1.67689581103845	4.27860245174284	0.378020692595157	0.338461539330066	0.000911266924233531	0.00831332591873985	0.00116469837311819	0.0092548602266645
