	A04	A13	A15	A18	A25	C03	C11	D01	D05	D06	D09	D16	E11	G01	G11	G18	G20	G21	G22	G28	G29	G31	G32	G33	G42	G43	G46	H02	H03	H04	H05	H06	I02	I03	I04	I06	I07	I09	I13	I14	K09	K17	K23	K26	K31	K32	K34	K42	M01	M08	M11	M17	M18	M20	M21	P01	P02	P03	P14	P22	P23	P26	P30	X01	X02	X03	Y07	Y08	Y09	Y19	Z03	Z09	Z10	Z11	Z16	Z17	B01	B02	B03	B04	B07	B08	B09	B12	B13	B14	B15	B19	B22	B23	B24	B25	B26	B27	A01	A02	A07	A09	A11	A12	A17	A19	A20	A22	A23	A24	A27	A28	A33	A34	A37	C02	C04	C14	D02	D03	D10	D18	EA44	EA47	EA48	EA49	EA50	EA51	EA53	EA54	EA55	EA57	EA58	EA60	EA61	EA63	EA68	EA70	EA72	EA73	EA76	EB01	EB02	EB03	EB04	EB05	EB07	EB08	EB09	EB10	EB13	EB16	EB17	EB20	EB21	EB24	EB28	EM03	EM12	EM22	EM25	EM27	EM30	EM32	EM33	EM34	E04	E06	E07	E10	E12	G02	G06	G09	G19	G26	G27	G30	G37	G39	G47	H07	I01	I05	I12	I15	K01	K03	K07	K10	K14	K15	K16	K21	K22	K27	K36	K40	K43	K46	M02	M03	M04	M07	M12	M14	M15	M16	P15	P24	P27	P31	X04	X05	YA02	YA03	YA04	YA06	YA07	YA10	YA11	YA12	YA13	YA14	YA16	YA19	YA21	YA23	YA26	YA28	YA29	YA30	YA31	YA32	YA33	YA34	YB31	YB32	YB34	YB35	YB36	YB37	YB38	YB39	YB40	YB41	YB43	YB45	YB46	YB47	YB50	YB52	YB54	YB55	YB56	YB57	YB59	Y06	Z04	Z06	Z07	Z12	Z14	Z15	CA11	CA13	CA25	CA9	CB03	CM15	CM17	CM21	OA11r1	OA13r1	OA7r2	OA9r1	OB03r2	OB05r2	OB18r1	OB24r1	OM15r2	OM17r2	OM21r1	CA40A	CD21A	CD22A	CD23A	CD24A	CD25A	CD26A	CD27A	CD28A	CD29A	CD30A	CE19A	CG50A	OG24B2A	CK05A	CK51A	CK52A	CK28A	CM28A	CM29A	CM30A	CM31A	CM32A	CM33A	CM34A	CM35A	CM36A
Gp_MJ4_197	1860	11	0	65	7	87	15	0	5	1	21	82	49	10	32	2	25	4	4	5	4	31	22	68	2	11	22	3	6	3	47	2	117	0	13	605	386	68	22	25	36	5	0	0	2	0	17	3	1	81	1	2	63	1287	7	0	244	2	30	5	26	41	1	7	10	0	469	0	1	753	0	5	50	3	520	57	35	378	554	3218	71	51	31	123	289	31	221	1114	15	181	710	27	16	11	653	43	726	10	702	17311	43	15	104	139	30357	423	66	13	57	1282	163	16	9280	217	342	3111	8	225	0	13235	141	349	8	123	1213	4512	74	37	6349	277	773	3282	2143	2606	876	309	4512	744	397	220	626	59	906	730	447	442	147	401	128	212	7065	3838	126	92	3437	263	718	357	1289	328	8347	432	123	2934	62	193	31	125	38	104	1223	34	39	40	974	1212	22	6074	22	147	54	112	502	126	39	261	291	287	193	2625	1120	2449	27	52	14	153	6840	9	2463	10	10	40	208	469	128	156	157	2208	3524	1611	9617	2850	577	2337	1244	1702	52440	153	5711	2999	81	399	163	21325	208	293	17941	94	743	298	12183	212	24762	92	278	81891	114	90748	166205	17336	129	1853	31881	228	196	318	613	168	272	94377	10023	3866	10459	32	18997	18	218	305	4127	98	164	20	89	144	2950	558	118	15	19711	44	320	214	174	275	558	57	294	10148	194	45	4	13	2	134	13	47	6	8	11	8	1	3	54	26	17	101	34	24	15	22	13	69	106	7	28	13
Sg_A22_3	1	14	0	3	0	18	8	1	0	1	3	107	1	0	0	1	9	0	2	5	2	39	0	10	0	156	2	0	28	6	9	0	4	0	2	50	18	39	3	112	3	19	1	1	0	0	7	2	1	12	0	5	6	0	1	1	0	0	24	7	47	3	527	7	4	0	5	0	23	43	991	9	24	9	18	0	7	29	10	271	28	40	48	311	53	225	42	24	76	97	98	8	77	5	28	29	3	33	30	51	49	130	6	293791	179	5	5	30	2	56	46	11	24	30	55	28	15	105	427	68	34	7	51	176	17	26	80	60	127	9	35	62	19	57	76	172	50	31	59	158	40	123	69	15	5	178	220	379	140	35	43	50	89	35	29	58	93	36	485	373	41	9	391	10	49	34	1266	58	32	143	35	80	29	27	20	31	25	35	12	15	4	74	44	53	37	33	13	22	49	7	35	64	12	15	11	50	109	43	37	170	43	99	5	20	59	3	27	54	38	44	47	38	294	60	228	42	40	52	35	539	10	121	18	11	169	28	59	67	51	22	62	19	77	56	205	37	12	32	131	16	749	62	108	51	1	409	26	3	223	15	63	95	36	73	17	42	11	57	8	581	126	0	129	187	25	19	7	6	16	38	44	193	36	300	12	9	151	28	289	25	3	69	3	3	16	2	7	9	21	1	17	79	272	24	10	34	45	11	30	21	13	102	9	4	16	7
Sg_A22_8	8465	969	936	1798	519	5334	2179	888	952	428	6403	9225	1965	115	1582	326	15120	1366	678	1879	2555	9988	1148	7052	276	4823	21017	619	2918	617	3421	615	1515	124	2600	14615	17576	5990	1013	84	1751	885	222	102	99	882	1021	2077	438	12802	121	1131	6087	8425	2083	256	2596	1262	5019	387	2510	2692	1098	524	496	356	8268	617	636	13470	482	2563	5627	188	6776	653	9069	25184	54219	158698	1751	4674	25589	119250	85085	12285	84331	32863	4729	37996	5591	3115	8709	4064	9247	7978	2048	1524	17421	68644	2202	177	2254	39405	45891	7135	13142	3172	89629	8282	2603	9652	25031	54401	162729	20844	3570	80262	14	35847	37488	14579	9867	122069	34204	4659	118611	46195	22187	22021	39439	16421	49533	111652	38854	87037	48172	19178	27641	114856	8969	49219	251972	90843	117651	124142	14114	220670	64739	77760	95045	331910	97812	95139	105807	442507	47026	50924	165539	460373	28610	789196	1562	10765	5381	42560	1152	27432	15476	20744	22931	22173	12038	5129	2830	10886	8649	115251	13131	93413	97275	16476	144152	63329	2369	202739	22985	21420	21248	17876	174790	63484	3496	27192	7903	99359	55351	4249	27368	4423	20634	17472	11676	54416	303989	32065	33689	95669	18275	31461	32693	76320	200751	69700	71767	41973	42585	142957	132373	72810	7637	52864	155056	110134	382468	173397	135458	20781	40398	28277	80913	77268	175057	164006	111207	9542	30533	73484	68400	94758	617	39860	372172	129061	33785	14251	48811	39381	76745	74225	83359	57417	220322	6095	159190	13925	13229	178182	53715	134407	64749	4387	1312	86181	153816	43353	16351	4656	58162	14644	20662	46840	105253	162921	74400	27294	285714	154893	14409	4098	1503	6557	6810	2972	1425	1355	592	338	2989	1989	378	980	42399	2185	2830	3194	12680	2009	2337	1705	6729	8719	1985	1657	3425	3469
Sg_A27_31	2024	48	11	939	34	1964	492	6	460	95	373	2651	248	66	360	27	2593	135	38	749	251	2644	83	1428	115	224	1531	13	1521	28	708	91	323	6	138	2562	1622	1083	99	860	541	51	24	5	8	51	690	350	42	494	28	227	834	1934	252	87	126	62	2119	20	824	1204	38	77	54	6	1178	7	58	1024	212	300	1181	41	1308	151	35871	12662	13083	4968	544	7791	15904	3577	2124	636	10151	19777	392	1957	3043	125	2148	841	2321	1693	2504	367	13511	84245	285	123	697	1271	8779	6080	16639	2954	720	4562	632	8536	116606	50059	3909	1539	394	36118	22	121682	12313	10491	2485	2572	2996	25152	1724	4645	2681	4309	45650	33089	26675	8604	58064	5657	49006	1690	15267	7209	11145	10027	11375	3711	21350	3966	12755	67395	5626	3124	26606	82090	20603	23807	4836	5438	20560	33709	9834	3422	39563	88654	883	11774	1682	3704	875	2163	3842	1071	1985	5343	2320	2385	4887	6589	500	15349	1704	1610	1473	1216	39358	16091	852	25026	38607	36690	77833	9301	75917	22469	1104	715	536	65857	13412	1244	48004	298	706	813	1922	5198	3549	21236	3026	9363	798	4194	43460	105654	100486	56538	107717	22113	48297	2525	40991	7042	376	120854	83331	5382	4708	22176	48201	1806	6351	49585	58136	31387	34627	3846	63503	77258	4383	1264	3884	4146	1341	8407	11138	69653	3361	30665	52583	1473	13809	29111	103703	59916	109348	1595	19501	544	39676	5542	71581	1571	1867	2749	757	924	15025	15367	8881	851	15003	4844	8212	126264	51366	6568	44024	678	100223	17555	2309	358	533	887	1078	518	271	418	53	216	143	90	39	73	2328	224	738	3368	1074	600	377	332	3157	1458	709	1802	785	639
Sg_B04_2	145	295	36	348	65	17810	107	10	732	1464	4576	2796	2165	5	1120	623	3648	1497	1380	2242	1369	8138	257	1346	103	384	24510	411	1034	882	3155	92	356	2	388	4346	2438	2329	37	2	117	527	41	21	3	137	466	288	207	5883	81	166	6502	9483	255	38	2289	929	10135	19	2230	2208	18	84	456	91	5821	206	195	158	14	267	1393	24	7843	266	466	4768	8585	44362	143	7693	4049	401	565	86	8154	4421	8984	10033	6977	1876	171	734	7389	5266	3969	261	6154	17240	81	51	940	185	9136	6292	846	3716	103	5892	142	8012	3030	1352	61031	6353	8178	23378	2	67515	8087	406	73598	445	27785	13613	28080	3601	109957	8533	14454	33580	3664	14612	43392	4567	21684	7785	20567	53942	9420	598	15390	8201	2467	13463	67428	25659	36247	7079	2450	68151	47903	13632	13603	248	22276	34962	409	2368	9277	43249	48	10672	791	13073	351	1276	1387	203	4399	1544	7951	5359	3282	3730	2641	20587	65	3087	163	247	81779	52154	823	81257	7322	7746	3125	15783	1239	10902	115	1399	4451	184693	29502	441	13757	141	5734	9297	1600	4682	48060	3835	47069	53517	746	12698	11481	34282	534	110315	19968	69513	52134	32886	51501	1462	153	30154	58742	35384	804	14724	123696	91	39429	181235	48204	244924	51157	28718	59926	48514	772	513	61400	16447	273	85236	26647	150308	8582	5379	39847	62100	84535	58795	84637	42572	109494	6348	719	9174	4678	8435	24467	99	19516	32879	123	113	3008	2323	3194	609	28378	17361	13165	420	43740	45675	20572	1534	24783	84582	2513	438	185	673	1075	2644	755	210	2743	88	314	922	69	95	11031	346	897	2204	5000	206	919	1476	2055	2268	1838	2011	1820	893
Sg_B07_50	51	173284	2126	12486	3842	178	341	487	9664	23	1205	4975	226	13621	727	955	177	1330	1160	804	92	81	23	55	69	15	61	901	47	1175	633	185	221	52	868	15	92	58	264	2	964	597	46633	26	7209	521	196	485	1087	67	65	482	434	44	1206	297	47	670	37	1445	317	2970	109	1355	163	600	58	124095	14	21	7	58	286	35546	179	1090	198	43	104	71	12635	646	154	15	40	5	32	103	19863	8	393	11	550	4	18	65	1045	4112	68	86	441	147	408	10	369	259	61	42	33	22	139	26	112	53	19	149	0	17	7	68	165	106	21	50	66	84	17	9	13	146	84	50	86	63	62	4	23	99	31	13	263	25	15	30	141	8	55	17	69	1009	458	17	170	54	30	2	46	0	15	93	108	24	3	74	18	88	4	113	80	63	29	109	124	4	149	30	2	50	29	485	17	31	27	10	706	20	66	50	248	62	52	58	978	4121	49	61	49	60	303	607	5	2	19	9	16	4501	64	35	23	443	68	58	64	79	21	43	80	12	38	33	15	84	5	44	11	19	71	0	47	41	143	24	56	38	53	165	33	50	6	34	5	31	49	42	204	44	101	19	28	84	35	37	15	31	54	19	300	73	530	32	29	41800	3549	127	34	29	105	1365	42	164	193	33	50	17	231	2	17	46	615	1426	192	562	18	115	950	454	356	1738	644	2646	68	666	16	247	281	605	43	59934	1199	39	448	3200	1397	457	754	104
Sg_B07_53	2043	13289	1180	19022	29234	7572	1134	8010	972	235	170	1463	448	1262	264	4895	1034	78	157	313051	696	952	20	11931	118	3039	307	155466	1378	498	2853	1	307	1245	4165	4460	297	1746	2765	46443	438389	361	62185	5101	1370	167	175839	628	78421	304	830	1711	336	58	944	1304	49	35	12	18273	372	651	579	36832	489	1986	819	249	314	268	699965	1589	639	261173	34	397	275	784	470	53	121164	97776	194	325	132	824	432	5841	453	175	772	41154	11202	89	659	452	38105	104617	119	178	19571	307667	806	2578	5219	1588	3186	544	469	1471	8299	28484	45022	151	739	3299	9944	2242	19401	6600	410	2616	7648	1327	662	13760	951	324	78	2900	853	35309	210	69	79	26	19	2057	282	98	595	2385	80	471	182	22	3409	66	1237	278	22	166	23840	126439	1584	4456	75	26	1441	140	191	3	64395	16405	80827	206	5645	718	73134	11221	1876	37518	974	1859	947	1144	5892	879	33081	19803	30103	4838	344	2167	343473	1031	35	53	261	3098	832	453	90512	1888	2818	28	49	482	216	47587	10430	13184	1149	42	1397	2294	703	432	1108	1307	608	991	13	24	115	62	22	807	374	252	1	3337	9	132	39	9754	25	4	1632	124	449	118	48	57	12	4078	7887	551	25	5	1665	83	2506	102	206	32	661	3	6	259	19	68	2785	35	1746	6387	24595	21291	126490	1368	333	1396	332655	10166	247	22909	20377	748	244	336	533	8269	119	9587	408	19	118	1506	892	787	771	571	2554	5522	162897	1529	19720	1014	231	929	1761	5338	665	2123	14737	4927	2298	957	310792	935	1441	60090	8398	984	115223	1258
Sg_B07_62	696	1588	321	583	180	53	200	1808	17	4	99	92	9	568	32	201	90	539	10	207	388	146	5	104	11	53	102	114	454	147	20	21	6	427	185	31	29	373	66	834	1651	164	514	541	54013	24	121	16	997	48	184	68	23	32	1016	23	32	14	5	94	20	267	61	1377	40	45	256	13	48	12	524	61	27	22415	23	42	17	39	342	10	45105	196	9	25	65	29	55	76	144	4	42	209	518	10	94	30	1513	133	36	18	337	260	191	45	67	221	309	45	202	60	29360	486	100	17	2660	177	402	36	1	29	216	777	3	511	83	683	80	1	6	226	46	26	278	13	20	10	5	53	21	4	398	70	1	24	9	6	147	14	109	28	18	49	43	8889	37	7	5	7	145	43	409	1	156	814	246	60	378	543	169	1162	186	145	67	227	48	40	604	164	419	262	172	1305	2	28	1903	44	11	20	982	24	173	179	258	434	734	14	22	10	27	15011	111	245	235	3	177	16	40	70	346	94	101	180	6	7	26	23	8	62	25	12	0	7	4	4	1	197	6	2	174	89	35	25	25	9	10	220	35	1456	2	8	19	14	9	32	15	1	23	10	7	30	3	3	131	15	61	482	24	194	17	606	1021	41	261	21	10	369	54	422	146	33	347	1276	52	43	29	2	14	20	39	76262	64	12	90	312	449	175	1188	515	50	1020	747	693	790	969	174	505	107	111	2089	166	457	119	709	1557	279	177
Sg_B15_35	140	26	9	34	13	94	87	2	10	15	37	271	27	4	28	26	994	20	17	33	21	249	198	112	3	1234	113	9	887	3	86	26	43	3	307	333	137	34	17	4215	633	149	2	5	5	5	139	88	6	95	2	19	95	65	33	6	5	66	77	9	4216	34	117	13	26	5	189	6	116	3523	34	48	71	7	691	19	153	179	533	1990	46	89	853	9538	9282	16161	22637	507	4920	1146	220	20	145	246	234	287	64	78	148	249	41	1742	77	808	301	391	60	1955	75	183	250	31	251	437	3564	638	71	794	14	1923	101	409	191	24676	120	173	3936	148	218	125	734	248	1007	382	415	3098	21657	1116	140	154634	530	7157	2873	66064	291	97504	4682	3529	836	956	1214	581	255	9282	264	18282	945	81100	233	48985	764	733	797	247	292	275	8812	946	444	1237	287	649	701	126	111	173	726	347	72	381	56	2209	456	315	588	497	281	291	1339	169	1038	1295	61	78	62	1983	2389	48	183	74	102	135	103	15169	2491	284	365	975	130	2175	215	479	3213	496	952	340	464	29964	308	452	21	146	242	814	1440	618	1302	1181	302	136	246	875	680	17732	886	224	621	53	15856	7796	1104	786	1989	366	247	191	180	510	842	443	3896	2652	2587	1971	381	754	211	1141	188	317	256	99	112	71	1043	142	176	88	269	178	151	660	508	67188	1152	10326	737	433	7226	253	32	248	38	549	62	93	63	29	763	41	44	23	4172	86	213	285	154	329	117	132	2563	215	235	22	41	227
Sg_B19_58	121	1308	421	784	755	1704	448	47	9065	1021	1155	388	5823	1965	570	5590	168	817	467	399	407	507	45	170	230	32	21842	296	124	1233	786	66	2298	253	445	51	135	220	426	8	4971	272	14184	34	1001	249	329	2418	1113	420	36	684	235	147	893	680	1021	610	906	417	397	191	2238	607	9278	227	17288	5517	33	23	70	186	258	2827	423	173	41	63	107	65	133	420	202	22	7	7	63	18955	2223	21	361	29	1108	5	38	142	235	317	76	2073	71	73	269	2	93	2015	107	26	1164	64	92	72	49	119	29	559	14	60	5	214	492	200	17	22	84	101	47	25	41	75	78	148	78	1015	47	5	26	177	127	18	523	115	20	15	123	36	849	118	2662	9320	50	49	224	84	178	16	89	28	34	20	152	7	3	3337	32	64	22	188	137	221	61	130	123	18	115	129	15	25	76	201	24	65	73	66	8240	82	73	67	105	17040	80	129	53	255	92	106	38	1303	183	215	3405	25	122	19	54	217	268	54	60	3875	3721	56	19	59	38	31	60	33	38	70	1	31	36	2139	6	42	61	1	45	45	160	100	48	85	13	196	134	48	36	72	16	40	15	81	17547	29	3121	12	56	233	3611	14439	44	17	7825	139	10223	3179	8598	47	35	6041	161	18	28	169	536	682	2488	269	186	36	49	30	4107	0	19	96	267	1755	180	293	65	131	1542	374	146	240	694	730	36	701	47	254	585	690	42	2620	730	58	276	494	980	457	418	251
