	MAG	Group	RA
1	Sg_A27_31	Centenarian	0.00236491615405362
2	Sg_B04_2	Centenarian	0.00330417934390173
3	Sg_D18_45	Centenarian	0.00110178476296145
4	Sg_M12_6	Centenarian	0.00327750668847964
5	Sg_A11_10	Centenarian	0.000866950241276591
6	Sg_YB37_28	Centenarian	0.000631451009681247
7	Sg_OB03r2_39	Centenarian	0.000435534785149654
8	Sg_OB24r1_18	Centenarian	0.00709341904233989
9	Gp_MJ4_197	Centenarian	0.00027598100135496
10	Gp_NH_148	Centenarian	0.000194474459373642
11	Sg_K36_16	Centenarian	0.00596574804131522
12	Sg_K15_44	Centenarian	0.00145298096742667
13	Sg_M02_5	Centenarian	0.000316650013342881
14	Sg_P27_36	Centenarian	0.00102464096489965
15	Sg_OA11r1_9	Centenarian	0.000672302582841766
16	Sg_Z17_26	Centenarian	0.00201807801245221
17	Sg_CM33A_60	Centenarian	0.00283397666018134
18	Sg_M07_27	Centenarian	0.00247549205197934
19	Sg_OM21r1_55	Centenarian	0.00827326040922613
20	Sg_B07_53	Centenarian	0.0191230487768252
21	Sg_K36_3	Centenarian	0.00184098899397672
22	Sg_E06_10	Centenarian	0.0013737728237978
23	Sg_Z03_24	Centenarian	0.00596806048283479
24	Sg_CK52A_43	Centenarian	0.00131197352634562
25	Sg_B07_50	Centenarian	0.0025367249416909
26	Sg_K40_4	Centenarian	0.00564572766786284
27	Sg_CA25_21	Centenarian	0.00234229261181862
28	Sg_G18_1	Centenarian	0.00422934319395846
29	Sg_B26_4	Centenarian	0.000980830964531903
30	Sg_CM17_7	Centenarian	0.00353487113128534
31	Sg_G09_4	Centenarian	0.009354144258453
32	Sg_CM32A_26	Centenarian	0.00266233639054954
33	Sg_G18_19	Centenarian	0.00176671468306369
34	Sg_M07_39	Centenarian	0.00147046939155039
35	Sg_I05_27	Centenarian	0.012354560535375
36	Sg_A27_31	Elderly	0.00760627784619609
37	Sg_B04_2	Elderly	0.00804935381209074
38	Sg_D18_45	Elderly	0.00455332140001164
39	Sg_M12_6	Elderly	0.012614689141576
40	Sg_A11_10	Elderly	0.00228216211072622
41	Sg_YB37_28	Elderly	0.00198382906836731
42	Sg_OB03r2_39	Elderly	0.00134856533881219
43	Sg_OB24r1_18	Elderly	0.0177600072732371
44	Gp_MJ4_197	Elderly	0.000571486686066459
45	Gp_NH_148	Elderly	0.00108237008441404
46	Sg_K36_16	Elderly	0.0230884202178466
47	Sg_K15_44	Elderly	0.00422647370680968
48	Sg_M02_5	Elderly	0.00150697226395851
49	Sg_P27_36	Elderly	0.00268343858967955
50	Sg_OA11r1_9	Elderly	0.00116537222369395
51	Sg_Z17_26	Elderly	0.000926245173925187
52	Sg_CM33A_60	Elderly	0.00081013626815304
53	Sg_M07_27	Elderly	0.000377080102000578
54	Sg_OM21r1_55	Elderly	0.00227327278593742
55	Sg_B07_53	Elderly	0.00700034327117715
56	Sg_K36_3	Elderly	0.00136978456433489
57	Sg_E06_10	Elderly	0.000909337200709214
58	Sg_Z03_24	Elderly	0.00432191809216047
59	Sg_CK52A_43	Elderly	0.000592038861150825
