SampleID	Group	Assemble	Cooperation	File1
A13	C	NX1	Nanxin	RGA100871
A15	C	NX1	Nanxin	RGA100872
A25	C	NX1	Nanxin	RGA100879
C03	C	NX1	Nanxin	RGA100887
C11	C	NX1	Nanxin	RGA100889
D01	C	NX1	Nanxin	RGA100892
D05	C	NX1	Nanxin	RGA100895
D09	C	NX1	Nanxin	RGA100897
D16	C	NX1	Nanxin	RGA100899
G01	C	NX1	Nanxin	RGA100908
G18	C	NX1	Nanxin	RGA100915
G20	C	NX1	Nanxin	RGA100917
G21	C	NX1	Nanxin	RGA100918
G28	C	NX1	Nanxin	RGA100922
G32	C	NX1	Nanxin	RGA100926
G42	C	NX1	Nanxin	RGA100930
G46	C	NX1	Nanxin	RGA101052
H02	C	NX2	Nanxin	RGA100934
H04	C	NX2	Nanxin	RGA100936
H06	C	NX2	Nanxin	RGA100938
I03	C	NX2	Nanxin	RGA100942
I07	C	NX2	Nanxin	RGA101055
I13	C	NX2	Nanxin	RGA100949
K09	C	NX2	Nanxin	RGA100956
K17	C	NX2	Nanxin	RGA100962
K23	C	NX2	Nanxin	RGA100967
K26	C	NX2	Nanxin	RGA100969
K31	C	NX2	Nanxin	RGA100971
K32	C	NX2	Nanxin	RGA100972
K34	C	NX2	Nanxin	RGA100973
K42	C	NX2	Nanxin	RGA100978
M01	C	NX2	Nanxin	RGA100981
M11	C	NX2	Nanxin	RGA100987
M17	C	NX2	Nanxin	RGA100992
M21	C	NX2	Nanxin	RGA100995
P01	C	NX3	Nanxin	RGA100998
P03	C	NX3	Nanxin	RGA101000
P22	C	NX3	Nanxin	RGA101004
P26	C	NX3	Nanxin	RGA101007
P30	C	NX3	Nanxin	RGA101009
X01	C	NX3	Nanxin	RGA101011
X03	C	NX3	Nanxin	RGA101013
Y08	C	NX3	Nanxin	RGA101018
Z03	C	NX3	Nanxin	RGA101022
Z09	C	NX3	Nanxin	RGA101026
Z11	C	NX3	Nanxin	RGA101028
Z17	C	NX3	Nanxin	RGA101034
B01	C	NH	Nova	B1_FDSW210393019-1r
B03	C	NH	Nova	B3_FDSW210393020-1r
B07	C	NH	Nova	B7_FDSW210393022-1r
B12	C	NH	Nova	B12_FDSW210393025-1r
B14	C	NH	Nova	B14_FDSW210393027-1r
B22	C	NH	Nova	B22_FDSW210393030-1r
B24	C	NH	Nova	B24_FDSW210393032-1r
B26	C	NH	Nova	B26_FDSW210393034-2r
A01	C	MJ1	Majorbio	L1HGG120268--A01.R1.raw.fastq.gz
A07	C	MJ1	Majorbio	L1HGG120283--A07.R1.raw.fastq.gz
A09	C	MJ1	Majorbio	L1EGG120627--A09.R1.raw.fastq.gz
A11	C	MJ1	Majorbio	L1EGG120629--A11.R1.raw.fastq.gz
A17	C	MJ1	Majorbio	L1HGG120285--A17.R1.raw.fastq.gz
A19	C	MJ1	Majorbio	L1HGG120286--A19.R1.raw.fastq.gz
A23	C	MJ1	Majorbio	L1HGI1300044_L1HGI1300044--A23.R1.raw.fastq.gz
A27	C	MJ1	Majorbio	L1HGG120269--A27.R1.raw.fastq.gz
A34	C	MJ1	Majorbio	L1HGG120287--A34.R1.raw.fastq.gz
D03	C	MJ1	Majorbio	L1HGG120251--D03.R1.raw.fastq.gz
E10	C	MJ2	Majorbio	L1HGI1300011--E10.R1.raw.fastq.gz
G06	C	MJ2	Majorbio	L1EGG120643--G06.R1.raw.fastq.gz
G09	C	MJ2	Majorbio	L1HGG120253--G09.R1.raw.fastq.gz
G19	C	MJ2	Majorbio	L1HGG120281--G19.R1.raw.fastq.gz
G26	C	MJ2	Majorbio	L1EGG120630--G26.R1.raw.fastq.gz
G30	C	MJ2	Majorbio	L1HGG120274--G30.R1.raw.fastq.gz
H07	C	MJ3	Majorbio	L1HGG120273--H07.R1.raw.fastq.gz
I01	C	MJ3	Majorbio	L1HGG120255--I01.R1.raw.fastq.gz
I05	C	MJ3	Majorbio	L1HGG120256--I05.R1.raw.fastq.gz
I12	C	MJ3	Majorbio	L1HGG120278--I12.R1.raw.fastq.gz
I15	C	MJ3	Majorbio	L1HGG120257--I15.R1.raw.fastq.gz
K01	C	MJ3	Majorbio	L1HGI1300015--K01.R1.raw.fastq.gz
K03	C	MJ3	Majorbio	L1HGI1300016--K03.R1.raw.fastq.gz
K07	C	MJ3	Majorbio	L1HGG120258--K07.R1.raw.fastq.gz
K10	C	MJ3	Majorbio	L1HGI1300018--K10.R1.raw.fastq.gz
K14	C	MJ3	Majorbio	L1HGI1300020--K14.R1.raw.fastq.gz
K21	C	MJ3	Majorbio	L1HGI1300024--K21.R1.raw.fastq.gz
K22	C	MJ3	Majorbio	L1HGG120276--K22.R1.raw.fastq.gz
K36	C	MJ3	Majorbio	L1HGG120259--K36.R1.raw.fastq.gz
K40	C	MJ3	Majorbio	L1HGG120260--K40.R1.raw.fastq.gz
K46	C	MJ3	Majorbio	L1HGI1300029--K46.R1.raw.fastq.gz
M03	C	MJ3	Majorbio	L1HGG120262_L1HGG120262--M03.R1.raw.fastq.gz
M07	C	MJ3	Majorbio	L1HGG120263--M07.R1.raw.fastq.gz
M15	C	MJ3	Majorbio	L1HGG120265--M15.R1.raw.fastq.gz
X05	C	MJ3	Majorbio	L1HGG120267--X05.R1.raw.fastq.gz
Y06	C	MJ4	Majorbio	L1EGG120635_L1EGG120635--Y06.R1.raw.fastq.gz
Z15	C	MJ4	Majorbio	L1HGI1300042--Z15.R1.raw.fastq.gz
CA11	C	MJ4	Majorbio	L1HGI1300155_L1HGI1300155--C_A11.R1.raw.fastq.gz
CA13	C	MJ4	Majorbio	L1HGI1300160--C_A13.R1.raw.fastq.gz
CA25	C	MJ4	Majorbio	L1HGI1300158--C_A25.R1.raw.fastq.gz
CA9	C	MJ4	Majorbio	L1HGI1300153--C_A9.R1.raw.fastq.gz
CB03	C	MJ4	Majorbio	L1HGI1300162--C_B03.R1.raw.fastq.gz
CM15	C	MJ4	Majorbio	L1HGI1300167--C_M15.R1.raw.fastq.gz
CM17	C	MJ4	Majorbio	L1HGI1300169--C_M17.R1.raw.fastq.gz
CM21	C	MJ4	Majorbio	L1HGI1300171--C_M21.R1.raw.fastq.gz
CD22A	C	B1	BGI	
CD23A	C	B1	BGI	
CD26A	C	B1	BGI	
CG50A	C	B1	BGI	
CK05A	C	B1	BGI	
CK51A	C	B1	BGI	
CK52A	C	B1	BGI	
CK28A	C	B1	BGI	
