SampleID	Group	Assemble	Cooperation
A04	E	NX1	Nanxin
A18	E	NX1	Nanxin
G11	E	NX1	Nanxin
Z16	E	NX3	Nanxin
B04	E	NH	Nova
EA44	E	EA	Majorbio
EA47	E	EA	Majorbio
EA48	E	EA	Majorbio
EA49	E	EA	Majorbio
EA50	E	EA	Majorbio
EA51	E	EA	Majorbio
EA53	E	EA	Majorbio
EA54	E	EA	Majorbio
EA55	E	EA	Majorbio
EA57	E	EA	Majorbio
EA58	E	EA	Majorbio
EA60	E	EA	Majorbio
EA61	E	EA	Majorbio
EA63	E	EA	Majorbio
EA68	E	EA	Majorbio
EA70	E	EA	Majorbio
EA72	E	EA	Majorbio
EA73	E	EA	Majorbio
EA76	E	EA	Majorbio
EB01	E	EB	Majorbio
EB02	E	EB	Majorbio
EB03	E	EB	Majorbio
EB04	E	EB	Majorbio
EB05	E	EB	Majorbio
EB07	E	EB	Majorbio
EB08	E	EB	Majorbio
EB09	E	EB	Majorbio
EB10	E	EB	Majorbio
EB13	E	EB	Majorbio
EB16	E	EB	Majorbio
EB17	E	EB	Majorbio
EB20	E	EB	Majorbio
EB21	E	EB	Majorbio
EB24	E	EB	Majorbio
EB28	E	EB	Majorbio
EM03	E	MJ2	Majorbio
EM12	E	MJ2	Majorbio
EM22	E	MJ2	Majorbio
EM25	E	MJ2	Majorbio
EM27	E	MJ2	Majorbio
EM30	E	MJ2	Majorbio
EM32	E	MJ2	Majorbio
EM33	E	MJ2	Majorbio
EM34	E	MJ2	Majorbio
E12	E	MJ2	Majorbio
K16	E	MJ3	Majorbio
M12	E	MJ3	Majorbio
P24	E	MJ3	Majorbio
P31	E	MJ3	Majorbio
CA40A	E	B1	BGI
CD21A	E	B1	BGI
CD24A	E	B1	BGI
CD25A	E	B1	BGI
CD27A	E	B1	BGI
CD28A	E	B1	BGI
CD29A	E	B1	BGI
CD30A	E	B1	BGI
CE19A	E	B1	BGI
CM28A	E	B1	BGI
CM29A	E	B1	BGI
CM30A	E	B1	BGI
CM31A	E	B1	BGI
CM32A	E	B1	BGI
CM33A	E	B1	BGI
CM34A	E	B1	BGI
CM35A	E	B1	BGI
CM36A	E	B1	BGI
