SampleID	Group	Assemble	Cooperation
D06	L	NX1	Nanxin
G22	L	NX1	Nanxin
G29	L	NX1	Nanxin
G31	L	NX1	Nanxin
G43	L	NX1	Nanxin
H03	L	NX2	Nanxin
H05	L	NX2	Nanxin
I02	L	NX2	Nanxin
I04	L	NX2	Nanxin
I06	L	NX2	Nanxin
I14	L	NX2	Nanxin
M08	L	NX2	Nanxin
M20	L	NX2	Nanxin
P02	L	NX3	Nanxin
P14	L	NX3	Nanxin
P23	L	NX3	Nanxin
X02	L	NX3	Nanxin
Y07	L	NX3	Nanxin
Y09	L	NX3	Nanxin
Y19	L	NX3	Nanxin
Z10	L	NX3	Nanxin
B02	L	NH	Nova
B08	L	NH	Nova
B09	L	NH	Nova
B13	L	NH	Nova
B15	L	NH	Nova
B19	L	NH	Nova
B23	L	NH	Nova
B25	L	NH	Nova
A12	L	MJ1	Majorbio
A20	L	MJ1	Majorbio
A22	L	MJ1	Majorbio
A24	L	MJ1	Majorbio
C04	L	MJ1	Majorbio
C14	L	MJ1	Majorbio
E04	L	MJ2	Majorbio
E06	L	MJ2	Majorbio
E07	L	MJ2	Majorbio
G27	L	MJ2	Majorbio
G37	L	MJ2	Majorbio
G39	L	MJ2	Majorbio
K15	L	MJ3	Majorbio
K27	L	MJ3	Majorbio
M02	L	MJ3	Majorbio
M14	L	MJ3	Majorbio
P27	L	MJ3	Majorbio
X04	L	MJ3	Majorbio
Z06	L	MJ4	Majorbio
Z07	L	MJ4	Majorbio
OA11r1	L	MJ4	Majorbio
OA13r1	L	MJ4	Majorbio
OA7r2	L	MJ4	Majorbio
OA9r1	L	MJ4	Majorbio
OB03r2	L	MJ4	Majorbio
OB05r2	L	MJ4	Majorbio
OB18r1	L	MJ4	Majorbio
OB24r1	L	MJ4	Majorbio
OM15r2	L	MJ4	Majorbio
OM17r2	L	MJ4	Majorbio
OM21r1	L	MJ4	Majorbio
OG24B2A	L	B1	BGI
