SampleID	Group	Assemble	Cooperation
E11	Y	NX1	Nanxin
G33	Y	NX1	Nanxin
I09	Y	NX2	Nanxin
M18	Y	NX2	Nanxin
B27	Y	NH	Nova
A02	Y	MJ1	Majorbio
A28	Y	MJ1	Majorbio
A33	Y	MJ1	Majorbio
A37	Y	MJ1	Majorbio
C02	Y	MJ1	Majorbio
D02	Y	MJ1	Majorbio
D10	Y	MJ1	Majorbio
D18	Y	MJ1	Majorbio
G02	Y	MJ2	Majorbio
G47	Y	MJ2	Majorbio
K43	Y	MJ3	Majorbio
M04	Y	MJ3	Majorbio
M16	Y	MJ3	Majorbio
P15	Y	MJ3	Majorbio
YA02	Y	YA	Majorbio
YA03	Y	YA	Majorbio
YA04	Y	YA	Majorbio
YA06	Y	YA	Majorbio
YA07	Y	YA	Majorbio
YA10	Y	YA	Majorbio
YA11	Y	YA	Majorbio
YA12	Y	YA	Majorbio
YA13	Y	YA	Majorbio
YA14	Y	YA	Majorbio
YA16	Y	YA	Majorbio
YA19	Y	YA	Majorbio
YA21	Y	YA	Majorbio
YA23	Y	YA	Majorbio
YA26	Y	YA	Majorbio
YA28	Y	YA	Majorbio
YA29	Y	YA	Majorbio
YA30	Y	YA	Majorbio
YA31	Y	YA	Majorbio
YA32	Y	YA	Majorbio
YA33	Y	YA	Majorbio
YA34	Y	YA	Majorbio
YB31	Y	YB	Majorbio
YB32	Y	YB	Majorbio
YB34	Y	YB	Majorbio
YB35	Y	YB	Majorbio
YB36	Y	YB	Majorbio
YB37	Y	YB	Majorbio
YB38	Y	YB	Majorbio
YB39	Y	YB	Majorbio
YB40	Y	YB	Majorbio
YB41	Y	YB	Majorbio
YB43	Y	YB	Majorbio
YB45	Y	YB	Majorbio
YB46	Y	YB	Majorbio
YB47	Y	YB	Majorbio
YB50	Y	YB	Majorbio
YB52	Y	YB	Majorbio
YB54	Y	YB	Majorbio
YB55	Y	YB	Majorbio
YB56	Y	YB	Majorbio
YB57	Y	YB	Majorbio
YB59	Y	YB	Majorbio
Z04	Y	MJ4	Majorbio
Z12	Y	MJ4	Majorbio
Z14	Y	MJ4	Majorbio
