	MAG	Group	Effect	p_value
1	Anaerobutyricum hallii	CvsE	-0.557706315	9.93835243607723e-06
2	Fusicatenibacter saccharivorans	CvsE	-0.548673202	1.08342204348058e-05
3	Anaerostipes hadrus	CvsE	-0.522981992	1.02127773291444e-05
4	Blautia_A massiliensis	CvsE	-0.519923634	1.01909646321721e-05
5	Hominisplanchenecus faecis	CvsE	-0.517486745	1.17171669189769e-05
6	Oliverpabstia intestinalis	CvsE	-0.517422912	9.94852834703195e-06
7	Blautia_A sp905209435	CvsE	-0.511282389	9.94801525161195e-06
8	Mediterraneibacter faecis	CvsE	-0.495266068	1.66468612530759e-05
9	Blautia_A sp000436615	CvsE	-0.489727171	2.4544889639569e-05
10	Schaedlerella sp900066545	CvsE	-0.486586092	1.37215394183428e-05
11	Blautia_A wexlerae	CvsE	-0.485841512	3.10724154505024e-05
12	Sg_K15_44	CvsE	-0.482992699	2.01492379199907e-05
13	Blautia stercoris	CvsE	-0.480407795	1.18025882996288e-05
14	Faecalibacillus intestinalis	CvsE	-0.478970586	2.91428604340608e-05
15	Mediterraneibacter lactaris	CvsE	-0.474641875	1.90391635186018e-05
16	Alistipes communis	CvsE	0.323022012514585	0.00728308612743905
17	ER4 sp003522105	CvsE	0.325452650971662	0.00178937719678743
18	CAG-177 sp000431775	CvsE	0.325706102083682	0.00251217820493573
19	Vescimonas sp900545495	CvsE	0.331220128242766	0.00176473245340829
20	Bacteroides fragilis	CvsE	0.331331049007507	0.00563282774720315
21	Bacteroides eggerthii	CvsE	0.343487618923245	0.0144605792937524
22	Vescimonas sp900545585	CvsE	0.349343150891645	0.0026134529663835
23	Alistipes shahii	CvsE	0.352249615514051	0.00168011961198061
24	CAG-170 sp002404795	CvsE	0.356217596464368	0.00363457167012383
25	CAG-170 sp900548625	CvsE	0.36525446637661	0.000695326789568697
26	Vescimonas sp001916855	CvsE	0.368887560344648	0.000902787720630093
27	Parabacteroides goldsteinii	CvsE	0.371916557390953	0.00239568019621798
28	Desulfovibrio sp900556755	CvsE	0.378541558146948	0.00231898141428288
29	Faecousia sp000434635	CvsE	0.385280854026813	0.00065073072825639
30	CAG-170 sp900545925	CvsE	0.412341518348812	0.000670470049735632
31	Alistipes onderdonkii	CvsE	0.422167238232278	0.000331089770759114
32	Vescimonas sp000435975	CvsE	0.423421454777515	0.00023501956032894
33	Coprenecus sp944326235	CvsE	0.426337323183144	0.000137442747250412
34	Alistipes_A ihumii	CvsE	0.438805370199672	0.000624685709887932
35	CAG-170 sp000432135	CvsE	0.487364235583113	0.000128998642257202
36	Anaerobutyricum hallii	CvsL	-0.450472261	0.000687315122105475
37	Fusicatenibacter saccharivorans	CvsL	-0.5474516	0.000174620848507339
38	Anaerostipes hadrus	CvsL	-0.403883581	0.00113047477620616
39	Blautia_A massiliensis	CvsL	-0.425132138	0.000888220681583531
40	Hominisplanchenecus faecis	CvsL	-0.472832335	0.000136411107563461
41	Oliverpabstia intestinalis	CvsL	-0.546084707	0.000111079563863211
42	Blautia_A sp905209435	CvsL	-0.405518862	0.000869764756734031
43	Mediterraneibacter faecis	CvsL	-0.460758896	0.000623863716286035
44	Blautia_A sp000436615	CvsL	-0.449488556	0.000351338203647739
45	Schaedlerella sp900066545	CvsL	-0.350970356	0.00288041532281158
46	Blautia_A wexlerae	CvsL	-0.474439436	0.000325426101560996
47	Sg_K15_44	CvsL	-0.445132051	0.000610588327892136
48	Blautia stercoris	CvsL	-0.451314232	0.000452558086059092
49	Faecalibacillus intestinalis	CvsL	-0.340878441	0.0103214626837044
