"","A13","A15","A25","C03","C11","D01","D05","D09","D16","G01","G18","G20","G21","G28","G32","G42","G46","H02","H04","H06","I03","I07","I13","K09","K17","K23","K26","K31","K32","K34","K42","M01","M11","M17","M21","P01","P03","P22","P26","P30","X01","X03","Y08","Z03","Z09","Z11","Z17","B01","B03","B07","B12","B14","B22","B24","B26","A01","A07","A09","A11","A17","A19","A23","A27","A34","D03","E10","G06","G09","G19","G26","G30","H07","I01","I05","I12","I15","K01","K03","K07","K10","K14","K21","K22","K36","K40","K46","M03","M07","M15","X05","Y06","Z15","CA11","CA13","CA25","CA9","CB03","CM15","CM17","CM21","CD22A","CD23A","CD26A","CG50A","CK05A","CK51A","CK52A","CK28A","zero_counts","sample_percent"
"Gp_MJ4_197",0.00000556109418066883,0,0.00000353887811497107,0.0000439831994289262,0.00000758331024636658,0,0.00000252777008212219,0.0000106166343449132,0.000041455429346804,0.00000505554016424439,0.00000101110803284888,0.000012638850410611,0.00000202221606569776,0.00000252777008212219,0.0000111221883613377,0.00000101110803284888,0.0000111221883613377,0.00000151666204927332,0.00000151666204927332,0.00000101110803284888,0,0.000195143850339833,0.0000111221883613377,0.0000181999445912798,0.00000252777008212219,0,0,0.00000101110803284888,0,0.00000859441827921546,0.00000151666204927332,0.000000505554016424439,0.000000505554016424439,0.00000101110803284888,0.00000353887811497107,0,0.00000101110803284888,0.00000252777008212219,0.000020727714673402,0.000000505554016424439,0.00000353887811497107,0,0,0,0.00000252777008212219,0.00000151666204927332,0.000028816578936193,0.0000176943905748554,0.000280076925099139,0.0000358943351661352,0.000062183144020206,0.0000156721745091576,0.00000758331024636658,0.000358943351661352,0.00000808886426279102,0.000330126772725159,0.000367032215924143,0.00000505554016424439,0.000354898919529956,0.0000217388227062509,0.00000758331024636658,0.0153471032765967,0.000033366565084013,0.000648120249056131,0.00157277854509643,0.0000975719251699167,0.0000192110526241287,0.0000525776177081416,0.000618292562087089,0.0000171888365584309,0.0000202221606569776,0.00307073509576204,0.0000111221883613377,0.0000743164404143925,0.0000272999168869197,0.0000566220498395372,0.000253788116245068,0.0000636998060694793,0.0000197166066405531,0.000131949598286779,0.000147116218779512,0.00132707929311415,0.000566220498395372,0.0000136499584434599,0.0000262888088540708,0.0000773497645129392,0.00000454998614781995,0.00000505554016424439,0.000105155235416283,0.000814447520459771,0.000016177728525582,0.000049544293609595,0.000082910858693608,0.0000101110803284888,0.0000449943074617751,0.0000727997783651192,0.00149138434845209,0.000282099141164837,0.0000596553739380838,0.00000758331024636658,0.00000657220221351771,0.00000101110803284888,0.0000237610387719486,0.00000151666204927332,0.0000131444044270354,0.00000859441827921546,0.0000510609556588683,0.0000171888365584309,10,0.907407
"Gp_NH_148",0.00000556109418066883,0,0.00000101110803284888,0.0000647109141023282,0.000253282562228644,0.000000505554016424439,0.0000242665927883731,0.0000187054986077042,0.000057633157872386,0.00000101110803284888,0.000000505554016424439,0.0000566220498395372,0.00000606664819709327,0.0000343776731168618,0.000016177728525582,0.00000404443213139551,0.0000343776731168618,0.000000505554016424439,0.00000353887811497107,0.0000116277423777621,0,0.0000176943905748554,0.000016177728525582,0.0000101110803284888,0.0000849330747593057,0.00000202221606569776,0,0.00000151666204927332,0.0000121332963941865,0.0000869552908250035,0.0000434776454125017,0.00000202221606569776,0,0.0000444887534453506,0.0000581387118888105,0.000000505554016424439,0.0000551053877902638,0.00000151666204927332,0.000102627465334161,0.00000252777008212219,0.0000090999722956399,0.00000353887811497107,0,0.00000808886426279102,0.0000950441550877945,0.0000111221883613377,0.00000151666204927332,0.000036905443198984,0.000145094002713814,0.0000945386010713701,0.000186549432060618,0.00103133019350586,0.0000252777008212219,0.000265921412639255,0.00068452013823869,0.000291704667476901,0.0000192110526241287,0.0000222443767226753,0.000826075262837533,0.000012638850410611,0.00000707775622994214,0.00115468537351342,0.0000712831163158459,0.000532853933311359,0.000502015138309468,0.000124871842056836,0.00010363857336701,0.000127905166155383,0.000229521523456695,0.000159249515173698,0.00168753930682478,0.00014003846254957,0.00103284685555513,0.00017087725755146,0.0000606664819709327,0.0000682497922172993,0.000247721468047975,0.000146610664763087,0.0000166832825420065,0.000153182866976605,0.000550042769869789,0.000139532908533145,0.000148127326812361,0.0000187054986077042,0.0000500498476260195,0.000249238130097248,0.000936791592434485,0.000492915166013828,0.000134982922385325,0.000224465983292451,0.000140544016565994,0.00362178897366468,0.0000894830609071257,0.000129927382221081,0.0000363998891825596,0.0000257832548376464,0.000238115941735911,0.0000551053877902638,0.000747208836275321,0.0000237610387719486,0.0000995941412356145,0.0000389276592646818,0.0000111221883613377,0.00000505554016424439,0.0000141555124598843,0.000231543739522393,0.000881686204644221,0.0000237610387719486,5,0.953704
"Sg_A11_10",0.000144082894680965,0.0000176943905748554,0.000113244099679074,0.00169057263092332,0.0003599544596942,0.0000252777008212219,0.0000424665373796529,0.000991391426208325,0.000208288254766869,0.00000606664819709327,0.0000116277423777621,0.00168652819879193,0.000128410720171807,0.000260360318458586,0.000616775900037815,0.000036905443198984,0.0000889775068907012,0.00000657220221351771,0.0000181999445912798,0.000327599002643036,0.00000606664819709327,0.000286649127312657,0.0000318499030347396,0.0000945386010713701,0.0000480276315603217,0.0000667331301680259,0.00000202221606569776,0.00000657220221351771,0.000036905443198984,0.0000697664542665726,0.0000566220498395372,0.0000697664542665726,0.00000151666204927332,0.000237610387719486,0.0000667331301680259,0.00000606664819709327,0.0000358943351661352,0.00000606664819709327,0.00130584602442433,0.00000960552631206434,0.0000166832825420065,0.0000101110803284888,0.0000778553185293636,0.000016177728525582,0.0000647109141023282,0.00000707775622994214,0.0000920108309892479,0.000159755069190123,0.00295445767198442,0.000119310747876168,0.000805853102180556,0.000228004861407422,0.00166074494395428,0.000944880456697276,0.000267943628704953,0.000812930858410498,0.000101110803284888,0.0000995941412356145,0.00803679219909931,0.0000642053600859037,0.0000444887534453506,0.00129977937622723,0.0048614074219374,0.000173910581650007,0.0131691765738402,0.00152070648140471,0.000453987506749146,0.000580376010855256,0.000334171204856554,0.000721931135454099,0.000125377396073261,0.00102829686940731,0.00079725868390134,0.00395343240843911,0.000358437797644927,0.000434270900108593,0.00174517246469716,0.000825569708821109,0.000129421828204656,0.00118602972253173,0.0012618628249954,0.00358943351661352,0.00100858026276676,0.000455504168798419,0.00571427704764543,0.00123102402999351,0.000102121911317737,0.0000672386841844504,0.00119057970867955,0.00462480814225077,0.0043007480177227,0.000480276315603217,0.00077905873931006,0.000531337271262085,0.000392309916745365,0.000248227022064399,0.00198935505463017,0.00316780146691553,0.000518698420851474,0.000152677312960181,0.000322037908462368,0.000134477368368901,0.0000834164127100324,0.0000227499307390997,0.0000384221052482574,0.000213343794931113,0.000983302561945534,0.000517687312818625,0,1
"Sg_A27_31",0.0000242665927883731,0.00000556109418066883,0.0000171888365584309,0.000992908088257598,0.000248732576080824,0.00000303332409854663,0.000232554847555242,0.000188571648126316,0.00134022369754119,0.000033366565084013,0.0000136499584434599,0.00131090156458857,0.0000682497922172993,0.000378659958301905,0.0000419609833632284,0.0000581387118888105,0.000774003199145816,0.00000657220221351771,0.0000141555124598843,0.0000460054154946239,0.00000303332409854663,0.00082000861464044,0.0000500498476260195,0.000273504722885621,0.0000257832548376464,0.0000121332963941865,0.00000252777008212219,0.00000404443213139551,0.0000257832548376464,0.000348832271332863,0.000176943905748554,0.0000212332686898264,0.0000141555124598843,0.000114760761728348,0.000127399612138959,0.0000439831994289262,0.0000313443490183152,0.0000101110803284888,0.000608687035775024,0.0000192110526241287,0.0000389276592646818,0.00000303332409854663,0.00000353887811497107,0.000107177451481981,0.000151666204927332,0.000020727714673402,0.0000763386564800903,0.018134728123161,0.00661416319688093,0.000275021384934895,0.00180836671675022,0.000321532354445943,0.00019817717443838,0.00153840087197957,0.00108593002727969,0.00117339087212112,0.0012659072571268,0.000185538324027769,0.00683054031591059,0.000144082894680965,0.000062183144020206,0.00443825871019015,0.00841191327928624,0.00230633742292829,0.000778047631277211,0.00187257207683612,0.00194233853110269,0.000541448351590574,0.00100352472260251,0.00270117510975578,0.00120574632917229,0.00775974859809871,0.000861464043987244,0.000813941966443347,0.000744681066193198,0.000614753683972118,0.0198975949784331,0.00813486967828565,0.000430732021993622,0.012651994815038,0.0195179239120983,0.00470215790676371,0.0383801442648941,0.000558131634132581,0.000361471121743474,0.0332942708596643,0.000628909196432002,0.000150655096894483,0.000971674819567772,0.0021202935448841,0.00080635865619698,0.000794225359802794,0.000943869348664427,0.00138976799115078,0.0003827043904333,0.000467131911176182,0.00759594909677719,0.00776884857039435,0.00448982521986544,0.000430226467977197,0.000448426412568477,0.000544987229705545,0.000211321578865415,0.000036905443198984,0.000113244099679074,0.000373098864121236,0.00170270592731751,0.000542965013639847,0,1
"Sg_B04_2",0.000149138434845209,0.0000181999445912798,0.0000328610110675885,0.00900391703251926,0.000054094279757415,0.00000505554016424439,0.000370065540022689,0.00231341517915823,0.00141352902992273,0.00000252777008212219,0.000314960152232425,0.00184426105191635,0.000756814362587385,0.00113345210482359,0.000129927382221081,0.0000520720636917172,0.012391128942563,0.000207782700750444,0.000445898642486355,0.0000465109695110484,0.00000101110803284888,0.00123254069204278,0.0000187054986077042,0.0000591498199216593,0.000266426966655679,0.000020727714673402,0.0000106166343449132,0.00000151666204927332,0.0000692609002501481,0.000235588171653789,0.000145599556730238,0.000104649681399859,0.0000409498753303795,0.0000839219667264569,0.000128916274188232,0.0000192110526241287,0.000469659681258304,0.00000960552631206434,0.00111626326826516,0.0000090999722956399,0.0000424665373796529,0.0000460054154946239,0.000104144127383434,0.00000707775622994214,0.000134982922385325,0.0000121332963941865,0.000134477368368901,0.000235588171653789,0.00434018123100381,0.0000722942243486948,0.0002027271605862,0.0000434776454125017,0.00454189728355716,0.00352725037259331,0.000086449736808579,0.00373553862736018,0.0020065438911886,0.000131949598286779,0.003111179417076,0.0000409498753303795,0.0000257832548376464,0.00461874149405367,0.000427698697895075,0.00297872426477279,0.00321178466634446,0.00660910765671669,0.000701203420780697,0.000102627465334161,0.00222393211825111,0.000780575401359334,0.00270926397401857,0.0104078405361299,0.0000328610110675885,0.00156064524870224,0.0000824053046771835,0.000124871842056836,0.0413437019091742,0.0263666641726002,0.000416070955517313,0.0410798027126006,0.00370166650825974,0.00797915904122692,0.00062638142634988,0.0000581387118888105,0.00070727006897779,0.0933722879554789,0.000222949321243178,0.0000712831163158459,0.000808886426279102,0.00641952490055752,0.00320925689626234,0.0000500498476260195,0.00986639218453935,0.0166221105060191,0.000062183144020206,0.0000571276038559616,0.00152070648140471,0.00117440198015397,0.00161473952845966,0.000307882396002483,0.000340237853053647,0.000543470567656272,0.000106166343449132,0.0000480276315603217,0.000174921689682856,0.000453481952732722,0.00111424105219946,0.00252777008212219,0,1
"Sg_B07_50",0.0876044221820925,0.00107480783891836,0.00194233853110269,0.0000899886149235501,0.000172393919600734,0.000246204805998702,0.00488567401472578,0.000609192589791449,0.00251513123171158,0.00688615125771728,0.000482804085685339,0.0000894830609071257,0.000672386841844504,0.000406465429205249,0.0000116277423777621,0.0000348832271332863,0.0000308387950018908,0.000455504168798419,0.000594025969298716,0.0000935274930385212,0.0000262888088540708,0.0000465109695110484,0.000133466260336052,0.000487354071833159,0.00030181574780539,0.0235755004479209,0.0000131444044270354,0.00364453890440378,0.000263393642557133,0.00009908858721919,0.000245193697965853,0.000549537215853365,0.0000328610110675885,0.00024367703591658,0.000609698143807873,0.000150149542878058,0.000338721191004374,0.000730525553733314,0.00150149542878058,0.0000551053877902638,0.000685025692255115,0.000303332409854663,0.0627367256681907,0.00000353887811497107,0.0000293221329526175,0.0179704230678231,0.000551053877902638,0.000100099695252039,0.0000525776177081416,0.00638767499752279,0.00000758331024636658,0.00000252777008212219,0.0100418194282386,0.000198682728454804,0.000278054709033441,0.0000090999722956399,0.000528303947163539,0.00207883811553729,0.0000343776731168618,0.000222949321243178,0.0000743164404143925,0.000186549432060618,0.0000308387950018908,0.0000111221883613377,0.0000753275484472414,0.0000444887534453506,0.0000404443213139551,0.0000318499030347396,0.0000146610664763087,0.0000551053877902638,0.00000202221606569776,0.0000252777008212219,0.0000146610664763087,0.000245193697965853,0.00000859441827921546,0.0000156721745091576,0.0000136499584434599,0.00000505554016424439,0.000356921135595654,0.0000101110803284888,0.000033366565084013,0.0000313443490183152,0.0000262888088540708,0.000494431828063101,0.00208338810168511,0.0000308387950018908,0.0000303332409854663,0.000306871287969634,0.00000960552631206434,0.000223960429276026,0.0000156721745091576,0.000016177728525582,0.0000146610664763087,0.0211321578865415,0.00179421120429033,0.0000642053600859037,0.0000171888365584309,0.0000146610664763087,0.0000530831717245661,0.000690081232419359,0.000284121357230535,0.0000090999722956399,0.000229521523456695,0.000336698974938676,0.000124871842056836,0.000142060678615267,0.000305860179936785,0.0000217388227062509,0,1
"Sg_B07_53",0.00671830732426437,0.000596553739380838,0.014779366116152,0.00382805501236585,0.000573298254625314,0.00404948767155976,0.000491398503964555,0.0000859441827921546,0.000739625526028954,0.000638009168727642,0.00247468691039763,0.00052274285298287,0.0000394332132811062,0.158264190395687,0.0000101110803284888,0.0000596553739380838,0.000155205083042303,0.0785964607174418,0.000251765900179371,0.000000505554016424439,0.000629414750448426,0.000150149542878058,0.00139785685541357,0.221629319706293,0.000182504999929222,0.0314378765113537,0.00257883103778106,0.000692609002501481,0.0000844275207428813,0.0888961126940569,0.000317487922314548,0.0396460515220209,0.000419609833632284,0.000865002922102215,0.00047724299150467,0.000659242437417468,0.0000176943905748554,0.00923798854212377,0.00032911566469231,0.00029271577550975,0.0186205655329449,0.00100403027661894,0.000125882950089685,0.353870117106532,0.000803325332098433,0.13203705913162,0.000200704944520502,0.000139027354516721,0.000237610387719486,0.0612549468460507,0.000164305055337943,0.000416576509533738,0.000229015969440271,0.000390287700679667,0.00566321609198656,0.000333160096823705,0.0192641357958532,0.0528895445362755,0.0000601609279545082,0.00989419765544269,0.155542287571258,0.00263848641171915,0.00161069509632826,0.00074366995816035,0.00166782270018422,0.000104144127383434,0.0369731874371849,0.00567282161829863,0.000948419334812247,0.0189673755882121,0.000939824916533032,0.000444381980437082,0.0167242324173369,0.0100114861872532,0.0152186925564249,0.00244587033146144,0.000173910581650007,0.00109553555359176,0.173644154683351,0.000521226190933596,0.0000176943905748554,0.00156620634288291,0.000420620941665133,0.0457587051346088,0.000954485983009341,0.0000141555124598843,0.00024367703591658,0.0240577989795898,0.00058088156487168,0.000660759099466742,0.0000176943905748554,0.000691597894468632,0.000168349487469338,0.000705753406928517,0.168175071333672,0.00513946213097085,0.000124871842056836,0.0115817369622675,0.0103016741926808,0.00037815440428548,0.000288671343378355,0.00129118495794802,0.000772992091112967,0.00269864733967365,0.00107329117686908,0.00745034954004696,0.00249086463892321,0.00116176312974336,0,1
"Sg_B15_35",0.0000131444044270354,0.00000454998614781995,0.00000657220221351771,0.0000475220775438973,0.0000439831994289262,0.00000101110803284888,0.00000505554016424439,0.0000187054986077042,0.000137005138451023,0.00000202221606569776,0.0000131444044270354,0.000502520692325892,0.0000101110803284888,0.0000166832825420065,0.000100099695252039,0.00000151666204927332,0.0000571276038559616,0.00000454998614781995,0.00000151666204927332,0.0000131444044270354,0.00000151666204927332,0.0000692609002501481,0.00000859441827921546,0.00032001569239667,0.0000753275484472414,0.00000101110803284888,0.00000252777008212219,0.00000252777008212219,0.00000252777008212219,0.000070272008282997,0.0000444887534453506,0.00000303332409854663,0.00000101110803284888,0.00000960552631206434,0.0000166832825420065,0.00000303332409854663,0.000033366565084013,0.00000454998614781995,0.0000171888365584309,0.0000591498199216593,0.00000657220221351771,0.00000252777008212219,0.00000303332409854663,0.0000171888365584309,0.0000242665927883731,0.00000353887811497107,0.00000960552631206434,0.0000773497645129392,0.000269460290754226,0.0000232554847555242,0.0048219742086563,0.00817025845943536,0.00248732576080824,0.000111221883613377,0.0000733053323815436,0.000118299639843319,0.0000323554570511641,0.0000394332132811062,0.000074821994430817,0.000020727714673402,0.000880675096611373,0.000152171758943756,0.0000303332409854663,0.0000925163850056723,0.000322543462478792,0.000139027354516721,0.000224465983292451,0.000625370318317031,0.000145094002713814,0.000328104556659461,0.0000636998060694793,0.00017542724369928,0.0000363998891825596,0.000192616080257711,0.0000283110249197686,0.00111676882228159,0.000230532631489544,0.000159249515173698,0.00029726576165757,0.000251260346162946,0.000142060678615267,0.0000854386287757302,0.000524765069048568,0.0000308387950018908,0.0000394332132811062,0.00100251361456966,0.0000242665927883731,0.0000374109972154085,0.0000520720636917172,0.00109957998572315,0.000996446966372569,0.000160260623206547,0.000129421828204656,0.0000500498476260195,0.0000566220498395372,0.0000358943351661352,0.00052729283913069,0.0000717886703322703,0.0000889775068907012,0.0000444887534453506,0.000125377396073261,0.0000192110526241287,0.0000470165235274728,0.0000116277423777621,0.0000434776454125017,0.000107683005498405,0.000144082894680965,0.0000778553185293636,0,1
"Sg_B26_4",0.0139962629447106,0.000521731744950021,0.00130635157844075,0.000154699529025878,0.000137510692467447,0.000173910581650007,0.000252271454195795,0.000147116218779512,0.00140796793574206,0.000315971260265274,0.00203889934823976,0.000239632603785184,0.000795236467835642,0.000233060401571666,0.000128916274188232,0.0000500498476260195,0.000180988337879949,0.000685531246271539,0.000476737437488246,0.000256821440343615,0.0000551053877902638,0.000133466260336052,0.00136095141221459,0.00140240684156139,0.000228004861407422,0.000493926274046677,0.000116277423777621,0.00064913135708898,0.000162282839272245,0.00138572355901939,0.00109250222949321,0.000149643988861634,0.0000510609556588683,0.000185032770011345,0.00476080217266894,0.000165821717387216,0.000747208836275321,0.000724964459552645,0.000444887534453506,0.0000662275761516015,0.00119411858679452,0.000207782700750444,0.0033781119377481,0.00000606664819709327,0.0000935274930385212,0.00111879103834728,0.000327093448626612,0.0000581387118888105,0.00016177728525582,0.000366021107891294,0.0000197166066405531,0.00000758331024636658,0.000980774791863411,0.000288671343378355,0.0156853189135846,0.0000313443490183152,0.00061728145405424,0.000812425304394073,0.00011728853181047,0.00302068524813602,0.00148430659222215,0.000323554570511641,0.000283110249197686,0.0000298276869690419,0.000776530969227938,0.0000788664265622125,0.0000849330747593057,0.000111221883613377,0.000054094279757415,0.000136499584434599,0.0000156721745091576,0.000057633157872386,0.0000318499030347396,0.000606664819709327,0.0000465109695110484,0.0000293221329526175,0.0000844275207428813,0.0000586442659052349,0.0015287953456675,0.0000591498199216593,0.000326082340593763,0.000128916274188232,0.0000995941412356145,0.000190593864192013,0.000583914888970227,0.0000657220221351771,0.0000899886149235501,0.000297771315673994,0.0000889775068907012,0.0000566220498395372,0.00000556109418066883,0.0000616775900037815,0.0000217388227062509,0.0155553915313636,0.000714347825207732,0.0000520720636917172,0.0000975719251699167,0.0000763386564800903,0.00012638850410611,0.0102940908824344,0.000460559708962664,0.0000475220775438973,0.00026996584477065,0.00266881965270461,0.000259854764442162,0.000519709528884323,0.000349337825349287,0.000171382811567885,0,1
"Sg_CA25_21",0.00102071355916094,0.000602620387577931,0.00281391365541843,0.000875619556447128,0.000902919473334048,0.0119467469621259,0.000130432936237505,0.000272999168869197,0.00219005999915067,0.0000272999168869197,0.000020727714673402,0.000328610110675885,0.000263393642557133,0.00273251945877409,0.0000136499584434599,0.000118805193859743,0.000158238407140849,0.0003599544596942,0.00153031200771678,0.000249238130097248,0.000248227022064399,0.000214860456980387,0.000525776177081416,0.0145412501744161,0.000495948490112375,0.00179067232617536,0.0000889775068907012,0.0246230083699523,0.000317993476330972,0.000313949044199577,0.000106166343449132,0.000780575401359334,0.0061065869643908,0.00029271577550975,0.00212989907119616,0.00029726576165757,0.00029726576165757,0.00133466260336052,0.000676431273975899,0.000848319639560208,0.000214354902963962,0.00110514107990382,0.000287660235345506,0.0023685205669485,0.00343827286570261,0.00340136742250362,0.000699686758731423,0.000201210498536927,0.00352522815652761,0.00753123818267487,0.0000824053046771835,0.000174416135666431,0.00273959721500403,0.001555589708538,0.00944071570270997,0.000625875872333455,0.00230684297694471,0.00060363149561078,0.000102121911317737,0.0019549773815133,0.00314859041429141,0.000309904612068181,0.00220118218751201,0.000402420997073853,0.00532449490098219,0.000692609002501481,0.00423755376566965,0.000294737991575448,0.000470670789291153,0.00411116526156354,0.000253282562228644,0.00132252930696633,0.00330834548348153,0.00529466721401315,0.000850341855625906,0.000377143296252631,0.0000090999722956399,0.0000485331855767461,0.015746490949572,0.000266426966655679,0.000263393642557133,0.00030636573395321,0.00289834117616131,0.00297366872460855,0.00257428105163324,0.0000267943628704953,0.000115771869761197,0.0010818855951483,0.00132859595516343,0.00111626326826516,0.0000793719805786369,0.0159269737334355,0.000108694113531254,0.000239632603785184,0.0143617784985855,0.00012183851795829,0.000107177451481981,0.00082455860078826,0.000191604972224862,0.00254546447269705,0.000124366288040412,0.00112789101064292,0.00316881257494838,0.000572792700608889,0.0192777857542967,0.00063548139864552,0.0045509972558528,0.00269864733967365,0,1
