"","A04","A18","G11","Z16","B04","EA44","EA47","EA48","EA49","EA50","EA51","EA53","EA54","EA55","EA57","EA58","EA60","EA61","EA63","EA68","EA70","EA72","EA73","EA76","EB01","EB02","EB03","EB04","EB05","EB07","EB08","EB09","EB10","EB13","EB16","EB17","EB20","EB21","EB24","EB28","EM03","EM12","EM22","EM25","EM27","EM30","EM32","EM33","EM34","E12","K16","M12","P24","P31","CA40A","CD21A","CD24A","CD25A","CD27A","CD28A","CD29A","CD30A","CE19A","CM28A","CM29A","CM30A","CM31A","CM32A","CM33A","CM34A","CM35A","CM36A","zero_counts","sample_percent"
"Gp_MJ4_197",0.000940330470549456,0.0000328610110675885,0.000016177728525582,0.000262888088540708,0.00162687282485384,0,0.00669100740737745,0.0000712831163158459,0.000176438351732129,0.00000404443213139551,0.000062183144020206,0.000613237021922844,0.00228105972210707,0.0000374109972154085,0.0000187054986077042,0.00320976245027876,0.00014003846254957,0.000390793254696091,0.00165922828190501,0.00108340225719757,0.00131747376680209,0.000442865318387808,0.000156216191075152,0.00228105972210707,0.000376132188219783,0.000200704944520502,0.000111221883613377,0.000316476814281699,0.0000298276869690419,0.000458031938880542,0.00036905443198984,0.000225982645341724,0.000223454875259602,0.0000743164404143925,0.0002027271605862,0.0000647109141023282,0.000107177451481981,0.00357173912603866,0.001940316315037,0.0000636998060694793,0.0000465109695110484,0.0017375891544508,0.000132960706319627,0.000362987783792747,0.000180482783863525,0.000651659127171102,0.000165821717387216,0.00421985937509479,0.000218399335095358,0.0000156721745091576,0.0000975719251699167,0.00000505554016424439,0.0000788664265622125,0.00111626326826516,0.0000227499307390997,0.00000202221606569776,0.0000677442382008748,0.00000657220221351771,0.00000303332409854663,0.00000404443213139551,0.00000556109418066883,0.00000404443213139551,0.000000505554016424439,0.0000121332963941865,0.00000758331024636658,0.0000111221883613377,0.00000657220221351771,0.0000348832271332863,0.0000535887257409905,0.00000353887811497107,0.0000141555124598843,0.00000657220221351771,1,0.986111
"Gp_NH_148",0.0000586442659052349,0.0000308387950018908,0.0000111221883613377,0.000244182589933004,0.000248732576080824,0.00000151666204927332,0.000576837132740285,0.000914041661695386,0.0000475220775438973,0.000214860456980387,0.0130685713245717,0.00142212344820195,0.000636998060694793,0.0000824053046771835,0.000704742298895668,0.0012370906781906,0.000776530969227938,0.00147672328197579,0.0000915052769728234,0.000378659958301905,0.00106166343449132,0.00349236714546002,0.0000788664265622125,0.0104634514779366,0.000965608171370678,0.00280986922328703,0.00213091017922901,0.00112789101064292,0.0000677442382008748,0.000237610387719486,0.000185538324027769,0.000367032215924143,0.0000965608171370678,0.000349337825349287,0.000108694113531254,0.0098881310072456,0.000976730359732016,0.000196154958372682,0.00253434228433571,0.0000788664265622125,0.00111424105219946,0.000168855041485763,0.000226993753374573,0.000925669404073148,0.000187054986077042,0.00282756361386189,0.000170371703535036,0.0000859441827921546,0.000128410720171807,0.0000272999168869197,0.00708180066207354,0.000522237298966445,0.000185538324027769,0.00272796947262627,0.0000611720359873571,0.00000859441827921546,0.000020727714673402,0.0000738108863979681,0.0000156721745091576,0.00000657220221351771,0.0000475220775438973,0.0000121332963941865,0.00000101110803284888,0.0000379165512318329,0.0012350684621249,0.0000449943074617751,0.0000363998891825596,0.0000510609556588683,0.0000308387950018908,0.0000111221883613377,0.0003827043904333,0.0000323554570511641,0,1
"Sg_A11_10",0.0032643622840526,0.000082910858693608,0.000257832548376464,0.000372087756088387,0.00221533769997189,0.0000101110803284888,0.00155609526255442,0.0019837939604495,0.000389782146663242,0.000984819223994807,0.000597564847413687,0.000408993199287371,0.000506059570440863,0.00538617249098597,0.000370571094039114,0.000584925997003076,0.00247013692424981,0.0025009757192517,0.00324666789347775,0.00700950643772485,0.00269713067762438,0.012123185313858,0.00128815163384947,0.00149138434845209,0.000319510138380245,0.0109452444555891,0.00137257915459235,0.000823547492755411,0.000368043323956992,0.000494937382079526,0.000547009445771243,0.00068452013823869,0.00163748945919876,0.0045242028929823,0.00482854641086982,0.00840584663108915,0.00118552416851531,0.00136550139836241,0.00201412720143496,0.002428681494903,0.00174416135666431,0.0397901344167019,0.00268196405713165,0.00100200806055324,0.000921624971941752,0.0015535674924723,0.00200603833717217,0.00371632757473605,0.00168298932067696,0.000140544016565994,0.00378002738080553,0.000145599556730238,0.000447920858552053,0.00282857472189474,0.000173405027633583,0.00216276008226375,0.000854891841773726,0.000385232160515422,0.0000768442104965147,0.0000217388227062509,0.000187054986077042,0.0000429720913960773,0.000523753961015719,0.000204749376651898,0.000850341855625906,0.00029271577550975,0.000147621772795936,0.00141100125984061,0.000134477368368901,0.00011728853181047,0.000420115387648709,0.000123355180007563,0,1
"Sg_A27_31",0.00102324132924306,0.000474715221422548,0.000181999445912798,0.000661264653483166,0.00251159235359661,0.0000111221883613377,0.0615168238265586,0.00622488660423412,0.00530376718630879,0.00125630173081473,0.00130028493024366,0.00151463983320762,0.0127156946211075,0.000871575124315733,0.00234829840629152,0.00135539031803392,0.00217843225677291,0.0230785408497756,0.0167282768494683,0.0134856533881219,0.00434978675731587,0.0293544884096686,0.00285991907091305,0.0247751801288961,0.000854386287757302,0.00771829316875191,0.00364453890440378,0.00563439951305037,0.00506919012268785,0.00575067693682799,0.00187611095495109,0.0107935782506618,0.00200502722913932,0.00644834147949372,0.0340718129369251,0.00284424689640389,0.00157935074730995,0.0134507701609886,0.0415009292082822,0.0104159294003927,0.0120357244690166,0.00244485922342859,0.0027492027413161,0.0103941905776865,0.0170417203396514,0.00497161819751793,0.00173000584420443,0.0200012335518001,0.0448193857720922,0.000442359764371384,0.0393487857603634,0.000356921135595654,0.0107359450927894,0.00473350225578202,0.000180988337879949,0.000269460290754226,0.000261876980507859,0.000137005138451023,0.0000267943628704953,0.000109199667547679,0.0000722942243486948,0.0000454998614781995,0.0000197166066405531,0.000303332409854663,0.000190593864192013,0.000167843933452914,0.00159603402985195,0.000737097755946832,0.000358437797644927,0.000911008337596839,0.000396859902893185,0.000323049016495216,0,1
"Sg_B04_2",0.0000733053323815436,0.000175932797715705,0.000566220498395372,0.00396506015081687,0.022427387276621,0.00000101110803284888,0.034132479418896,0.00408841533082444,0.000205254930668322,0.0372077645008059,0.000224971537308875,0.014046818346353,0.00688210682558589,0.0141959567811982,0.0018205000131444,0.055589202983982,0.00431389242214974,0.00730727775339884,0.0169765038715327,0.00185234991617914,0.0073871552879939,0.0219369998806893,0.00230886519301041,0.0109624332921475,0.00393573801786426,0.0103977294558014,0.0272705947539671,0.00476231883471821,0.000302321301821814,0.00778047631277211,0.00414604848869682,0.00124720175851909,0.00680627372312222,0.0340884962194671,0.0129720105074347,0.0183248164333366,0.0035788168822686,0.00123860734023988,0.0344540117733419,0.0242175540487799,0.00689171235189795,0.00687705128542164,0.000125377396073261,0.0112617212698708,0.0176751795222312,0.000206771592717596,0.00119715191089307,0.00469002461036952,0.0218647056563406,0.000177449459764978,0.00157985630132637,0.00289884673017773,0.00193879965298772,0.0270557342969867,0.000221432659193904,0.0000935274930385212,0.00133668481942622,0.000381693282400451,0.00138673466705224,0.0000444887534453506,0.000158743961157274,0.000466120803143333,0.0000348832271332863,0.000104144127383434,0.000464604141094059,0.000746197728242472,0.00103891350375222,0.00114659650925063,0.000929208282188119,0.00101666912702955,0.000920108309892479,0.000451459736667024,0,1
"Sg_B07_50",0.0000257832548376464,0.00631234744907554,0.000367537769940567,0.0000904941689399746,0.0000358943351661352,0.00000353887811497107,0.0000343776731168618,0.0000834164127100324,0.0000535887257409905,0.0000106166343449132,0.0000252777008212219,0.000033366565084013,0.0000424665373796529,0.00000859441827921546,0.00000454998614781995,0.00000657220221351771,0.0000738108863979681,0.0000424665373796529,0.0000252777008212219,0.0000434776454125017,0.0000318499030347396,0.0000313443490183152,0.00000202221606569776,0.0000116277423777621,0.0000500498476260195,0.0000156721745091576,0.00000657220221351771,0.000132960706319627,0.000012638850410611,0.00000758331024636658,0.0000151666204927332,0.0000712831163158459,0.00000404443213139551,0.0000278054709033441,0.00000859441827921546,0.0000348832271332863,0.000510104002572259,0.000231543739522393,0.00000859441827921546,0.0000859441827921546,0.0000272999168869197,0.0000151666204927332,0.00000101110803284888,0.0000232554847555242,0,0.00000758331024636658,0.0000470165235274728,0.0000545998337738394,0.0000121332963941865,0.00000202221606569776,0.000125377396073261,0.00000252777008212219,0.0022754986279264,0.0000176943905748554,0.00072092002742125,0.0000970663711534923,0.0000581387118888105,0.000480276315603217,0.0001799772298471,0.000878652880545675,0.000325576786577339,0.00133769592745907,0.0000343776731168618,0.0302998744203823,0.000606159265692902,0.0000197166066405531,0.000226488199358149,0.0016177728525582,0.000706258960944941,0.000231038185505969,0.000381187728384027,0.0000525776177081416,1,0.986111
"Sg_B07_53",0.00103284685555513,0.00961664850042568,0.000133466260336052,0.0000171888365584309,0.0000267943628704953,0.00980825347265054,0.0033366565084013,0.00020727714673402,0.00132252930696633,0.00386647711761411,0.00067087017979523,0.000334676758872979,0.00695642326600028,0.000480781869619641,0.000163799501321518,0.0000394332132811062,0.00146610664763087,0.000431237576010046,0.0178506067659305,0.000106166343449132,0.0000348832271332863,0.0000399387672975307,0.0000131444044270354,0.00000960552631206434,0.00103992461178507,0.000142566232631692,0.000049544293609595,0.000300804639772541,0.00120574632917229,0.0000404443213139551,0.000238115941735911,0.0000920108309892479,0.0000111221883613377,0.00172343364199091,0.000033366565084013,0.000625370318317031,0.000140544016565994,0.0000111221883613377,0.0000839219667264569,0.0120524077515586,0.0639217442826896,0.000800797562016311,0.0022527486971873,0.0000379165512318329,0.0000131444044270354,0.000728503337667616,0.0000707775622994214,0.0000965608171370678,0.00000151666204927332,0.00285385242271596,0.000131949598286779,0.0052729283913069,0.00115974091367766,0.000218399335095358,0.000397871010926033,0.000389782146663242,0.00279166927869575,0.0823532326134918,0.00996952520388993,0.000512631772654381,0.000116782977794045,0.000469659681258304,0.000890280622923437,0.000483815193718188,0.157122143872584,0.00047269300535685,0.000728503337667616,0.0303787408469445,0.00424564262993244,0.000497465152161648,0.0582514504344731,0.000635986952661944,0,1
"Sg_B15_35",0.0000707775622994214,0.0000171888365584309,0.0000141555124598843,0.000349337825349287,0.00100605249268463,0.00000707775622994214,0.000972180373584196,0.0000510609556588683,0.000206771592717596,0.0000965608171370678,0.0124750509092895,0.0000606664819709327,0.0000874608448414279,0.00198986060864659,0.000074821994430817,0.000110210775580528,0.0000631942520530549,0.000371076648055538,0.000125377396073261,0.00050909289453941,0.000193121634274136,0.000209804916816142,0.00156620634288291,0.0109487833337041,0.000564198282329674,0.0000707775622994214,0.0781758397757767,0.000267943628704953,0.00361825009554971,0.00145245668918741,0.0333989205410641,0.000147116218779512,0.0492935388174485,0.00236700390489922,0.00178410012396184,0.000422643157730831,0.000483309639701764,0.000613742575939269,0.000293726883542599,0.000128916274188232,0.00469255238045164,0.000133466260336052,0.00924253852827159,0.000477748545521095,0.041000430732022,0.000117794085826894,0.0247645634945511,0.000386243268548271,0.000370571094039114,0.00445494199273216,0.000676936827992324,0.0000515665096752928,0.000143577340664541,0.000492915166013828,0.000127905166155383,0.000016177728525582,0.000277549155017017,0.0000313443490183152,0.0000318499030347396,0.0000146610664763087,0.000385737714531847,0.000020727714673402,0.0000222443767226753,0.00016632727140364,0.0000591498199216593,0.0000667331301680259,0.00129573494409584,0.000108694113531254,0.000118805193859743,0.0000111221883613377,0.000020727714673402,0.000114760761728348,0,1
"Sg_B26_4",0.000146105110746663,0.000943869348664427,0.00094184713259873,0.000199693836487653,0.0000444887534453506,0,0.0000935274930385212,0.000520720636917172,0.000218904889111782,0.0000642053600859037,0.0000267943628704953,0.000165821717387216,0.0000738108863979681,0.0000192110526241287,0.0000136499584434599,0.0000323554570511641,0.0000763386564800903,0.000116277423777621,0.000078360872545788,0.000129421828204656,0.000104649681399859,0.0000768442104965147,0.0000460054154946239,0.0000712831163158459,0.0000869552908250035,0.0000485331855767461,0.0000727997783651192,0.000615764792004967,0.000101110803284888,0.0000460054154946239,0.0000935274930385212,0.000353382257480683,0.000041455429346804,0.0000530831717245661,0.0000636998060694793,0.000136499584434599,0.000442865318387808,0.0000758331024636658,0.000140544016565994,0.000136499584434599,0.0000616775900037815,0.0000510609556588683,0.0000242665927883731,0.000157732853124425,0.0000283110249197686,0.0000454998614781995,0.0000232554847555242,0.000507070678473712,0.00000808886426279102,0.0000131444044270354,0.000213849348947538,0.0000156721745091576,0.000153182866976605,0.0000839219667264569,0.001257818392864,0.000148632880828785,0.0000611720359873571,0.000385232160515422,0.000324060124528065,0.000370065540022689,0.00389579925056673,0.000815964182509044,0.0000379165512318329,0.0007881587116057,0.00265921412639255,0.000125377396073261,0.00026086587247501,0.00265264192417903,0.00103790239571937,0.000694631218567179,0.000224465983292451,0.000175932797715705,1,0.986111
"Sg_CA25_21",0.000290693559444052,0.00102223022121022,0.0000920108309892479,0.000203232714602624,0.0000328610110675885,0.0000237610387719486,0.000205254930668322,0.00506312347449076,0.00406718206213461,0.000120321855909016,0.00122950736794424,0.000345293393217892,0.00828653588321298,0.000296254653624721,0.00000808886426279102,0.0000217388227062509,0.000964597063337829,0.0000768442104965147,0.000356415581579229,0.00131241822663784,0.0000884719528742768,0.0000995941412356145,0.0000267943628704953,0.000012638850410611,0.000208288254766869,0.000292210221493326,0.0000237610387719486,0.00739777192233881,0.000492915166013828,0.0000262888088540708,0.0000697664542665726,0.0000556109418066883,0.0000252777008212219,0.000355910027562805,0.000133971814352476,0.00218298224292073,0.000516170650769352,0.000180988337879949,0.000355910027562805,0.000277549155017017,0.00312381826748661,0.000124366288040412,0.0000247721468047975,0.000102627465334161,0.0000187054986077042,0.00166782270018422,0.0000510609556588683,0.0000985830332027656,0.00000202221606569776,0.000948924888828672,0.00135994030418174,0.000598575955446536,0.000149643988861634,0.00154598418222593,0.0170816591069489,0.000142060678615267,0.00202221606569776,0.00239885380793396,0.00413947628648331,0.00581892672904529,0.00011273854566265,0.0120888076407412,0.00269156958344371,0.000671375733811655,0.00442410319773026,0.00261320871089792,0.00169158373895617,0.000239632603785184,0.00107885227104975,0.000872586232348582,0.000928702728171694,0.00212181020693337,0,1
