"","D06","G22","G29","G31","G43","H03","H05","I02","I04","I06","I14","M08","M20","P02","P14","P23","X02","Y07","Y09","Y19","Z10","B02","B08","B09","B13","B15","B19","B23","B25","A12","A20","A22","A24","C04","C14","E04","E06","E07","G27","G37","G39","K15","K27","M02","M14","P27","X04","Z06","Z07","OA11r1","OA13r1","OA7r2","OA9r1","OB03r2","OB05r2","OB18r1","OB24r1","OM15r2","OM17r2","OM21r1","OG24B2A","zero_counts","sample_percent"
"Gp_MJ4_197",0.000000505554016424439,0.00000202221606569776,0.00000202221606569776,0.0000156721745091576,0.00000556109418066883,0.00000303332409854663,0.0000237610387719486,0.0000591498199216593,0.00000657220221351771,0.000305860179936785,0.000012638850410611,0.0000409498753303795,0.000650648019138253,0.000123355180007563,0.0000151666204927332,0.0000131444044270354,0.00000505554016424439,0.000237104833703062,0.000000505554016424439,0.000380682174367602,0.0000252777008212219,0.000191099418208438,0.0000257832548376464,0.0000156721745091576,0.000146105110746663,0.000111727437629801,0.000563187174296825,0.0000915052769728234,0.0000136499584434599,0.00875164557832346,0.0000525776177081416,0.000070272008282997,0.000213849348947538,0.00469154127241879,0.000109705221564103,0.000062183144020206,0.0014832954841893,0.0000313443490183152,0.0000197166066405531,0.000492409611997403,0.00061273146790642,0.000145094002713814,0.00123810178622345,0.00345798947234316,0.0000202221606569776,0.0000793719805786369,0.00178157235387972,0.0000090999722956399,0.000110210775580528,0.00996497521774212,0.0000222443767226753,0.00016177728525582,0.00010818855951483,0.0000879663988578524,0.000139027354516721,0.000282099141164837,0.000028816578936193,0.000148632880828785,0.00513036215867521,0.0000980774791863411,0.0000272999168869197,0,1
"Gp_NH_148",0.0000121332963941865,0.00000101110803284888,0.0000106166343449132,0.000281593587148412,0.00000859441827921546,0.0000551053877902638,0.0000485331855767461,0.000214354902963962,0.00000353887811497107,0.000178460567797827,0.00000859441827921546,0.0000480276315603217,0.0000141555124598843,0.0000197166066405531,0.000147116218779512,0.000350854487398561,0.00017087725755146,0.0000813941966443347,0.00000657220221351771,0.0000611720359873571,0.000148127326812361,0.000128916274188232,0.0000733053323815436,0.00971927596575984,0.000128916274188232,0.0000788664265622125,0.000100099695252039,0.0000930219390220967,0.000360460013710625,0.00179269454224106,0.000100605249268463,0.0000434776454125017,0.0000475220775438973,0.000123860734023988,0.000436798670190715,0.0000465109695110484,0.000122344071974714,0.0000500498476260195,0.000688059016353661,0.000297771315673994,0.000113244099679074,0.000536898365442754,0.00011728853181047,0.000231038185505969,0.0000945386010713701,0.000178966121814251,0.0000475220775438973,0.000219915997144631,0.000710808947092761,0.000404948767155976,0.00136398473631314,0.000114760761728348,0.000224465983292451,0.000676431273975899,0.000158238407140849,0.000133971814352476,0.00115721314359554,0.000483815193718188,0.0028589079628802,0.000082910858693608,0.0000970663711534923,0,1
"Sg_A11_10",0.0000363998891825596,0.0000667331301680259,0.00145346779722026,0.0119118637349926,0.0000697664542665726,0.0000687553462337237,0.00149441767255064,0.000115771869761197,0.000803325332098433,0.000470165235274728,0.000127399612138959,0.000621325886185635,0.000763892118817327,0.00112485768654438,0.00295142434788587,0.00139735130139715,0.0000480276315603217,0.000296760207641146,0.0000323554570511641,0.000301310193788966,0.000407476537238098,0.00477546323914525,0.00235082617637364,0.00206518815709383,0.000968641495469225,0.000438820886256413,0.00226993753374573,0.0129790882636646,0.000245699251982277,0.00177247238158408,0.000636492506678369,0.00027906581706629,0.00148278993017288,0.00298529646698631,0.00049999292224377,0.000102627465334161,0.000904941689399746,0.00028361580321411,0.00835225790534815,0.00118249084441676,0.000157732853124425,0.00122394627376357,0.00100807470875033,0.036995937367924,0.000204243822635473,0.00364555001243663,0.000236599279686637,0.000311926828133879,0.000466120803143333,0.00405959875188824,0.00915507768343016,0.00267336963885243,0.00102273577522664,0.00140139573352854,0.00174618357273001,0.000764903226850176,0.000336193420922252,0.00151413427919119,0.00277144711803877,0.000688564570370086,0.000403937659123127,0,1
"Sg_A27_31",0.0000480276315603217,0.0000192110526241287,0.000126894058122534,0.00133668481942622,0.000113244099679074,0.000768947658981572,0.000357932243628503,0.000163293947305094,0.0000697664542665726,0.00129522939007941,0.000434776454125017,0.000249743684113673,0.000977741467764865,0.0000636998060694793,0.00107126896080339,0.000416576509533738,0.0000272999168869197,0.000595542631347989,0.0000293221329526175,0.000517687312818625,0.000597059293397262,0.00640132495596625,0.0039387713419628,0.00804033107721428,0.00107379673088551,0.00513187882072448,0.00999834178282613,0.000989369210142627,0.0000631942520530549,0.0425903981136769,0.000352371149447834,0.000642559154875462,0.00307376841986059,0.0589506316391881,0.025307528508191,0.00044640419650278,0.00595239298938134,0.000850341855625906,0.0011728853181047,0.00247064247826623,0.00333109541422063,0.0185487768626127,0.0113592931950407,0.00678049046828457,0.000411015415353069,0.00152980645370035,0.000403432105106702,0.000275021384934895,0.020058361155656,0.00758482690841586,0.00244890365555998,0.00415160958287749,0.0638332723298154,0.0259682876076577,0.00332047877987571,0.0222565100190695,0.00034276562313577,0.0506681401881065,0.00887500075833102,0.00116732422392403,0.00117692975023609,0,1
"Sg_B04_2",0.000740131080045379,0.000697664542665726,0.000692103448485057,0.00411419858566208,0.000194132742306985,0.00052274285298287,0.0015950229218191,0.0001799772298471,0.000196154958372682,0.00219713775538061,0.00000101110803284888,0.00297417427862497,0.00479416873775295,0.00115721314359554,0.00512378995646169,0.0011273854566265,0.000230532631489544,0.00294282992960666,0.0000985830332027656,0.0000798775345950613,0.000704236744879243,0.00241048155031172,0.00388922704835321,0.00204698821250255,0.000285638019279808,0.00412228744992487,0.00223505430661244,0.0050722234467864,0.000948419334812247,0.00871575124315733,0.000475220775438973,0.0000935274930385212,0.00318094587134257,0.00153182866976605,0.000683509030205841,0.0000242665927883731,0.00539527246328161,0.000399893226991731,0.00401965998459071,0.00165922828190501,0.00188571648126316,0.0039160214112237,0.00551154988705923,0.0149148545925538,0.00470013569069801,0.0237959219990819,0.000377143296252631,0.0046379525466778,0.00236498168883353,0.0143466118780927,0.00877692327914468,0.00665561862622774,0.000212332686898264,0.022112932678405,0.0230911797001862,0.0104002572258836,0.000775519861195089,0.0125291451890469,0.0427607698172119,0.00127045724327461,0.00557676635517799,0,1
"Sg_B07_50",0.0000116277423777621,0.000586442659052349,0.0000465109695110484,0.0000409498753303795,0.00000758331024636658,0.0000237610387719486,0.00032001569239667,0.000111727437629801,0.000438820886256413,0.00000758331024636658,0.00000101110803284888,0.0000338721191004374,0.0000222443767226753,0.0000237610387719486,0.0000187054986077042,0.000160260623206547,0.0000824053046771835,0.0000293221329526175,0.00000707775622994214,0.0000106166343449132,0.00014458844869739,0.0000217388227062509,0.000326587894610188,0.0000778553185293636,0.0000202221606569776,0.000016177728525582,0.0000520720636917172,0.00000404443213139551,0.00000556109418066883,0.0000434776454125017,0.000206266038701171,0.00000505554016424439,0.00013093849025393,0.0000566220498395372,0.0000267943628704953,0.00000151666204927332,0.0000374109972154085,0.0000090999722956399,0.0000626886980366304,0.0000753275484472414,0.0000151666204927332,0.0000252777008212219,0.0000293221329526175,0.0000247721468047975,0.00000101110803284888,0.0000323554570511641,0.0000116277423777621,0.00000960552631206434,0.000151666204927332,0.0000212332686898264,0.000082910858693608,0.0000975719251699167,0.0000166832825420065,0.0000252777008212219,0.00000859441827921546,0.000116782977794045,0.00000101110803284888,0.00000859441827921546,0.0000232554847555242,0.00031091572010103,0.00000808886426279102,0,1
"Sg_B07_53",0.000118805193859743,0.0000793719805786369,0.000351865595431409,0.000481287423636066,0.00153637865591387,0.000696653434632877,0.00144234560885892,0.000155205083042303,0.00210563247840779,0.002254770913253,0.0234794451848002,0.000153688420993029,0.0000293221329526175,0.0000247721468047975,0.00000606664819709327,0.000188066094109891,0.000247215914031551,0.000414048739451615,0.000158743961157274,0.00013548847640175,0.000323049016495216,0.00039635434887676,0.0494310495099159,0.0000980774791863411,0.0000667331301680259,0.000218399335095358,0.00295294100993515,0.0000884719528742768,0.0208055699919314,0.0000899886149235501,0.000407476537238098,0.0013033182543422,0.000802819778082009,0.0227610529274611,0.0000763386564800903,0.0325551508876517,0.00829361363944292,0.0408624144855381,0.000492409611997403,0.000478759653553944,0.000578353794789558,0.0000267943628704953,0.000229015969440271,0.0000247721468047975,0.0066652241525398,0.000355404473546381,0.000560153850198278,0.00322897350290289,0.0124341010339591,0.000123355180007563,0.000169866149518611,0.000269460290754226,0.00418042616181368,0.0000601609279545082,0.0048467463554611,0.000206266038701171,0.00000960552631206434,0.0000596553739380838,0.000761364348735205,0.000450954182650599,0.000336193420922252,0,1
"Sg_B15_35",0.00000758331024636658,0.00000859441827921546,0.0000106166343449132,0.000125882950089685,0.000623853656267758,0.000448426412568477,0.0000434776454125017,0.0000217388227062509,0.000155205083042303,0.000168349487469338,0.00213091017922901,0.0000480276315603217,0.0000328610110675885,0.00000252777008212219,0.0000389276592646818,0.00213141573324543,0.0000131444044270354,0.0000955497091042189,0.0000586442659052349,0.0017810667998633,0.0000358943351661352,0.0000904941689399746,0.0000449943074617751,0.000431237576010046,0.00469255238045164,0.0114442262698,0.000256315886327191,0.000579364902822407,0.0000101110803284888,0.000125882950089685,0.0000389276592646818,0.000408487645270947,0.000197671620421956,0.000126894058122534,0.00022092710517748,0.000402926551090278,0.000124871842056836,0.000147621772795936,0.000354393365513532,0.0000561164958231127,0.0000874608448414279,0.000147116218779512,0.000654692451269648,0.00120776854523798,0.0000682497922172993,0.00018452721599492,0.0000657220221351771,0.000381187728384027,0.000106671897465557,0.000135994030418174,0.0000899886149235501,0.0000763386564800903,0.00033366565084013,0.000256821440343615,0.0339671632555252,0.000582398226920954,0.00522035077359876,0.000372593310104811,0.000218904889111782,0.003653133322683,0.00210917135652276,0,1
"Sg_B26_4",0.0000272999168869197,0.0279060761526126,0.0000439831994289262,0.000128410720171807,0.0000181999445912798,0.000033366565084013,0.000466626357159757,0.000213343794931113,0.001257818392864,0.000304849071903937,0.00000101110803284888,0.0000738108863979681,0.000106166343449132,0.0000631942520530549,0.0000606664819709327,0.00282705805984546,0.0000444887534453506,0.00014003846254957,0.0000146610664763087,0.0000525776177081416,0.000259854764442162,0.0000970663711534923,0.000429720913960773,0.000111727437629801,0.000113244099679074,0.0000510609556588683,0.0000687553462337237,0.0000424665373796529,0.0000151666204927332,0.000090999722956399,0.000301310193788966,0.00000606664819709327,0.000117794085826894,0.000104649681399859,0.0000778553185293636,0.00000353887811497107,0.000349337825349287,0.000041455429346804,0.000137005138451023,0.000630425858481275,0.0000454998614781995,0.000325071232560914,0.0000667331301680259,0.000160260623206547,0.000108694113531254,0.00433866456895453,0.0000535887257409905,0.0000672386841844504,0.000185032770011345,0.0000727997783651192,0.000131444044270354,0.000466626357159757,0.000134477368368901,0.0000920108309892479,0.0000490387395931706,0.000173405027633583,0.00000758331024636658,0.0000460054154946239,0.0000849330747593057,0.000160260623206547,0.0000530831717245661,0,1
"Sg_CA25_21",0.0000642053600859037,0.000134477368368901,0.000196154958372682,0.00033821563698795,0.000256315886327191,0.0010798633790826,0.00121686851753362,0.000123860734023988,0.00325121787962557,0.00239834825391754,0.000655703559302497,0.000475726329455397,0.000161271731239396,0.000209299362799718,0.0000631942520530549,0.00108593002727969,0.000255304778294342,0.00241250376637742,0.000384221052482574,0.000156721745091576,0.0000798775345950613,0.0000652164681187526,0.00266174189647467,0.0000318499030347396,0.000302321301821814,0.00043730422420714,0.00201412720143496,0.000057633157872386,0.00276335825377598,0.0000535887257409905,0.000715358933240581,0.000341754515102921,0.007322949927908,0.000181493891896374,0.00017087725755146,0.000994424750306871,0.00134982922385325,0.00271078063606784,0.000241654819850882,0.00043275423805932,0.000371076648055538,0.000351360041414985,0.00052729283913069,0.0000424665373796529,0.00140594571967636,0.000229521523456695,0.00139027354516721,0.00205052709061752,0.000237104833703062,0.000123355180007563,0.000146610664763087,0.00228763192432059,0.000326587894610188,0.000484826301751037,0.000335182312889403,0.000665309085614562,0.0000111221883613377,0.0000131444044270354,0.000389782146663242,0.000171382811567885,0.000471176343307577,0,1
