SampleID	Group	Assemble	Cooperation
A04	E	NX1	Nanxin
A13	C	NX1	Nanxin
A15	C	NX1	Nanxin
A18	E	NX1	Nanxin
A25	C	NX1	Nanxin
C03	C	NX1	Nanxin
C11	C	NX1	Nanxin
D01	C	NX1	Nanxin
D05	C	NX1	Nanxin
D06	L	NX1	Nanxin
D09	C	NX1	Nanxin
D16	C	NX1	Nanxin
E11	Y	NX1	Nanxin
G01	C	NX1	Nanxin
G11	E	NX1	Nanxin
G18	C	NX1	Nanxin
G20	C	NX1	Nanxin
G21	C	NX1	Nanxin
G22	L	NX1	Nanxin
G28	C	NX1	Nanxin
G29	L	NX1	Nanxin
G31	L	NX1	Nanxin
G32	C	NX1	Nanxin
G33	Y	NX1	Nanxin
G42	C	NX1	Nanxin
G43	L	NX1	Nanxin
G46	C	NX1	Nanxin
H02	C	NX2	Nanxin
H03	L	NX2	Nanxin
H04	C	NX2	Nanxin
H05	L	NX2	Nanxin
H06	C	NX2	Nanxin
I02	L	NX2	Nanxin
I03	C	NX2	Nanxin
I04	L	NX2	Nanxin
I06	L	NX2	Nanxin
I07	C	NX2	Nanxin
I09	Y	NX2	Nanxin
I13	C	NX2	Nanxin
I14	L	NX2	Nanxin
K09	C	NX2	Nanxin
K17	C	NX2	Nanxin
K23	C	NX2	Nanxin
K26	C	NX2	Nanxin
K31	C	NX2	Nanxin
K32	C	NX2	Nanxin
K34	C	NX2	Nanxin
K42	C	NX2	Nanxin
M01	C	NX2	Nanxin
M08	L	NX2	Nanxin
M11	C	NX2	Nanxin
M17	C	NX2	Nanxin
M18	Y	NX2	Nanxin
M20	L	NX2	Nanxin
M21	C	NX2	Nanxin
P01	C	NX3	Nanxin
P02	L	NX3	Nanxin
P03	C	NX3	Nanxin
P14	L	NX3	Nanxin
P22	C	NX3	Nanxin
P23	L	NX3	Nanxin
P26	C	NX3	Nanxin
P30	C	NX3	Nanxin
X01	C	NX3	Nanxin
X02	L	NX3	Nanxin
X03	C	NX3	Nanxin
Y07	L	NX3	Nanxin
Y08	C	NX3	Nanxin
Y09	L	NX3	Nanxin
Y19	L	NX3	Nanxin
Z03	C	NX3	Nanxin
Z09	C	NX3	Nanxin
Z10	L	NX3	Nanxin
Z11	C	NX3	Nanxin
Z16	E	NX3	Nanxin
Z17	C	NX3	Nanxin
B01	C	NH	Nova
B02	L	NH	Nova
B03	C	NH	Nova
B04	E	NH	Nova
B07	C	NH	Nova
B08	L	NH	Nova
B09	L	NH	Nova
B12	C	NH	Nova
B13	L	NH	Nova
B14	C	NH	Nova
B15	L	NH	Nova
B19	L	NH	Nova
B22	C	NH	Nova
B23	L	NH	Nova
B24	C	NH	Nova
B25	L	NH	Nova
B26	C	NH	Nova
B27	Y	NH	Nova
A01	C	MJ1	Majorbio
A02	Y	MJ1	Majorbio
A07	C	MJ1	Majorbio
A09	C	MJ1	Majorbio
A11	C	MJ1	Majorbio
A12	L	MJ1	Majorbio
A17	C	MJ1	Majorbio
A19	C	MJ1	Majorbio
A20	L	MJ1	Majorbio
A22	L	MJ1	Majorbio
A23	C	MJ1	Majorbio
A24	L	MJ1	Majorbio
A27	C	MJ1	Majorbio
A28	Y	MJ1	Majorbio
A33	Y	MJ1	Majorbio
A34	C	MJ1	Majorbio
A37	Y	MJ1	Majorbio
C02	Y	MJ1	Majorbio
C04	L	MJ1	Majorbio
C14	L	MJ1	Majorbio
D02	Y	MJ1	Majorbio
D03	C	MJ1	Majorbio
D10	Y	MJ1	Majorbio
D18	Y	MJ1	Majorbio
EA44	E	EA	Majorbio
EA47	E	EA	Majorbio
EA48	E	EA	Majorbio
EA49	E	EA	Majorbio
EA50	E	EA	Majorbio
EA51	E	EA	Majorbio
EA53	E	EA	Majorbio
EA54	E	EA	Majorbio
EA55	E	EA	Majorbio
EA57	E	EA	Majorbio
EA58	E	EA	Majorbio
EA60	E	EA	Majorbio
EA61	E	EA	Majorbio
EA63	E	EA	Majorbio
EA68	E	EA	Majorbio
EA70	E	EA	Majorbio
EA72	E	EA	Majorbio
EA73	E	EA	Majorbio
EA76	E	EA	Majorbio
EB01	E	EB	Majorbio
EB02	E	EB	Majorbio
EB03	E	EB	Majorbio
EB04	E	EB	Majorbio
EB05	E	EB	Majorbio
EB07	E	EB	Majorbio
EB08	E	EB	Majorbio
EB09	E	EB	Majorbio
EB10	E	EB	Majorbio
EB13	E	EB	Majorbio
EB16	E	EB	Majorbio
EB17	E	EB	Majorbio
EB20	E	EB	Majorbio
EB21	E	EB	Majorbio
EB24	E	EB	Majorbio
EB28	E	EB	Majorbio
EM03	E	MJ2	Majorbio
EM12	E	MJ2	Majorbio
EM22	E	MJ2	Majorbio
EM25	E	MJ2	Majorbio
EM27	E	MJ2	Majorbio
EM30	E	MJ2	Majorbio
EM32	E	MJ2	Majorbio
EM33	E	MJ2	Majorbio
EM34	E	MJ2	Majorbio
E04	L	MJ2	Majorbio
E06	L	MJ2	Majorbio
E07	L	MJ2	Majorbio
E10	C	MJ2	Majorbio
E12	E	MJ2	Majorbio
G02	Y	MJ2	Majorbio
G06	C	MJ2	Majorbio
G09	C	MJ2	Majorbio
G19	C	MJ2	Majorbio
G26	C	MJ2	Majorbio
G27	L	MJ2	Majorbio
G30	C	MJ2	Majorbio
G37	L	MJ2	Majorbio
G39	L	MJ2	Majorbio
G47	Y	MJ2	Majorbio
H07	C	MJ3	Majorbio
I01	C	MJ3	Majorbio
I05	C	MJ3	Majorbio
I12	C	MJ3	Majorbio
I15	C	MJ3	Majorbio
K01	C	MJ3	Majorbio
K03	C	MJ3	Majorbio
K07	C	MJ3	Majorbio
K10	C	MJ3	Majorbio
K14	C	MJ3	Majorbio
K15	L	MJ3	Majorbio
K16	E	MJ3	Majorbio
K21	C	MJ3	Majorbio
K22	C	MJ3	Majorbio
K27	L	MJ3	Majorbio
K36	C	MJ3	Majorbio
K40	C	MJ3	Majorbio
K43	Y	MJ3	Majorbio
K46	C	MJ3	Majorbio
M02	L	MJ3	Majorbio
M03	C	MJ3	Majorbio
M04	Y	MJ3	Majorbio
M07	C	MJ3	Majorbio
M12	E	MJ3	Majorbio
M14	L	MJ3	Majorbio
M15	C	MJ3	Majorbio
M16	Y	MJ3	Majorbio
P15	Y	MJ3	Majorbio
P24	E	MJ3	Majorbio
P27	L	MJ3	Majorbio
P31	E	MJ3	Majorbio
X04	L	MJ3	Majorbio
X05	C	MJ3	Majorbio
YA02	Y	YA	Majorbio
YA03	Y	YA	Majorbio
YA04	Y	YA	Majorbio
YA06	Y	YA	Majorbio
YA07	Y	YA	Majorbio
YA10	Y	YA	Majorbio
YA11	Y	YA	Majorbio
YA12	Y	YA	Majorbio
YA13	Y	YA	Majorbio
YA14	Y	YA	Majorbio
YA16	Y	YA	Majorbio
YA19	Y	YA	Majorbio
YA21	Y	YA	Majorbio
YA23	Y	YA	Majorbio
YA26	Y	YA	Majorbio
YA28	Y	YA	Majorbio
YA29	Y	YA	Majorbio
YA30	Y	YA	Majorbio
YA31	Y	YA	Majorbio
YA32	Y	YA	Majorbio
YA33	Y	YA	Majorbio
YA34	Y	YA	Majorbio
YB31	Y	YB	Majorbio
YB32	Y	YB	Majorbio
YB34	Y	YB	Majorbio
YB35	Y	YB	Majorbio
YB36	Y	YB	Majorbio
YB37	Y	YB	Majorbio
YB38	Y	YB	Majorbio
YB39	Y	YB	Majorbio
YB40	Y	YB	Majorbio
YB41	Y	YB	Majorbio
YB43	Y	YB	Majorbio
YB45	Y	YB	Majorbio
YB46	Y	YB	Majorbio
YB47	Y	YB	Majorbio
YB50	Y	YB	Majorbio
YB52	Y	YB	Majorbio
YB54	Y	YB	Majorbio
YB55	Y	YB	Majorbio
YB56	Y	YB	Majorbio
YB57	Y	YB	Majorbio
YB59	Y	YB	Majorbio
Y06	C	MJ4	Majorbio
Z04	Y	MJ4	Majorbio
Z06	L	MJ4	Majorbio
Z07	L	MJ4	Majorbio
Z12	Y	MJ4	Majorbio
Z14	Y	MJ4	Majorbio
Z15	C	MJ4	Majorbio
CA11	C	MJ4	Majorbio
CA13	C	MJ4	Majorbio
CA25	C	MJ4	Majorbio
CA9	C	MJ4	Majorbio
CB03	C	MJ4	Majorbio
CM15	C	MJ4	Majorbio
CM17	C	MJ4	Majorbio
CM21	C	MJ4	Majorbio
OA11r1	L	MJ4	Majorbio
OA13r1	L	MJ4	Majorbio
OA7r2	L	MJ4	Majorbio
