Number of Samples	Number of Species	group
1	85	C
1	267	C
1	238	C
1	303	C
1	277	C
1	273	C
1	178	C
1	209	C
1	181	C
1	221	C
1	305	C
1	105	C
1	85	C
1	301	C
1	164	C
1	324	C
1	329	C
1	224	C
1	144	C
1	349	C
1	139	C
1	181	C
1	252	C
1	372	C
1	232	C
1	395	C
1	238	C
1	322	C
1	305	C
1	218	C
2	455	C
2	418	C
2	216	C
2	403	C
2	285	C
2	502	C
2	545	C
2	333	C
2	333	C
2	414	C
2	459	C
2	413	C
2	479	C
2	306	C
2	405	C
2	442	C
2	409	C
2	459	C
2	412	C
2	442	C
2	473	C
2	357	C
2	307	C
2	431	C
2	347	C
2	419	C
2	474	C
2	516	C
2	369	C
2	397	C
3	502	C
3	572	C
3	604	C
3	582	C
3	473	C
3	596	C
3	474	C
3	511	C
3	609	C
3	617	C
3	557	C
3	490	C
3	551	C
3	450	C
3	533	C
3	583	C
3	549	C
3	508	C
3	632	C
3	543	C
3	547	C
3	473	C
3	670	C
3	556	C
3	583	C
3	446	C
3	399	C
3	358	C
3	616	C
3	576	C
4	493	C
4	566	C
4	671	C
4	716	C
4	661	C
4	626	C
4	631	C
4	610	C
4	518	C
4	552	C
4	599	C
4	656	C
4	578	C
4	577	C
4	644	C
4	653	C
4	668	C
4	617	C
4	579	C
4	656	C
4	560	C
4	605	C
4	551	C
4	625	C
4	667	C
4	516	C
4	702	C
4	569	C
4	680	C
4	546	C
5	671	C
5	631	C
5	717	C
5	679	C
5	639	C
5	586	C
5	693	C
5	649	C
5	648	C
5	776	C
5	641	C
5	679	C
5	606	C
5	588	C
5	730	C
5	698	C
5	720	C
5	576	C
5	738	C
5	645	C
5	621	C
5	682	C
5	638	C
5	610	C
5	671	C
5	786	C
5	724	C
5	571	C
5	582	C
5	712	C
6	747	C
6	854	C
6	716	C
6	743	C
6	712	C
6	736	C
6	761	C
6	761	C
6	763	C
6	746	C
6	552	C
6	770	C
6	724	C
6	771	C
6	720	C
6	844	C
6	778	C
6	727	C
6	702	C
6	781	C
6	669	C
6	723	C
6	752	C
6	735	C
6	737	C
6	724	C
6	722	C
6	673	C
6	714	C
6	700	C
7	850	C
7	630	C
7	733	C
7	649	C
7	813	C
7	834	C
7	686	C
7	766	C
7	822	C
7	761	C
7	767	C
7	772	C
7	716	C
7	776	C
7	752	C
7	731	C
7	746	C
7	779	C
7	785	C
7	767	C
7	818	C
7	810	C
7	853	C
7	731	C
7	791	C
7	752	C
7	775	C
7	753	C
7	705	C
7	752	C
8	781	C
8	777	C
8	813	C
8	851	C
8	772	C
8	796	C
8	781	C
8	793	C
8	657	C
8	796	C
8	738	C
8	829	C
8	893	C
8	847	C
8	778	C
8	715	C
8	884	C
8	788	C
8	799	C
8	777	C
8	825	C
8	891	C
8	873	C
8	700	C
8	903	C
8	795	C
8	801	C
8	858	C
8	741	C
8	843	C
9	832	C
