"gene_id","start","end","strand","length_bp","distance_to_target_bp"
"1_1272",1549363,1550478,"+",1116,-8899
"1_1273",1550507,1551670,"+",1164,-7731
"1_1274",1551692,1552360,"+",669,-6793.5
"1_1275",1552710,1552949,"+",240,-5990
"1_1276",1553064,1553579,"-",516,-5498
"1_1277",1553611,1554273,"+",663,-4877.5
"1_1278",1554444,1554824,"+",381,-4185.5
"1_1279",1554828,1555874,"+",1047,-3468.5
"1_1280",1555877,1556608,"+",732,-2577
"1_1281",1557206,1558048,"-",843,-1192.5
"1_1282",1558097,1558414,"-",318,-564
"1_1283",1558493,1559146,"-",654,0
"1_1284",1559523,1560530,"-",1008,1207
"1_1285",1560561,1561199,"-",639,2060.5
"1_1286",1561203,1561391,"-",189,2477.5
"1_1287",1561410,1561979,"-",570,2875
"1_1288",1561983,1562810,"-",828,3577
"1_1289",1562838,1563530,"-",693,4364.5
"1_1290",1563551,1564504,"-",954,5208
"1_1291",1564960,1565139,"-",180,6230
"1_1292",1565490,1566923,"+",1434,7387
