species,target_gene,ctg_id,group_id,blast_hits,hit_rank,identity,evalue,bitscore,mapping_status,gene_category
Alistipes_A_ihumii,bglX,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Alistipes_A_ihumii,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Alistipes_A_ihumii,Fcr,ctg_00225,namA,3,1,26.392,3.02E-31,123,mapped,core
Alistipes_A_ihumii,Fcr,ctg_01224,pdhD,3,2,25.279,3.62E-13,68.9,mapped,accessory
Alistipes_A_ihumii,Fcr,ctg_00356,trxB,3,3,25,1.10E-08,53.9,mapped,core
Alistipes_A_ihumii,Flr,ctg_01452___46008,sgcG,1,1,24.675,1.70E-08,50.8,mapped,accessory
Alistipes_A_ihumii,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Alistipes_A_ihumii,ramA,ctg_00061,group_3091,9,1,24.143,2.61E-27,115,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_00194,group_2812,9,2,23.028,5.63E-21,95.1,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_01540___22256,group_461,9,3,22.535,1.57E-20,93.6,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_01864,group_1194,9,4,22.535,3.89E-20,92.4,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_00511,group_1612,9,5,23.077,1.29E-18,87.4,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_00091,group_2157,9,6,25,3.74E-16,79.7,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_01729,group_1351,9,7,21.983,1.57E-14,74.3,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_01076,group_893,9,8,21.703,2.46E-10,60.8,mapped,accessory
Alistipes_A_ihumii,ramA,ctg_01238,group_1786,9,9,27.5,1.99E-07,51.2,mapped,accessory
Bordetella_trematum,bglX,ctg_02944,nagZ,1,1,25.856,1.24E-06,47.8,mapped,core
Bordetella_trematum,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Bordetella_trematum,Fcr,ctg_00198,namA,3,1,26.562,5.62E-26,110,mapped,core
Bordetella_trematum,Fcr,ctg_02722,nemA,3,2,26.593,1.74E-19,87.8,mapped,core
Bordetella_trematum,Fcr,ctg_00505,gltD,3,3,40.741,5.11E-06,46.2,mapped,core
Bordetella_trematum,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Bordetella_trematum,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Bordetella_trematum,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Enterococcus_B_hirae,bglX,ctg_00087___21001,group_963,5,1,31.137,1.00E-62,218,mapped,accessory
Enterococcus_B_hirae,bglX,ctg_02303___77922,group_3218,5,2,30.706,2.31E-61,214,mapped,accessory
Enterococcus_B_hirae,bglX,ctg_00171___21169,group_58,5,3,30.435,2.08E-51,186,mapped,core
Enterococcus_B_hirae,bglX,ctg_00225___450,group_256,5,4,31.637,8.23E-33,130,mapped,accessory
Enterococcus_B_hirae,bglX,ctg_00082,group_2972,5,5,41.176,7.92E-06,45.8,mapped,accessory
Enterococcus_B_hirae,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Enterococcus_B_hirae,Fcr,ctg_02173,group_3601,7,1,29.24,1.78E-32,126,mapped,accessory
Enterococcus_B_hirae,Fcr,ctg_01722___229370,group_4935,7,2,29.741,2.00E-20,88.6,mapped,accessory
Enterococcus_B_hirae,Fcr,ctg_01518,nox,7,3,25.385,5.04E-10,59.3,mapped,core
Enterococcus_B_hirae,Fcr,ctg_00843___33343,npr_2,7,4,30.508,2.47E-09,57.4,mapped,accessory
Enterococcus_B_hirae,Fcr,ctg_00434___74184,group_1965,7,5,30.508,1.02E-08,53.9,mapped,accessory
Enterococcus_B_hirae,Fcr,ctg_02212___25251,group_1892,7,6,36.486,7.04E-08,51.2,mapped,accessory
Enterococcus_B_hirae,Fcr,ctg_01721___229368,group_2668,7,7,29.703,1.27E-07,48.5,mapped,accessory
Enterococcus_B_hirae,Flr,ctg_01561___76438,group_4263,1,1,36.62,3.04E-09,54.3,mapped,accessory
Enterococcus_B_hirae,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Enterococcus_B_hirae,ramA,ctg_00632___74580,group_60,2,1,23.604,3.14E-13,70.5,mapped,core
Enterococcus_B_hirae,ramA,ctg_01903,group_5159,2,2,22.365,2.80E-12,67.4,mapped,accessory
Faecalicoccus_pleomorphus,bglX,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Faecalicoccus_pleomorphus,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Faecalicoccus_pleomorphus,Fcr,ctg_00545,namA,2,1,29.231,5.45E-36,135,mapped,core
Faecalicoccus_pleomorphus,Fcr,ctg_00023,gltB_1,2,2,30.726,1.52E-08,53.9,mapped,core
Faecalicoccus_pleomorphus,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Faecalicoccus_pleomorphus,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Faecalicoccus_pleomorphus,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Klebsiella_quasipneumoniae,bglX,ctg_01029,group_2420,2,1,31.3,1.05E-62,218,mapped,core
Klebsiella_quasipneumoniae,bglX,ctg_03978,nagZ_2,2,2,28.391,5.07E-10,60.1,mapped,core
Klebsiella_quasipneumoniae,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Klebsiella_quasipneumoniae,Fcr,ctg_03323,group_4917,8,1,28.723,4.03E-87,283,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_02658,fadH,8,2,29.683,2.15E-63,219,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_00474,namA_2,8,3,39.394,3.44E-39,145,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_01830,nemA_2,8,4,26.796,1.57E-26,109,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_00236,nemA_1,8,5,26.781,7.05E-22,95.5,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_00659,namA_1,8,6,28.261,6.67E-19,88.6,mapped,core
Klebsiella_quasipneumoniae,Fcr,ctg_05089___92040,nemA_3,8,7,28.514,8.59E-15,73.9,mapped,accessory
Klebsiella_quasipneumoniae,Fcr,ctg_03656,norW_2,8,8,24.742,7.78E-07,49.3,mapped,core
Klebsiella_quasipneumoniae,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Klebsiella_quasipneumoniae,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Klebsiella_quasipneumoniae,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Limosilactobacillus_mucosae,bglX,ctg_02048,bglB,2,1,26.261,1.29E-23,102,mapped,accessory
Limosilactobacillus_mucosae,bglX,ctg_00340___9326,group_2674,2,2,25.051,1.92E-23,102,mapped,accessory
Limosilactobacillus_mucosae,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Limosilactobacillus_mucosae,Fcr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Limosilactobacillus_mucosae,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Limosilactobacillus_mucosae,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Limosilactobacillus_mucosae,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Lysinibacillus_boronitolerans,bglX,ctg_02731,nagZ,1,1,24.309,5.27E-20,91.3,mapped,accessory
Lysinibacillus_boronitolerans,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Lysinibacillus_boronitolerans,Fcr,ctg_00419,namA,2,1,30.887,6.56E-39,144,mapped,core
Lysinibacillus_boronitolerans,Fcr,ctg_02932,pdhD_1,2,2,23.27,1.00E-10,61.6,mapped,core
Lysinibacillus_boronitolerans,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Lysinibacillus_boronitolerans,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Lysinibacillus_boronitolerans,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Morganella_morganii,bglX,ctg_02527___19444,group_1102,2,1,23.678,5.86E-18,84.7,mapped,accessory
Morganella_morganii,bglX,ctg_02695,nagZ_2,2,2,23.877,5.91E-18,84.7,mapped,accessory
Morganella_morganii,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Morganella_morganii,Fcr,ctg_01616,nemA,5,1,26.59,1.09E-20,91.7,mapped,core
Morganella_morganii,Fcr,ctg_01672___17734,group_1188,5,2,23.929,1.37E-15,75.5,mapped,accessory
Morganella_morganii,Fcr,ctg_01051,group_677,5,3,24.286,1.38E-15,75.5,mapped,accessory
Morganella_morganii,Fcr,ctg_02132___43048,namA,5,4,24.286,3.90E-15,74.3,mapped,accessory
Morganella_morganii,Fcr,ctg_02981,sthA,5,5,22.222,6.45E-06,46.2,mapped,core
Morganella_morganii,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Morganella_morganii,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Morganella_morganii,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Paenibacillus_B_sp900539405,bglX,ctg_03045,group_820,7,1,32.89,6.54E-67,229,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_00325,group_5675,7,2,35.204,1.53E-65,225,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_05516,nagZ_2,7,3,28.414,7.90E-30,121,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_01743,bglB_2,7,4,28.693,2.54E-26,111,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_00761,bglB_1,7,5,28.045,3.46E-22,98.6,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_00760,group_1411,7,6,26.923,1.02E-18,87.8,mapped,core
Paenibacillus_B_sp900539405,bglX,ctg_04063,nagZ_1,7,7,25.393,3.83E-14,72.8,mapped,core
Paenibacillus_B_sp900539405,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Paenibacillus_B_sp900539405,Fcr,ctg_00231,namA,3,1,30.564,9.63E-37,138,mapped,core
Paenibacillus_B_sp900539405,Fcr,ctg_02848,group_3217,3,2,22.394,2.29E-09,57,mapped,core
Paenibacillus_B_sp900539405,Fcr,ctg_05278,ahpF,3,3,36.735,3.39E-06,47.4,mapped,core
Paenibacillus_B_sp900539405,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Paenibacillus_B_sp900539405,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Paenibacillus_B_sp900539405,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Pediococcus_pentosaceus,bglX,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Pediococcus_pentosaceus,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Pediococcus_pentosaceus,Fcr,ctg_00760,yumC,1,1,27.624,4.29E-06,45.4,mapped,core
Pediococcus_pentosaceus,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Pediococcus_pentosaceus,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Pediococcus_pentosaceus,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Proteus_mirabilis,bglX,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Proteus_mirabilis,Chi,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Proteus_mirabilis,Fcr,ctg_02945,fadH,4,1,27.826,1.20E-67,231,mapped,core
Proteus_mirabilis,Fcr,ctg_02384,namA,4,2,29.377,1.92E-34,131,mapped,accessory
Proteus_mirabilis,Fcr,ctg_02214,nemA,4,3,23.596,1.58E-19,88.2,mapped,accessory
Proteus_mirabilis,Fcr,ctg_01572,sthA,4,4,25.455,4.16E-06,46.6,mapped,accessory
Proteus_mirabilis,Flr,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Proteus_mirabilis,phy,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
Proteus_mirabilis,ramA,no_hit,no_hit,0,0,0,NA,0,no_hit,no_hit
