MAGID	SampleName	Age	Total	EggNOG	Unknow5
Sg_A01_10	A01	101	2049	1882	126
Sg_A01_11	A01	101	1851	1808	81
Sg_A01_12	A01	101	3422	3123	240
Sg_A01_13	A01	101	1850	1752	78
Sg_A01_14	A01	101	2002	1789	62
Sg_A01_15	A01	101	2299	1987	144
Sg_A01_16	A01	101	1675	1640	106
Sg_A01_18	A01	101	1656	1540	58
Sg_A01_19	A01	101	1655	1536	86
Sg_A01_1	A01	101	2093	1992	67
Sg_A01_20	A01	101	4103	3936	408
Sg_A01_22	A01	101	3948	3903	77
Sg_A01_23	A01	101	1311	1291	54
Sg_A01_24	A01	101	1293	1209	60
Sg_A01_25	A01	101	6558	6257	452
Sg_A01_26	A01	101	3196	2919	223
Sg_A01_27	A01	101	2017	1903	127
Sg_A01_28	A01	101	1532	1517	58
Sg_A01_29	A01	101	2313	2154	143
Sg_A01_2	A01	101	2838	2552	104
Sg_A01_30	A01	101	2561	2414	166
Sg_A01_31	A01	101	2398	2325	112
Sg_A01_32	A01	101	1338	1286	56
Sg_A01_33	A01	101	1557	1524	119
Sg_A01_34	A01	101	1725	1678	74
Sg_A01_35	A01	101	2363	2229	119
Sg_A01_36	A01	101	1897	1869	67
Sg_A01_37	A01	101	1485	1373	60
Sg_A01_39	A01	101	2208	2036	109
Sg_A01_3	A01	101	2082	2059	67
Sg_A01_40	A01	101	1849	1759	90
Sg_A01_41	A01	101	2253	2175	63
Sg_A01_42	A01	101	1608	1542	86
Sg_A01_43	A01	101	4407	4357	77
Sg_A01_44	A01	101	1675	1609	60
Sg_A01_45	A01	101	2090	1956	99
Sg_A01_46	A01	101	3893	3692	234
Sg_A01_47	A01	101	2201	2056	101
Sg_A01_48	A01	101	1789	1705	107
Sg_A01_49	A01	101	1994	1924	85
Sg_A01_4	A01	101	2193	2116	178
Sg_A01_50	A01	101	1993	1893	89
Sg_A01_53	A01	101	2404	2272	153
Sg_A01_54	A01	101	2332	2221	244
Sg_A01_55	A01	101	1758	1597	52
Sg_A01_5	A01	101	3030	2861	126
Sg_A01_6	A01	101	1803	1683	74
Sg_A01_7	A01	101	2269	2060	109
Sg_A01_8	A01	101	2378	2262	133
Sg_A01_9	A01	101	2231	2134	147
Sg_A02_10	A02	49	2197	2010	101
Sg_A02_11	A02	49	2289	2109	86
Sg_A02_12	A02	49	1704	1600	62
Sg_A02_13	A02	49	1571	1520	38
Sg_A02_14	A02	49	2915	2730	298
Sg_A02_15	A02	49	2037	1834	118
Sg_A02_16	A02	49	1669	1316	59
Sg_A02_17	A02	49	1388	1270	59
Sg_A02_18	A02	49	1913	1787	56
Sg_A02_19	A02	49	1786	1627	81
Sg_A02_1	A02	49	2439	2223	151
Sg_A02_20	A02	49	1987	1803	104
Sg_A02_21	A02	49	2392	2041	157
Sg_A02_23	A02	49	2079	1885	99
Sg_A02_24	A02	49	1083	787	29
