ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members
Gp_EAB_1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UMGS1883	f__UMGS1540	g__UMGS1540	s__UMGS1540 sp900552775	92.13276708898243	89.93	0	0	2169493	25441	2
Gp_EAB_107	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS1271	s__UMGS1271 sp900550255	52.49504950253165	50.75	0	0	560639	3091	1
Gp_EAB_118	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__UBA7748	s__UBA7748 sp003862175	49.29949407967185	56.53	1.81	0	888665	4355	1
Gp_EAB_119	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__Dysosmobacter sp900542115	81.99403215616995	86.51	1.57	80	1642834	14324	1
Gp_EAB_123	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Faecalimonas	s__	61.50419631006668	66.3	1.75	100	2036099	25609	1
Gp_EAB_13	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__CAG-841	s__CAG-841 sp000437375	94.52556854029564	92	0	0	1676848	112496	1
Gp_EAB_131	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthocola_B	s__Onthocola_B sp000438075	69.83911214830378	81.46	2.81	0	1223428	72148	1
Gp_EAB_139	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag111	s__Zag111 sp002103105	87.28587167872992	89.74	0.95	0	1877436	39061	1
Gp_EAB_141	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__GCA-900066495	s__GCA-900066495 sp902362365	87.67577714188818	91.75	1.41	50	2869926	34798	1
Gp_EAB_159	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS856	s__UMGS856 sp900546265	93.2546357663105	97.1	1.34	50	3087546	23403	2
Gp_EAB_164	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus sp905215645	92.6657210805058	96.41	1.2	0	2260617	32467	2
Gp_EAB_165	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum	94.88757432010307	98.51	1.32	33.33	2445729	118915	1
Gp_EAB_171	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp900541935	97.98880347636023	97.17	0.38	100	2475387	47600	1
Gp_EAB_187	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__Blautia_A sp900551465	86.225748874404	86.93	0.69	100	2405201	12927	1
Gp_EAB_192	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__Lawsonibacter sp900766145	75.70722859255942	85.72	2.71	50	2304203	23145	1
Gp_EAB_193	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__Butyribacter huaianensis	91.0369794890096	92.29	0.67	0	2558116	15630	1
Gp_EAB_202	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Alangreenwoodia	s__Alangreenwoodia sp905206455	85.3951448129304	91.67	1.77	25	2213974	18420	2
Gp_EAB_214	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900542875	76.72168694852697	85.4	2.52	80	1431371	6477	1
Gp_EAB_22	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Tissierellales	f__Peptoniphilaceae	g__Parvimonas	s__Parvimonas micra	97.70220760636305	98.27	0.61	0	1468849	92133	2
Gp_EAB_228	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Enterenecus	s__	53.411253042969506	60.17	1.72	0	1354552	4814	1
Gp_EAB_234	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus agalactiae	55.21217430194804	64.97	2.59	50	2190638	6228	1
Gp_EAB_244	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__UMGS124	g__	s__	88.29875054807165	88.54	0.52	50	2592108	15758	1
Gp_EAB_263	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Bianqueaceae	g__Bianquea	s__Bianquea renquensis	67.60517961080187	74.88	1.96	33.33	2553263	5544	2
Gp_EAB_271	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Scybalenecus	s__Scybalenecus sp900540085	74.59047552050204	86.07	2.74	12.5	1406098	5701	1
Gp_EAB_276	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Choladousia sp902363665	92.23028314324505	91.1	0.21	100	2833218	8721	1
Gp_EAB_29	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Merdisoma	s__Merdisoma sp900553635	56.08316138254497	54.21	0	0	1914181	5576	2
Gp_EAB_292	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium celatum	67.79539536827598	65.52	0	0	2876721	35546	1
Gp_EAB_30	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter vanvlietii	68.99287096369581	67.04	0	0	2607576	8049	1
Gp_EAB_302	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Bifidobacteriaceae	g__Parascardovia	s__Parascardovia denticolens	90.23129730943032	95.66	1.77	71.43	1614421	20605	2
Gp_EAB_308	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Onthousia	s__Onthousia sp000438295	88.19139268515823	88.95	0.56	0	1120163	12100	1
Gp_EAB_318	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Choladousia sp900757145	88.95987877304549	95.39	1.92	50	2844833	26288	1
Gp_EAB_321	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp000438255	34.5539641396919	77.05	9.17	14.29	1520095	12222	1
Gp_EAB_340	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes dispar	67.2304349700896	72.05	1.72	100	2215934	13209	1
Gp_EAB_360	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__CAG-269 sp001916005	60.25345499021004	66.85	1.79	25	1346689	6485	1
Gp_EAB_362	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Thermophilibacter	s__Thermophilibacter avistercoris	67.91479681338305	75.69	2.05	28.57	1783576	6001	1
Gp_EAB_398	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAKPTA01	s__CAKPTA01 sp934190785	88.80606970988919	86.52	0	0	1077351	37337	1
Gp_EAB_399	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp900540005	92.1357932941199	93.62	0.71	0	2004720	13539	1
Gp_EAB_400	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium disporicum_B	55.15988802863872	73.45	4.31	25	3349410	23162	1
Gp_EAB_409	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Baileyella	s__Baileyella timonense	99.04886627029741	99.29	0.71	100	2169890	157664	1
