"Genome"	"rRNA_5S"	"rRNA_16S"	"rRNA_23S"	"tRNA"	"pass_GUNC"	"Completeness"	"Contamination"	"Heterogeneity"	"Contigs"	"N50"	"GC_content"	"Size"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Score"
"Gp_EAB_1"	0	0	0	20	"True"	90.27	0	0	130	25441	42.6	2169493	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__UMGS1883"	"f__UMGS1540"	"g__UMGS1540"	"s__UMGS1540 sp900552775"	90.27
"Gp_EAB_10"	0	0	0	9	"True"	69.13	2.35	75	361	4182	45.3	1344234	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Wujia"	"s__Wujia chipingensis"	57.38
"Gp_EAB_100"	0	0	0	21	"True"	92.13	1.85	33.33	106	17190	27.8	1137415	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-417"	"s__CAG-417 sp000432835"	82.88
"Gp_EAB_101"	4	0	0	20	"True"	89.71	7.22	82.5	1135	4428	47.1	3670118	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides uniformis"	53.61
"Gp_EAB_102"	1	0	0	13	"True"	63.98	0	0	294	7695	46.2	1831259	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__UMGS363"	"s__UMGS363 sp900543105"	63.98
"Gp_EAB_103"	0	0	0	17	"True"	94.18	2.19	80	362	6161	34.3	1816678	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Eubacterium_G"	"s__Eubacterium_G ventriosum"	83.23
"Gp_EAB_104"	0	0	0	8	"True"	53.04	2.91	80	352	2281	38.3	820311	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Eubacterium_R"	"s__Eubacterium_R sp000436835"	38.49
"Gp_EAB_105"	3	0	0	8	"True"	55.77	1.75	100	167	10284	34.1	1325047	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Holdemanella"	"s__Holdemanella sp003458715"	47.02
"Gp_EAB_106"	0	0	0	17	"True"	88.26	2.03	0	749	6871	61.8	3987215	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Lentisphaeria"	"o__Victivallales"	"f__Victivallaceae"	"g__Victivallis"	"s__Victivallis lenta"	78.11
"Gp_EAB_107"	0	0	0	11	"True"	50.75	0	0	193	3091	25.6	560639	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__UMGS1271"	"s__UMGS1271 sp900550255"	50.75
